Algo: i2aEnvironment: RegularMiniPacmanNoFrameskip-v0
Updates 0, num timesteps 160, FPS 161, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 1.60944, value loss 1.48998, policy loss 1.32176, distill_loss 0.00004, time 0.01648 min
Updates 150, num timesteps 24160, FPS 358, mean/median reward 14.3/12.0, min/max reward 1.0/33.0, entropy 0.58976, value loss 2.39333, policy loss -0.06635, distill_loss -2.35241, time 1.12451 min
Updates 160, num timesteps 25760, FPS 357, mean/median reward 12.5/9.0, min/max reward 1.0/32.0, entropy 0.18476, value loss 3.01358, policy loss 0.17741, distill_loss -2.47707, time 1.19985 min
Updates 170, num timesteps 27360, FPS 357, mean/median reward 11.7/9.0, min/max reward 0.0/32.0, entropy 0.68776, value loss 1.98444, policy loss 0.67098, distill_loss -2.00112, time 1.27393 min
Updates 180, num timesteps 28960, FPS 358, mean/median reward 11.1/9.0, min/max reward 0.0/32.0, entropy 0.86347, value loss 3.95547, policy loss 0.52835, distill_loss -2.69320, time 1.34523 min
Updates 190, num timesteps 30560, FPS 358, mean/median reward 13.7/11.0, min/max reward 2.0/39.0, entropy 0.99559, value loss 4.08450, policy loss 0.06379, distill_loss -1.99221, time 1.41907 min
Updates 200, num timesteps 32160, FPS 359, mean/median reward 13.9/10.0, min/max reward 0.0/40.0, entropy 0.88809, value loss 10.30894, policy loss -0.39430, distill_loss -2.12170, time 1.49122 min
Updates 210, num timesteps 33760, FPS 359, mean/median reward 12.3/9.0, min/max reward 2.0/40.0, entropy 0.92089, value loss 8.93522, policy loss -0.33161, distill_loss -0.20999, time 1.56570 min
Updates 220, num timesteps 35360, FPS 359, mean/median reward 12.8/8.0, min/max reward 0.0/42.0, entropy 0.68911, value loss 9.31193, policy loss -0.25435, distill_loss -1.22953, time 1.63946 min
Updates 230, num timesteps 36960, FPS 359, mean/median reward 11.0/8.0, min/max reward 0.0/32.0, entropy 0.58527, value loss 2.73710, policy loss 0.01172, distill_loss 0.51485, time 1.71211 min
Updates 240, num timesteps 38560, FPS 360, mean/median reward 9.9/8.0, min/max reward 3.0/32.0, entropy 0.72541, value loss 1.15538, policy loss 0.00331, distill_loss -1.04649, time 1.78436 min
Updates 250, num timesteps 40160, FPS 360, mean/median reward 8.3/6.0, min/max reward 1.0/32.0, entropy 0.83771, value loss 7.96168, policy loss -0.85705, distill_loss -0.84740, time 1.85827 min
Updates 260, num timesteps 41760, FPS 360, mean/median reward 10.2/7.0, min/max reward 1.0/32.0, entropy 1.10019, value loss 2.81225, policy loss -0.10710, distill_loss -1.83197, time 1.92995 min
Updates 270, num timesteps 43360, FPS 360, mean/median reward 10.5/7.0, min/max reward 0.0/32.0, entropy 0.94963, value loss 4.42224, policy loss 0.02331, distill_loss -1.49992, time 2.00348 min
Updates 280, num timesteps 44960, FPS 361, mean/median reward 12.6/9.0, min/max reward 1.0/32.0, entropy 0.62675, value loss 13.27337, policy loss -0.37870, distill_loss -3.14413, time 2.07457 min
Updates 290, num timesteps 46560, FPS 361, mean/median reward 11.6/7.0, min/max reward 0.0/37.0, entropy 0.45437, value loss 4.98381, policy loss -0.06873, distill_loss -2.67112, time 2.14807 min
Updates 300, num timesteps 48160, FPS 361, mean/median reward 9.1/7.0, min/max reward 0.0/32.0, entropy 0.70186, value loss 0.48012, policy loss 0.01144, distill_loss -1.93442, time 2.22026 min
Updates 310, num timesteps 49760, FPS 361, mean/median reward 9.8/8.0, min/max reward 0.0/32.0, entropy 0.68700, value loss 4.77569, policy loss 0.29162, distill_loss -1.83581, time 2.29474 min
Updates 320, num timesteps 51360, FPS 361, mean/median reward 12.3/8.0, min/max reward 0.0/40.0, entropy 0.73961, value loss 0.49082, policy loss -0.13684, distill_loss -2.14176, time 2.36688 min
Updates 330, num timesteps 52960, FPS 361, mean/median reward 10.1/9.0, min/max reward 0.0/32.0, entropy 0.99936, value loss 1.59035, policy loss 0.01620, distill_loss -1.26529, time 2.43930 min
Updates 340, num timesteps 54560, FPS 362, mean/median reward 11.9/7.0, min/max reward 0.0/32.0, entropy 0.83869, value loss 0.88836, policy loss 0.20991, distill_loss -1.65143, time 2.51058 min
Updates 350, num timesteps 56160, FPS 362, mean/median reward 12.1/8.0, min/max reward 2.0/42.0, entropy 1.15334, value loss 4.36930, policy loss -0.19308, distill_loss -1.27062, time 2.58299 min
Updates 360, num timesteps 57760, FPS 362, mean/median reward 10.5/6.0, min/max reward 2.0/32.0, entropy 1.03861, value loss 2.50242, policy loss -0.27149, distill_loss -0.91441, time 2.65588 min
Updates 370, num timesteps 59360, FPS 362, mean/median reward 12.0/10.0, min/max reward 0.0/38.0, entropy 1.04264, value loss 1.76080, policy loss -0.10803, distill_loss -2.52714, time 2.72849 min
Updates 380, num timesteps 60960, FPS 362, mean/median reward 13.3/9.0, min/max reward 1.0/43.0, entropy 0.84604, value loss 4.87794, policy loss -0.02869, distill_loss -3.06568, time 2.80060 min
Updates 390, num timesteps 62560, FPS 363, mean/median reward 12.0/9.0, min/max reward 1.0/32.0, entropy 0.83526, value loss 1.29009, policy loss 0.28390, distill_loss -3.52383, time 2.87186 min
Updates 400, num timesteps 64160, FPS 363, mean/median reward 11.3/9.0, min/max reward 0.0/32.0, entropy 1.00776, value loss 7.44090, policy loss 0.23963, distill_loss -3.27847, time 2.94481 min
Updates 410, num timesteps 65760, FPS 363, mean/median reward 14.0/10.0, min/max reward 1.0/44.0, entropy 0.75175, value loss 1.66477, policy loss 0.34391, distill_loss -3.17420, time 3.01716 min
Updates 420, num timesteps 67360, FPS 363, mean/median reward 12.8/10.0, min/max reward 1.0/34.0, entropy 0.78117, value loss 5.38601, policy loss -0.25776, distill_loss -4.15292, time 3.09207 min
Updates 430, num timesteps 68960, FPS 362, mean/median reward 13.2/10.0, min/max reward 2.0/34.0, entropy 0.71994, value loss 2.35013, policy loss 0.14441, distill_loss -4.17528, time 3.16624 min
Updates 440, num timesteps 70560, FPS 363, mean/median reward 13.2/10.0, min/max reward 2.0/34.0, entropy 1.00162, value loss 9.38341, policy loss -0.54947, distill_loss -3.62656, time 3.23868 min
Updates 450, num timesteps 72160, FPS 363, mean/median reward 14.2/10.0, min/max reward 1.0/48.0, entropy 0.97421, value loss 0.70967, policy loss -0.09769, distill_loss -4.61005, time 3.30936 min
Updates 460, num timesteps 73760, FPS 363, mean/median reward 20.2/17.0, min/max reward 2.0/43.0, entropy 0.91496, value loss 4.23838, policy loss -0.13192, distill_loss -4.72476, time 3.38059 min
Updates 470, num timesteps 75360, FPS 363, mean/median reward 17.2/13.0, min/max reward 1.0/61.0, entropy 0.78932, value loss 2.78203, policy loss 0.23831, distill_loss -4.66689, time 3.45165 min
Updates 480, num timesteps 76960, FPS 364, mean/median reward 13.3/10.0, min/max reward 2.0/34.0, entropy 0.76760, value loss 7.18458, policy loss -0.05844, distill_loss -5.49050, time 3.52154 min
Updates 490, num timesteps 78560, FPS 364, mean/median reward 15.0/14.0, min/max reward 2.0/36.0, entropy 0.81872, value loss 4.75378, policy loss -0.18362, distill_loss -5.96185, time 3.59403 min
Updates 500, num timesteps 80160, FPS 364, mean/median reward 12.8/9.0, min/max reward 0.0/52.0, entropy 0.87311, value loss 3.72493, policy loss 0.21649, distill_loss -4.49846, time 3.66720 min
Updates 510, num timesteps 81760, FPS 364, mean/median reward 15.2/10.0, min/max reward 2.0/59.0, entropy 0.86059, value loss 1.20118, policy loss 0.20551, distill_loss -4.73607, time 3.73981 min
Updates 520, num timesteps 83360, FPS 364, mean/median reward 13.5/10.0, min/max reward 1.0/37.0, entropy 0.67641, value loss 7.20851, policy loss -0.85156, distill_loss -5.53029, time 3.81170 min
Updates 530, num timesteps 84960, FPS 364, mean/median reward 14.1/10.0, min/max reward 0.0/39.0, entropy 0.61164, value loss 0.27775, policy loss 0.03731, distill_loss -5.69951, time 3.88221 min
Updates 540, num timesteps 86560, FPS 365, mean/median reward 14.8/10.0, min/max reward 0.0/34.0, entropy 0.73885, value loss 1.25334, policy loss -0.11007, distill_loss -5.12668, time 3.95127 min
Updates 550, num timesteps 88160, FPS 365, mean/median reward 11.7/9.0, min/max reward 0.0/32.0, entropy 0.62209, value loss 3.44665, policy loss -0.28358, distill_loss -5.95851, time 4.02417 min
Updates 560, num timesteps 89760, FPS 365, mean/median reward 12.5/8.0, min/max reward 1.0/33.0, entropy 0.72992, value loss 2.30883, policy loss 0.24616, distill_loss -4.40314, time 4.09425 min
Updates 570, num timesteps 91360, FPS 365, mean/median reward 15.2/10.0, min/max reward 1.0/57.0, entropy 0.61539, value loss 5.22257, policy loss -0.22431, distill_loss -5.32973, time 4.16414 min
Updates 580, num timesteps 92960, FPS 365, mean/median reward 16.3/12.0, min/max reward 1.0/57.0, entropy 0.50158, value loss 2.82874, policy loss 0.54662, distill_loss -5.70137, time 4.23563 min
Updates 590, num timesteps 94560, FPS 365, mean/median reward 14.7/10.0, min/max reward 1.0/50.0, entropy 0.51228, value loss 1.13892, policy loss 0.13153, distill_loss -6.80669, time 4.30616 min
Updates 600, num timesteps 96160, FPS 365, mean/median reward 12.7/10.0, min/max reward 1.0/34.0, entropy 0.60881, value loss 4.38779, policy loss -0.13264, distill_loss -5.46625, time 4.38098 min
Updates 610, num timesteps 97760, FPS 365, mean/median reward 12.6/9.0, min/max reward 1.0/43.0, entropy 0.97447, value loss 2.00334, policy loss -0.10681, distill_loss -4.41489, time 4.45639 min
Updates 620, num timesteps 99360, FPS 365, mean/median reward 12.6/9.0, min/max reward 0.0/53.0, entropy 0.55340, value loss 5.48748, policy loss -0.40772, distill_loss -4.72479, time 4.53043 min
Updates 630, num timesteps 100960, FPS 365, mean/median reward 13.2/10.0, min/max reward 1.0/42.0, entropy 0.75985, value loss 2.07349, policy loss -0.01513, distill_loss -4.79629, time 4.60587 min
Updates 640, num timesteps 102560, FPS 365, mean/median reward 13.2/10.0, min/max reward 1.0/42.0, entropy 0.67948, value loss 0.38362, policy loss 0.07481, distill_loss -4.06302, time 4.67842 min
Updates 650, num timesteps 104160, FPS 365, mean/median reward 21.5/10.0, min/max reward 0.0/113.0, entropy 0.82938, value loss 0.54166, policy loss 0.09183, distill_loss -4.11397, time 4.75007 min
Updates 660, num timesteps 105760, FPS 365, mean/median reward 14.0/10.0, min/max reward 1.0/63.0, entropy 0.64848, value loss 2.97964, policy loss -0.00450, distill_loss -4.75390, time 4.82080 min
Updates 670, num timesteps 107360, FPS 365, mean/median reward 11.2/8.0, min/max reward 0.0/38.0, entropy 0.80101, value loss 5.08485, policy loss -0.44269, distill_loss -3.69779, time 4.89252 min
Updates 680, num timesteps 108960, FPS 365, mean/median reward 12.0/9.0, min/max reward 1.0/69.0, entropy 0.86053, value loss 1.67074, policy loss 0.20761, distill_loss -2.76664, time 4.96479 min
Updates 690, num timesteps 110560, FPS 365, mean/median reward 12.7/10.0, min/max reward 1.0/42.0, entropy 0.77092, value loss 0.46720, policy loss 0.09139, distill_loss -3.74231, time 5.03868 min
Updates 700, num timesteps 112160, FPS 365, mean/median reward 13.4/10.0, min/max reward 1.0/38.0, entropy 0.80749, value loss 2.13093, policy loss 0.09244, distill_loss -3.55164, time 5.11058 min
Updates 710, num timesteps 113760, FPS 365, mean/median reward 11.3/7.0, min/max reward 1.0/36.0, entropy 0.78837, value loss 4.10223, policy loss -0.20229, distill_loss -3.53031, time 5.18671 min
Updates 720, num timesteps 115360, FPS 365, mean/median reward 11.7/9.0, min/max reward 1.0/40.0, entropy 0.68266, value loss 1.48248, policy loss -0.10514, distill_loss -4.14715, time 5.25926 min
Updates 730, num timesteps 116960, FPS 365, mean/median reward 9.8/9.0, min/max reward 1.0/24.0, entropy 0.74752, value loss 1.25674, policy loss -0.08308, distill_loss -3.64695, time 5.33149 min
Updates 740, num timesteps 118560, FPS 365, mean/median reward 12.8/10.0, min/max reward 0.0/50.0, entropy 0.83389, value loss 8.40025, policy loss -0.32682, distill_loss -3.41398, time 5.40298 min
Updates 750, num timesteps 120160, FPS 365, mean/median reward 13.6/10.0, min/max reward 0.0/50.0, entropy 0.83675, value loss 1.94336, policy loss -0.08092, distill_loss -3.87007, time 5.47427 min
Updates 760, num timesteps 121760, FPS 365, mean/median reward 11.6/10.0, min/max reward 0.0/40.0, entropy 0.87347, value loss 1.22097, policy loss 0.38888, distill_loss -2.56107, time 5.54606 min
Updates 770, num timesteps 123360, FPS 365, mean/median reward 12.5/11.0, min/max reward 1.0/40.0, entropy 0.71995, value loss 1.36745, policy loss -0.23262, distill_loss -2.31363, time 5.61775 min
Updates 780, num timesteps 124960, FPS 366, mean/median reward 11.7/10.0, min/max reward 1.0/40.0, entropy 0.81202, value loss 1.89749, policy loss 0.22019, distill_loss -3.23278, time 5.68797 min
Updates 790, num timesteps 126560, FPS 366, mean/median reward 16.8/12.0, min/max reward 1.0/50.0, entropy 0.79769, value loss 1.69518, policy loss 0.15764, distill_loss -4.25475, time 5.75718 min
Updates 800, num timesteps 128160, FPS 366, mean/median reward 17.6/11.0, min/max reward 1.0/50.0, entropy 0.80426, value loss 7.03669, policy loss -0.08939, distill_loss -2.76904, time 5.82907 min
Updates 810, num timesteps 129760, FPS 366, mean/median reward 17.1/12.0, min/max reward 1.0/47.0, entropy 0.85052, value loss 5.19470, policy loss -0.01772, distill_loss -2.77075, time 5.90150 min
Updates 820, num timesteps 131360, FPS 366, mean/median reward 13.5/10.0, min/max reward 1.0/52.0, entropy 0.80900, value loss 2.56412, policy loss -0.05105, distill_loss -2.87139, time 5.97453 min
Updates 830, num timesteps 132960, FPS 366, mean/median reward 13.2/10.0, min/max reward 1.0/46.0, entropy 0.76974, value loss 5.70411, policy loss -0.39276, distill_loss -2.89288, time 6.04497 min
Updates 840, num timesteps 134560, FPS 366, mean/median reward 12.9/10.0, min/max reward 1.0/46.0, entropy 0.98380, value loss 5.21357, policy loss -0.19654, distill_loss -2.65575, time 6.11734 min
Updates 850, num timesteps 136160, FPS 366, mean/median reward 16.2/10.0, min/max reward 1.0/89.0, entropy 0.88460, value loss 1.83273, policy loss 0.03505, distill_loss -3.61902, time 6.18995 min
Updates 860, num timesteps 137760, FPS 366, mean/median reward 16.8/10.0, min/max reward 1.0/89.0, entropy 0.80350, value loss 2.32605, policy loss 0.14252, distill_loss -5.00425, time 6.26187 min
Updates 870, num timesteps 139360, FPS 366, mean/median reward 17.4/10.0, min/max reward 1.0/89.0, entropy 0.71959, value loss 6.55154, policy loss -0.52720, distill_loss -4.87825, time 6.33312 min
Updates 880, num timesteps 140960, FPS 366, mean/median reward 17.2/10.0, min/max reward 0.0/89.0, entropy 0.77345, value loss 4.71726, policy loss 0.32460, distill_loss -6.86051, time 6.40572 min
Updates 890, num timesteps 142560, FPS 366, mean/median reward 10.8/10.0, min/max reward 1.0/30.0, entropy 0.60197, value loss 3.91258, policy loss -0.13933, distill_loss -5.48898, time 6.47842 min
Updates 900, num timesteps 144160, FPS 366, mean/median reward 14.9/11.0, min/max reward 1.0/102.0, entropy 0.73440, value loss 1.99595, policy loss -0.08427, distill_loss -3.65784, time 6.54969 min
Updates 910, num timesteps 145760, FPS 366, mean/median reward 12.0/7.0, min/max reward 1.0/66.0, entropy 0.78682, value loss 4.39993, policy loss 0.14040, distill_loss -3.41244, time 6.62260 min
Updates 920, num timesteps 147360, FPS 366, mean/median reward 12.8/6.0, min/max reward 0.0/119.0, entropy 0.83289, value loss 13.76927, policy loss -0.84137, distill_loss -4.58019, time 6.69497 min
Updates 930, num timesteps 148960, FPS 366, mean/median reward 13.6/10.0, min/max reward 1.0/52.0, entropy 0.70947, value loss 1.15171, policy loss 0.02782, distill_loss -3.34936, time 6.76740 min
Updates 940, num timesteps 150560, FPS 366, mean/median reward 12.5/7.0, min/max reward 1.0/48.0, entropy 0.77525, value loss 1.44156, policy loss 0.14747, distill_loss -4.28103, time 6.83857 min
Updates 950, num timesteps 152160, FPS 366, mean/median reward 14.5/8.0, min/max reward 0.0/98.0, entropy 0.79001, value loss 0.99445, policy loss 0.11854, distill_loss -3.68182, time 6.91033 min
Updates 960, num timesteps 153760, FPS 367, mean/median reward 13.3/9.0, min/max reward 1.0/81.0, entropy 0.90492, value loss 10.20230, policy loss -0.39633, distill_loss -3.04786, time 6.98209 min
Updates 970, num timesteps 155360, FPS 367, mean/median reward 13.6/11.0, min/max reward 1.0/52.0, entropy 0.84007, value loss 11.86439, policy loss -0.83763, distill_loss -3.03411, time 7.05522 min
Updates 980, num timesteps 156960, FPS 367, mean/median reward 15.3/10.0, min/max reward 1.0/52.0, entropy 0.93759, value loss 4.56193, policy loss -0.16585, distill_loss -4.07833, time 7.12664 min
Updates 990, num timesteps 158560, FPS 367, mean/median reward 13.7/11.0, min/max reward 1.0/50.0, entropy 0.90249, value loss 5.51919, policy loss -0.20536, distill_loss -4.56884, time 7.19972 min
Updates 1000, num timesteps 160160, FPS 367, mean/median reward 16.2/10.0, min/max reward 1.0/58.0, entropy 0.68607, value loss 5.55924, policy loss -0.02043, distill_loss -4.35991, time 7.27294 min
Updates 1010, num timesteps 161760, FPS 366, mean/median reward 18.2/12.0, min/max reward 1.0/61.0, entropy 0.59942, value loss 1.45221, policy loss 0.12057, distill_loss -5.91202, time 7.34719 min
Updates 1020, num timesteps 163360, FPS 366, mean/median reward 11.4/9.0, min/max reward 1.0/44.0, entropy 0.78831, value loss 2.02521, policy loss 0.39920, distill_loss -3.60368, time 7.41877 min
Updates 1030, num timesteps 164960, FPS 367, mean/median reward 13.1/10.0, min/max reward 1.0/41.0, entropy 0.72255, value loss 12.90070, policy loss -0.84432, distill_loss -4.05592, time 7.49069 min
Updates 1040, num timesteps 166560, FPS 367, mean/median reward 13.9/10.0, min/max reward 1.0/48.0, entropy 0.70468, value loss 3.76543, policy loss -0.24255, distill_loss -4.90005, time 7.56314 min
Updates 1050, num timesteps 168160, FPS 367, mean/median reward 13.8/9.0, min/max reward 1.0/47.0, entropy 0.62100, value loss 5.82269, policy loss -0.21935, distill_loss -4.82656, time 7.63582 min
Updates 1060, num timesteps 169760, FPS 367, mean/median reward 13.1/9.0, min/max reward 1.0/50.0, entropy 0.63476, value loss 4.56246, policy loss -0.44919, distill_loss -4.32225, time 7.70878 min
Updates 1070, num timesteps 171360, FPS 367, mean/median reward 15.1/8.0, min/max reward 0.0/95.0, entropy 0.91461, value loss 2.05666, policy loss 0.12102, distill_loss -3.75958, time 7.77953 min
Updates 1080, num timesteps 172960, FPS 367, mean/median reward 13.9/6.0, min/max reward 0.0/50.0, entropy 0.59048, value loss 7.75599, policy loss -0.32726, distill_loss -4.49873, time 7.85155 min
Updates 1090, num timesteps 174560, FPS 367, mean/median reward 13.7/11.0, min/max reward 0.0/48.0, entropy 0.68923, value loss 5.31065, policy loss -0.40993, distill_loss -4.00237, time 7.92305 min
Updates 1100, num timesteps 176160, FPS 367, mean/median reward 12.4/10.0, min/max reward 1.0/39.0, entropy 0.75023, value loss 2.25463, policy loss -0.09710, distill_loss -3.39858, time 7.99432 min
Updates 1110, num timesteps 177760, FPS 367, mean/median reward 13.0/11.0, min/max reward 1.0/34.0, entropy 0.68880, value loss 3.91018, policy loss 0.18561, distill_loss -3.88787, time 8.06781 min
Updates 1120, num timesteps 179360, FPS 367, mean/median reward 15.8/12.0, min/max reward 1.0/92.0, entropy 0.77490, value loss 0.71460, policy loss 0.04277, distill_loss -3.68162, time 8.13913 min
Updates 1130, num timesteps 180960, FPS 367, mean/median reward 14.8/12.0, min/max reward 2.0/49.0, entropy 0.87542, value loss 2.62616, policy loss -0.17921, distill_loss -3.57321, time 8.21093 min
Updates 1140, num timesteps 182560, FPS 367, mean/median reward 11.8/8.0, min/max reward 0.0/35.0, entropy 1.01207, value loss 7.87355, policy loss -0.90010, distill_loss -2.45489, time 8.28183 min
Updates 1150, num timesteps 184160, FPS 367, mean/median reward 13.1/8.0, min/max reward 0.0/46.0, entropy 0.91616, value loss 1.27884, policy loss 0.22655, distill_loss -2.56047, time 8.35375 min
Updates 1160, num timesteps 185760, FPS 367, mean/median reward 14.4/6.0, min/max reward 0.0/63.0, entropy 0.87845, value loss 3.21117, policy loss 0.16767, distill_loss -2.99879, time 8.42536 min
Updates 1170, num timesteps 187360, FPS 367, mean/median reward 15.7/6.0, min/max reward 0.0/77.0, entropy 0.97786, value loss 9.44213, policy loss -0.14590, distill_loss -3.48648, time 8.49724 min
Updates 1180, num timesteps 188960, FPS 367, mean/median reward 18.3/13.0, min/max reward 2.0/77.0, entropy 0.90592, value loss 1.57433, policy loss -0.02669, distill_loss -3.08815, time 8.56779 min
Updates 1190, num timesteps 190560, FPS 367, mean/median reward 13.0/7.0, min/max reward 1.0/37.0, entropy 0.69502, value loss 5.75666, policy loss -0.29288, distill_loss -5.41099, time 8.64028 min
Updates 1200, num timesteps 192160, FPS 367, mean/median reward 14.1/8.0, min/max reward 1.0/51.0, entropy 0.75995, value loss 1.84512, policy loss 0.24315, distill_loss -5.05793, time 8.71254 min
Updates 1210, num timesteps 193760, FPS 367, mean/median reward 13.2/8.0, min/max reward 1.0/36.0, entropy 0.91323, value loss 7.10128, policy loss -0.34939, distill_loss -3.33732, time 8.78439 min
Updates 1220, num timesteps 195360, FPS 367, mean/median reward 14.4/7.0, min/max reward 1.0/45.0, entropy 0.76118, value loss 6.74588, policy loss 0.30458, distill_loss -5.34187, time 8.85568 min
Updates 1230, num timesteps 196960, FPS 367, mean/median reward 15.8/6.0, min/max reward 1.0/120.0, entropy 1.01685, value loss 2.96717, policy loss 0.09043, distill_loss -3.57158, time 8.92770 min
Updates 1240, num timesteps 198560, FPS 367, mean/median reward 21.7/7.0, min/max reward 1.0/120.0, entropy 0.88205, value loss 3.64019, policy loss 0.16850, distill_loss -4.08700, time 8.99983 min
Updates 1250, num timesteps 200160, FPS 367, mean/median reward 17.4/7.0, min/max reward 1.0/103.0, entropy 0.78226, value loss 2.46702, policy loss -0.13009, distill_loss -4.89174, time 9.07134 min
Updates 1260, num timesteps 201760, FPS 367, mean/median reward 16.5/12.0, min/max reward 0.0/58.0, entropy 0.79458, value loss 8.48800, policy loss -0.46245, distill_loss -3.32547, time 9.14218 min
Updates 1270, num timesteps 203360, FPS 367, mean/median reward 19.9/13.0, min/max reward 0.0/105.0, entropy 0.80649, value loss 3.79018, policy loss -0.07912, distill_loss -3.15472, time 9.21342 min
Updates 1280, num timesteps 204960, FPS 367, mean/median reward 13.1/8.0, min/max reward 0.0/53.0, entropy 0.92735, value loss 2.26563, policy loss 0.57300, distill_loss -3.38772, time 9.28577 min
Updates 1290, num timesteps 206560, FPS 367, mean/median reward 13.9/10.0, min/max reward 0.0/57.0, entropy 0.94197, value loss 6.13316, policy loss 0.02889, distill_loss -2.65084, time 9.35799 min
Updates 1300, num timesteps 208160, FPS 367, mean/median reward 15.7/13.0, min/max reward 2.0/43.0, entropy 1.02341, value loss 4.35550, policy loss 0.05086, distill_loss -2.32762, time 9.42963 min
Updates 1310, num timesteps 209760, FPS 367, mean/median reward 16.0/13.0, min/max reward 1.0/54.0, entropy 0.98179, value loss 2.43637, policy loss -0.07483, distill_loss -3.01088, time 9.50206 min
Updates 1320, num timesteps 211360, FPS 368, mean/median reward 12.8/10.0, min/max reward 1.0/43.0, entropy 0.89288, value loss 10.67225, policy loss -0.35203, distill_loss -2.30730, time 9.57215 min
Updates 1330, num timesteps 212960, FPS 368, mean/median reward 20.3/12.0, min/max reward 0.0/100.0, entropy 0.71051, value loss 10.01081, policy loss -0.67866, distill_loss -3.79025, time 9.64369 min
Updates 1340, num timesteps 214560, FPS 368, mean/median reward 16.4/10.0, min/max reward 0.0/100.0, entropy 0.96752, value loss 6.65250, policy loss -0.64403, distill_loss -2.50473, time 9.71449 min
Updates 1350, num timesteps 216160, FPS 368, mean/median reward 17.1/11.0, min/max reward 0.0/54.0, entropy 0.96215, value loss 7.33316, policy loss -0.27967, distill_loss -2.73592, time 9.78518 min
Updates 1360, num timesteps 217760, FPS 368, mean/median reward 15.5/11.0, min/max reward 0.0/49.0, entropy 0.82077, value loss 2.00298, policy loss 0.45872, distill_loss -2.95814, time 9.85551 min
Updates 1370, num timesteps 219360, FPS 368, mean/median reward 10.6/7.0, min/max reward 2.0/43.0, entropy 0.89732, value loss 3.47073, policy loss -0.40795, distill_loss -3.46172, time 9.92696 min
Updates 1380, num timesteps 220960, FPS 368, mean/median reward 11.6/6.0, min/max reward 2.0/43.0, entropy 0.80594, value loss 1.10086, policy loss 0.26024, distill_loss -2.85551, time 9.99815 min
Updates 1390, num timesteps 222560, FPS 368, mean/median reward 11.6/6.0, min/max reward 0.0/43.0, entropy 0.54326, value loss 4.22684, policy loss -0.20968, distill_loss -3.11459, time 10.06944 min
