command line args: main.py --algo i2a --env HuntMiniPacmanNoFrameskip-v0 --num-processes 128 --port 5555 --log-dir /tmp/gym/Hunt_AfterBugfix --num-steps 10 --entropy-coef 0.02 --distill-coef 0.3 --num-stack 1 --use-class-labels
Updates 0, num timesteps 1280, FPS 367, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 1.60944, value loss 0.00001, policy loss 0.00394, distill_loss -0.00075, time 0.05810 min
Updates 260, num timesteps 334080, FPS 649, mean/median reward -19.9/-20.0, min/max reward -40.0/-7.0, entropy 1.28274, value loss 3.45621, policy loss 0.07607, distill_loss -13.97321, time 8.57102 min
Updates 270, num timesteps 346880, FPS 650, mean/median reward -20.0/-20.0, min/max reward -40.0/-9.0, entropy 1.17498, value loss 3.51685, policy loss -0.01717, distill_loss -14.95910, time 8.88075 min
Updates 280, num timesteps 359680, FPS 652, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 1.05570, value loss 1.87627, policy loss 0.41774, distill_loss -15.82478, time 9.19125 min
Updates 290, num timesteps 372480, FPS 652, mean/median reward -20.0/-20.0, min/max reward -40.0/-18.0, entropy 1.31974, value loss 5.44318, policy loss -0.12095, distill_loss -13.82359, time 9.51545 min
Updates 300, num timesteps 385280, FPS 651, mean/median reward -20.0/-20.0, min/max reward -40.0/-9.0, entropy 1.28066, value loss 2.00818, policy loss 0.46488, distill_loss -16.49710, time 9.85631 min
Updates 310, num timesteps 398080, FPS 652, mean/median reward -19.9/-20.0, min/max reward -40.0/-9.0, entropy 1.24158, value loss 2.22723, policy loss 0.38390, distill_loss -16.30534, time 10.16753 min
Updates 320, num timesteps 410880, FPS 652, mean/median reward -20.2/-20.0, min/max reward -40.0/-18.0, entropy 1.22899, value loss 2.26745, policy loss 0.34623, distill_loss -15.25377, time 10.48917 min
Updates 330, num timesteps 423680, FPS 653, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 1.20921, value loss 5.65301, policy loss -0.22031, distill_loss -12.56569, time 10.80140 min
Updates 340, num timesteps 436480, FPS 654, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 1.10436, value loss 5.24145, policy loss -0.20825, distill_loss -13.02094, time 11.10750 min
Updates 350, num timesteps 449280, FPS 655, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 1.08610, value loss 7.97181, policy loss -0.69994, distill_loss -13.10102, time 11.41974 min
Updates 360, num timesteps 462080, FPS 655, mean/median reward -20.0/-20.0, min/max reward -28.0/-19.0, entropy 1.29166, value loss 6.66249, policy loss -0.50820, distill_loss -12.13385, time 11.75280 min
Updates 370, num timesteps 474880, FPS 655, mean/median reward -19.7/-20.0, min/max reward -20.0/-9.0, entropy 1.23147, value loss 3.59541, policy loss 0.19219, distill_loss -16.25246, time 12.08172 min
Updates 380, num timesteps 487680, FPS 654, mean/median reward -20.4/-20.0, min/max reward -40.0/-18.0, entropy 1.23556, value loss 8.00409, policy loss -0.05898, distill_loss -17.81106, time 12.41536 min
Updates 390, num timesteps 500480, FPS 654, mean/median reward -20.1/-20.0, min/max reward -40.0/-9.0, entropy 1.03526, value loss 1.57296, policy loss 0.75050, distill_loss -20.62118, time 12.74357 min
Updates 400, num timesteps 513280, FPS 652, mean/median reward -20.0/-20.0, min/max reward -40.0/-18.0, entropy 1.19891, value loss 9.57823, policy loss -0.11691, distill_loss -15.71268, time 13.10606 min
Updates 410, num timesteps 526080, FPS 653, mean/median reward -19.8/-20.0, min/max reward -20.0/-7.0, entropy 1.19193, value loss 7.72796, policy loss -0.80407, distill_loss -14.41803, time 13.41689 min
Updates 420, num timesteps 538880, FPS 654, mean/median reward -19.9/-20.0, min/max reward -40.0/-8.0, entropy 1.07513, value loss 6.02340, policy loss -0.40788, distill_loss -14.63050, time 13.73091 min
Updates 430, num timesteps 551680, FPS 653, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 1.21503, value loss 5.04423, policy loss -0.15913, distill_loss -15.29499, time 14.07275 min
Updates 440, num timesteps 564480, FPS 653, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 1.17533, value loss 4.34757, policy loss -0.14535, distill_loss -14.83715, time 14.38835 min
Updates 450, num timesteps 577280, FPS 653, mean/median reward -20.1/-20.0, min/max reward -40.0/-9.0, entropy 1.12712, value loss 4.92532, policy loss -0.18679, distill_loss -14.79890, time 14.72080 min
Updates 460, num timesteps 590080, FPS 654, mean/median reward -19.8/-20.0, min/max reward -20.0/-8.0, entropy 1.00855, value loss 6.02356, policy loss -0.42996, distill_loss -14.70315, time 15.02625 min
Updates 470, num timesteps 602880, FPS 654, mean/median reward -20.0/-20.0, min/max reward -40.0/-9.0, entropy 0.97618, value loss 9.13569, policy loss -0.20329, distill_loss -15.84076, time 15.34195 min
Updates 480, num timesteps 615680, FPS 655, mean/median reward -20.4/-20.0, min/max reward -40.0/-9.0, entropy 1.14090, value loss 3.94955, policy loss 0.05772, distill_loss -17.01151, time 15.66414 min
Updates 490, num timesteps 628480, FPS 655, mean/median reward -20.1/-20.0, min/max reward -40.0/-19.0, entropy 1.27986, value loss 2.91590, policy loss 0.13181, distill_loss -18.44507, time 15.98410 min
Updates 500, num timesteps 641280, FPS 654, mean/median reward -20.2/-20.0, min/max reward -40.0/-19.0, entropy 1.37433, value loss 10.97036, policy loss -0.63186, distill_loss -14.98841, time 16.34229 min
Updates 510, num timesteps 654080, FPS 654, mean/median reward -20.1/-20.0, min/max reward -40.0/-18.0, entropy 1.37787, value loss 4.99724, policy loss -0.16496, distill_loss -16.78543, time 16.66001 min
Updates 520, num timesteps 666880, FPS 653, mean/median reward -20.0/-20.0, min/max reward -40.0/-8.0, entropy 1.38696, value loss 7.84618, policy loss -0.88640, distill_loss -15.21272, time 16.99671 min
Updates 530, num timesteps 679680, FPS 654, mean/median reward -19.9/-20.0, min/max reward -39.0/-9.0, entropy 1.30019, value loss 2.35124, policy loss 0.19355, distill_loss -19.10091, time 17.31580 min
Updates 540, num timesteps 692480, FPS 654, mean/median reward -20.1/-20.0, min/max reward -40.0/-9.0, entropy 1.37799, value loss 2.47659, policy loss 0.20436, distill_loss -18.05203, time 17.63895 min
Updates 550, num timesteps 705280, FPS 654, mean/median reward -20.2/-20.0, min/max reward -40.0/-9.0, entropy 1.10848, value loss 3.72746, policy loss -0.12502, distill_loss -18.12013, time 17.95937 min
Updates 560, num timesteps 718080, FPS 654, mean/median reward -19.9/-20.0, min/max reward -40.0/-9.0, entropy 1.06497, value loss 3.27124, policy loss -0.08922, distill_loss -18.69080, time 18.28023 min
Updates 570, num timesteps 730880, FPS 655, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 1.08980, value loss 2.81179, policy loss 0.10897, distill_loss -18.66440, time 18.58699 min
Updates 580, num timesteps 743680, FPS 655, mean/median reward -19.9/-20.0, min/max reward -40.0/-9.0, entropy 1.23077, value loss 5.14519, policy loss 0.00183, distill_loss -19.21587, time 18.90705 min
Updates 590, num timesteps 756480, FPS 655, mean/median reward -20.0/-20.0, min/max reward -40.0/-9.0, entropy 0.86673, value loss 2.41610, policy loss 0.13019, distill_loss -18.42425, time 19.24694 min
Updates 600, num timesteps 769280, FPS 654, mean/median reward -19.7/-20.0, min/max reward -40.0/-8.0, entropy 0.95213, value loss 3.57380, policy loss 0.16625, distill_loss -18.10337, time 19.58831 min
Updates 610, num timesteps 782080, FPS 654, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 0.99114, value loss 2.35164, policy loss 0.18097, distill_loss -18.91918, time 19.90197 min
Updates 620, num timesteps 794880, FPS 654, mean/median reward -19.8/-20.0, min/max reward -40.0/-9.0, entropy 1.17319, value loss 2.60154, policy loss 0.15645, distill_loss -17.87186, time 20.23696 min
Updates 630, num timesteps 807680, FPS 654, mean/median reward -20.0/-20.0, min/max reward -40.0/-18.0, entropy 1.01040, value loss 4.33244, policy loss 0.09741, distill_loss -17.87968, time 20.55773 min
Updates 640, num timesteps 820480, FPS 654, mean/median reward -20.0/-20.0, min/max reward -40.0/-18.0, entropy 0.89135, value loss 6.50150, policy loss -0.15076, distill_loss -18.40693, time 20.88744 min
Updates 650, num timesteps 833280, FPS 655, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 1.08288, value loss 3.23715, policy loss -0.07991, distill_loss -17.65550, time 21.19188 min
Updates 660, num timesteps 846080, FPS 655, mean/median reward -20.0/-20.0, min/max reward -40.0/-18.0, entropy 1.19467, value loss 3.69042, policy loss -0.06139, distill_loss -17.00415, time 21.50987 min
Updates 670, num timesteps 858880, FPS 655, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 1.07208, value loss 4.48462, policy loss -0.21603, distill_loss -17.16230, time 21.82700 min
Updates 680, num timesteps 871680, FPS 656, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 0.95552, value loss 5.39916, policy loss -0.37008, distill_loss -15.99319, time 22.13378 min
Updates 690, num timesteps 884480, FPS 656, mean/median reward -20.0/-20.0, min/max reward -40.0/-9.0, entropy 0.90417, value loss 7.34311, policy loss -0.52730, distill_loss -15.75727, time 22.46740 min
Updates 700, num timesteps 897280, FPS 654, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 0.90828, value loss 3.82757, policy loss -0.00539, distill_loss -16.95113, time 22.83311 min
Updates 710, num timesteps 910080, FPS 655, mean/median reward -20.0/-20.0, min/max reward -40.0/-9.0, entropy 0.78492, value loss 4.69436, policy loss -0.06024, distill_loss -19.63800, time 23.13717 min
Updates 720, num timesteps 922880, FPS 655, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 0.93494, value loss 2.99433, policy loss -0.13266, distill_loss -18.70463, time 23.45688 min
Updates 730, num timesteps 935680, FPS 656, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 0.79749, value loss 1.73638, policy loss 0.26242, distill_loss -19.97825, time 23.76813 min
Updates 740, num timesteps 948480, FPS 656, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 0.84197, value loss 2.06154, policy loss 0.13594, distill_loss -18.73187, time 24.07940 min
Updates 750, num timesteps 961280, FPS 656, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 0.72321, value loss 4.05476, policy loss -0.16476, distill_loss -17.13379, time 24.39878 min
Updates 760, num timesteps 974080, FPS 656, mean/median reward -20.1/-20.0, min/max reward -40.0/-19.0, entropy 0.70900, value loss 3.83942, policy loss -0.04337, distill_loss -16.57209, time 24.73077 min
Updates 770, num timesteps 986880, FPS 656, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.85645, value loss 3.91017, policy loss -0.15389, distill_loss -16.81998, time 25.04397 min
Updates 780, num timesteps 999680, FPS 656, mean/median reward -20.1/-20.0, min/max reward -40.0/-19.0, entropy 0.89305, value loss 1.51764, policy loss 0.35781, distill_loss -20.09231, time 25.38677 min
Updates 790, num timesteps 1012480, FPS 655, mean/median reward -20.0/-20.0, min/max reward -20.0/-18.0, entropy 0.89242, value loss 2.06228, policy loss 0.08232, distill_loss -19.16177, time 25.72370 min
Updates 800, num timesteps 1025280, FPS 655, mean/median reward -20.2/-20.0, min/max reward -40.0/-19.0, entropy 0.90967, value loss 1.79916, policy loss 0.38942, distill_loss -19.35307, time 26.08610 min
Updates 810, num timesteps 1038080, FPS 655, mean/median reward -19.9/-20.0, min/max reward -20.0/-9.0, entropy 0.96261, value loss 1.54814, policy loss 0.35220, distill_loss -19.95214, time 26.39645 min
Updates 820, num timesteps 1050880, FPS 655, mean/median reward -20.0/-20.0, min/max reward -40.0/-8.0, entropy 1.15682, value loss 4.40188, policy loss 0.09995, distill_loss -17.04467, time 26.71710 min
Updates 830, num timesteps 1063680, FPS 655, mean/median reward -20.3/-20.0, min/max reward -40.0/-19.0, entropy 1.10862, value loss 3.10571, policy loss 0.08730, distill_loss -17.79213, time 27.04102 min
Updates 840, num timesteps 1076480, FPS 655, mean/median reward -19.9/-20.0, min/max reward -20.0/-9.0, entropy 0.90740, value loss 2.94418, policy loss 0.23711, distill_loss -17.21918, time 27.36771 min
Updates 850, num timesteps 1089280, FPS 655, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.98685, value loss 1.74978, policy loss 0.26932, distill_loss -18.91579, time 27.69448 min
Updates 860, num timesteps 1102080, FPS 655, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 0.91223, value loss 3.20137, policy loss 0.00400, distill_loss -16.89395, time 28.00154 min
Updates 870, num timesteps 1114880, FPS 655, mean/median reward -20.1/-20.0, min/max reward -40.0/-19.0, entropy 0.89830, value loss 6.63804, policy loss -0.25963, distill_loss -13.74739, time 28.34038 min
Updates 880, num timesteps 1127680, FPS 655, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 0.73041, value loss 1.67446, policy loss 0.12495, distill_loss -17.14685, time 28.66823 min
Updates 890, num timesteps 1140480, FPS 655, mean/median reward -20.1/-20.0, min/max reward -40.0/-19.0, entropy 0.80328, value loss 1.78377, policy loss 0.15853, distill_loss -18.49872, time 28.99142 min
Updates 900, num timesteps 1153280, FPS 655, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 0.80253, value loss 1.45593, policy loss 0.28592, distill_loss -19.35996, time 29.31929 min
Updates 910, num timesteps 1166080, FPS 655, mean/median reward -19.9/-20.0, min/max reward -20.0/-9.0, entropy 0.80929, value loss 2.80805, policy loss -0.03780, distill_loss -16.17044, time 29.64745 min
Updates 920, num timesteps 1178880, FPS 654, mean/median reward -19.9/-20.0, min/max reward -20.0/-9.0, entropy 0.85724, value loss 4.91791, policy loss -0.33592, distill_loss -14.51387, time 29.99811 min
Updates 930, num timesteps 1191680, FPS 654, mean/median reward -19.9/-20.0, min/max reward -20.0/-9.0, entropy 0.73605, value loss 3.75835, policy loss -0.20008, distill_loss -15.54507, time 30.32282 min
Updates 940, num timesteps 1204480, FPS 655, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 0.59569, value loss 1.60701, policy loss 0.12445, distill_loss -18.58785, time 30.63532 min
Updates 950, num timesteps 1217280, FPS 654, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 0.80255, value loss 3.33700, policy loss -0.06027, distill_loss -15.29570, time 30.97900 min
Updates 960, num timesteps 1230080, FPS 655, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.64587, value loss 4.62648, policy loss -0.22006, distill_loss -15.24049, time 31.29560 min
Updates 970, num timesteps 1242880, FPS 654, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.73286, value loss 3.56486, policy loss -0.02280, distill_loss -16.14363, time 31.63461 min
Updates 980, num timesteps 1255680, FPS 654, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.79161, value loss 3.58994, policy loss -0.15322, distill_loss -16.25653, time 31.97961 min
Updates 990, num timesteps 1268480, FPS 654, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 0.78414, value loss 4.34524, policy loss -0.11168, distill_loss -16.15593, time 32.30259 min
Updates 1000, num timesteps 1281280, FPS 654, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 0.88200, value loss 3.69040, policy loss -0.17586, distill_loss -16.08395, time 32.63526 min
Updates 1010, num timesteps 1294080, FPS 654, mean/median reward -20.2/-20.0, min/max reward -40.0/-19.0, entropy 0.67182, value loss 8.74638, policy loss -0.28899, distill_loss -15.49401, time 32.94418 min
Updates 1020, num timesteps 1306880, FPS 654, mean/median reward -20.3/-20.0, min/max reward -40.0/-19.0, entropy 0.63824, value loss 2.73018, policy loss 0.01561, distill_loss -16.99636, time 33.28423 min
Updates 1030, num timesteps 1319680, FPS 654, mean/median reward -20.0/-20.0, min/max reward -20.0/-18.0, entropy 0.82393, value loss 4.77039, policy loss -0.34012, distill_loss -15.01500, time 33.60072 min
Updates 1040, num timesteps 1332480, FPS 654, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 0.80597, value loss 1.76337, policy loss 0.29026, distill_loss -17.53002, time 33.93075 min
Updates 1050, num timesteps 1345280, FPS 654, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.81511, value loss 2.10713, policy loss 0.27187, distill_loss -16.73492, time 34.26194 min
Updates 1060, num timesteps 1358080, FPS 654, mean/median reward -19.7/-20.0, min/max reward -20.0/-9.0, entropy 0.80745, value loss 3.29936, policy loss -0.00617, distill_loss -15.91758, time 34.59231 min
Updates 1070, num timesteps 1370880, FPS 653, mean/median reward -20.0/-20.0, min/max reward -40.0/-9.0, entropy 0.84021, value loss 6.73768, policy loss -0.06428, distill_loss -15.86894, time 34.93945 min
Updates 1080, num timesteps 1383680, FPS 654, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 0.90044, value loss 3.01507, policy loss -0.13304, distill_loss -15.11198, time 35.25997 min
Updates 1090, num timesteps 1396480, FPS 654, mean/median reward -19.9/-20.0, min/max reward -40.0/-9.0, entropy 0.86638, value loss 5.16707, policy loss -0.03411, distill_loss -14.91485, time 35.57455 min
Updates 1100, num timesteps 1409280, FPS 653, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 0.94567, value loss 4.01028, policy loss -0.21220, distill_loss -15.28683, time 35.95908 min
Updates 1110, num timesteps 1422080, FPS 653, mean/median reward -20.0/-20.0, min/max reward -40.0/-9.0, entropy 0.92924, value loss 3.74274, policy loss -0.22534, distill_loss -14.99515, time 36.27301 min
Updates 1120, num timesteps 1434880, FPS 653, mean/median reward -20.2/-20.0, min/max reward -40.0/-9.0, entropy 0.91891, value loss 1.59393, policy loss 0.20402, distill_loss -17.13851, time 36.59507 min
Updates 1130, num timesteps 1447680, FPS 653, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 1.07374, value loss 5.92675, policy loss -0.07469, distill_loss -15.16900, time 36.92115 min
Updates 1140, num timesteps 1460480, FPS 653, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 0.87637, value loss 4.34799, policy loss -0.07397, distill_loss -16.11224, time 37.26815 min
Updates 1150, num timesteps 1473280, FPS 652, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 0.86802, value loss 2.71130, policy loss 0.07688, distill_loss -18.86043, time 37.60541 min
Updates 1160, num timesteps 1486080, FPS 653, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 1.00161, value loss 5.36512, policy loss -0.28019, distill_loss -17.64479, time 37.91940 min
Updates 1170, num timesteps 1498880, FPS 653, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 1.04995, value loss 2.26376, policy loss 0.26943, distill_loss -20.86026, time 38.24817 min
Updates 1180, num timesteps 1511680, FPS 653, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 1.14739, value loss 3.24858, policy loss 0.03320, distill_loss -20.57109, time 38.55998 min
Updates 1190, num timesteps 1524480, FPS 653, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 1.10625, value loss 3.44897, policy loss -0.17636, distill_loss -19.50980, time 38.88434 min
Updates 1200, num timesteps 1537280, FPS 653, mean/median reward -20.2/-20.0, min/max reward -40.0/-9.0, entropy 1.20678, value loss 5.86269, policy loss -0.34318, distill_loss -17.34086, time 39.22867 min
Updates 1210, num timesteps 1550080, FPS 653, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 1.07973, value loss 3.12689, policy loss 0.15547, distill_loss -21.04972, time 39.55818 min
Updates 1220, num timesteps 1562880, FPS 653, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 1.10547, value loss 3.86741, policy loss 0.04413, distill_loss -17.98335, time 39.88234 min
Updates 1230, num timesteps 1575680, FPS 653, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 0.91388, value loss 2.29459, policy loss 0.26999, distill_loss -19.68792, time 40.19893 min
Updates 1240, num timesteps 1588480, FPS 653, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 0.89549, value loss 1.46180, policy loss 0.44900, distill_loss -22.34792, time 40.54084 min
Updates 1250, num timesteps 1601280, FPS 653, mean/median reward -20.0/-20.0, min/max reward -40.0/-9.0, entropy 1.06807, value loss 2.57615, policy loss 0.06468, distill_loss -18.90084, time 40.85779 min
Updates 1260, num timesteps 1614080, FPS 653, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 1.11147, value loss 3.01045, policy loss 0.14414, distill_loss -19.30976, time 41.18915 min
Updates 1270, num timesteps 1626880, FPS 652, mean/median reward -20.3/-20.0, min/max reward -40.0/-19.0, entropy 1.11350, value loss 2.96460, policy loss 0.03509, distill_loss -19.66291, time 41.52589 min
Updates 1280, num timesteps 1639680, FPS 653, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 0.92987, value loss 4.35731, policy loss -0.08366, distill_loss -18.21331, time 41.83784 min
Updates 1290, num timesteps 1652480, FPS 653, mean/median reward -20.1/-20.0, min/max reward -40.0/-9.0, entropy 1.12629, value loss 3.90011, policy loss -0.09034, distill_loss -19.98482, time 42.17266 min
Updates 1300, num timesteps 1665280, FPS 653, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 1.01612, value loss 2.64877, policy loss 0.27127, distill_loss -20.98397, time 42.50008 min
Updates 1310, num timesteps 1678080, FPS 653, mean/median reward -20.1/-20.0, min/max reward -40.0/-19.0, entropy 0.92594, value loss 6.51442, policy loss -0.37684, distill_loss -19.16601, time 42.81631 min
Updates 1320, num timesteps 1690880, FPS 653, mean/median reward -20.3/-20.0, min/max reward -40.0/-19.0, entropy 1.00789, value loss 5.54789, policy loss -0.19852, distill_loss -20.40357, time 43.12997 min
Updates 1330, num timesteps 1703680, FPS 653, mean/median reward -20.2/-20.0, min/max reward -40.0/-19.0, entropy 1.13247, value loss 9.82237, policy loss -0.51902, distill_loss -19.99773, time 43.43942 min
Updates 1340, num timesteps 1716480, FPS 653, mean/median reward -20.2/-20.0, min/max reward -40.0/-8.0, entropy 0.89256, value loss 9.80136, policy loss -0.69708, distill_loss -18.73849, time 43.75805 min
