command line args: main.py --algo i2a --env RegularMiniPacmanNoFrameskip-v0 --num-processes 64 --port 5555 --log-dir /tmp/gym/RegularCopyModel --num-steps 10 --vis-interval 10 --entropy-coef 0.05 --num-stack 1 --use-copy-model
Updates 0, num timesteps 640, FPS 104, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 1.60944, value loss 2.92146, policy loss 1.94581, distill_loss -0.00107, time 0.10199 min
Updates 150, num timesteps 96640, FPS 862, mean/median reward 12.4/10.0, min/max reward 0.0/41.0, entropy 1.20283, value loss 9.93947, policy loss 0.14389, distill_loss -2.97043, time 1.86803 min
Updates 160, num timesteps 103040, FPS 869, mean/median reward 14.4/11.0, min/max reward 0.0/43.0, entropy 1.25133, value loss 8.12979, policy loss -0.09505, distill_loss -3.07710, time 1.97569 min
Updates 170, num timesteps 109440, FPS 889, mean/median reward 12.3/7.0, min/max reward 0.0/41.0, entropy 1.03466, value loss 14.68322, policy loss -0.77317, distill_loss -4.94967, time 2.05169 min
Updates 180, num timesteps 115840, FPS 895, mean/median reward 13.2/11.0, min/max reward 0.0/58.0, entropy 1.20621, value loss 9.27426, policy loss -0.67710, distill_loss -3.74770, time 2.15546 min
Updates 190, num timesteps 122240, FPS 903, mean/median reward 11.8/10.0, min/max reward 0.0/38.0, entropy 1.26315, value loss 4.15843, policy loss 0.04001, distill_loss -2.38913, time 2.25450 min
Updates 200, num timesteps 128640, FPS 906, mean/median reward 11.5/10.0, min/max reward 0.0/55.0, entropy 1.15771, value loss 5.27271, policy loss 0.26339, distill_loss -1.23125, time 2.36390 min
Updates 210, num timesteps 135040, FPS 910, mean/median reward 11.1/7.0, min/max reward 0.0/59.0, entropy 1.16213, value loss 8.83499, policy loss -0.33722, distill_loss -2.88705, time 2.47320 min
Updates 220, num timesteps 141440, FPS 913, mean/median reward 11.4/7.0, min/max reward 0.0/65.0, entropy 1.19605, value loss 4.17481, policy loss 0.64053, distill_loss -0.67851, time 2.58095 min
Updates 230, num timesteps 147840, FPS 923, mean/median reward 10.8/7.0, min/max reward 0.0/62.0, entropy 1.29488, value loss 4.15469, policy loss 0.03471, distill_loss -1.24113, time 2.66907 min
Updates 240, num timesteps 154240, FPS 931, mean/median reward 10.3/7.0, min/max reward 0.0/34.0, entropy 1.13227, value loss 5.50879, policy loss -0.50171, distill_loss -2.46223, time 2.75887 min
Updates 250, num timesteps 160640, FPS 933, mean/median reward 12.1/7.0, min/max reward 0.0/64.0, entropy 1.19688, value loss 3.63434, policy loss 0.05672, distill_loss -1.70621, time 2.86656 min
Updates 260, num timesteps 167040, FPS 938, mean/median reward 11.2/7.0, min/max reward 0.0/57.0, entropy 1.20946, value loss 5.65525, policy loss 0.15562, distill_loss -1.76960, time 2.96678 min
Updates 270, num timesteps 173440, FPS 930, mean/median reward 11.5/8.0, min/max reward 0.0/42.0, entropy 1.25588, value loss 4.94698, policy loss 0.50433, distill_loss -1.01357, time 3.10506 min
Updates 280, num timesteps 179840, FPS 933, mean/median reward 10.7/8.0, min/max reward 0.0/35.0, entropy 1.26706, value loss 3.46062, policy loss 0.10026, distill_loss -1.23110, time 3.20956 min
Updates 290, num timesteps 186240, FPS 942, mean/median reward 12.0/7.0, min/max reward 0.0/44.0, entropy 1.33847, value loss 1.77591, policy loss 0.01679, distill_loss -0.67829, time 3.29452 min
Updates 300, num timesteps 192640, FPS 949, mean/median reward 12.9/10.0, min/max reward 0.0/58.0, entropy 1.31823, value loss 6.52714, policy loss -0.21593, distill_loss -0.82714, time 3.38309 min
Updates 310, num timesteps 199040, FPS 952, mean/median reward 11.3/7.0, min/max reward 0.0/44.0, entropy 1.13975, value loss 7.12580, policy loss -0.56666, distill_loss -0.21193, time 3.48446 min
Updates 320, num timesteps 205440, FPS 956, mean/median reward 14.3/8.0, min/max reward 0.0/133.0, entropy 1.23165, value loss 8.16236, policy loss -0.10688, distill_loss -0.72863, time 3.57941 min
Updates 330, num timesteps 211840, FPS 957, mean/median reward 11.8/8.0, min/max reward 0.0/49.0, entropy 1.21364, value loss 6.07282, policy loss -0.25954, distill_loss -0.90312, time 3.68812 min
Updates 340, num timesteps 218240, FPS 958, mean/median reward 10.6/7.0, min/max reward 0.0/45.0, entropy 1.14708, value loss 4.92146, policy loss 0.46745, distill_loss -1.01324, time 3.79307 min
Updates 350, num timesteps 224640, FPS 963, mean/median reward 11.3/7.0, min/max reward 0.0/42.0, entropy 1.15256, value loss 15.14375, policy loss -1.08084, distill_loss -0.37977, time 3.88764 min
Updates 360, num timesteps 231040, FPS 974, mean/median reward 13.2/8.0, min/max reward 0.0/69.0, entropy 1.24485, value loss 7.98368, policy loss 0.26280, distill_loss -0.75273, time 3.95318 min
Updates 370, num timesteps 237440, FPS 974, mean/median reward 9.8/7.0, min/max reward 0.0/40.0, entropy 1.30863, value loss 6.23210, policy loss 0.15507, distill_loss -0.73272, time 4.06239 min
Updates 380, num timesteps 243840, FPS 977, mean/median reward 12.1/8.0, min/max reward 0.0/40.0, entropy 1.28433, value loss 2.43390, policy loss 0.12403, distill_loss -1.46755, time 4.15735 min
Updates 390, num timesteps 250240, FPS 979, mean/median reward 10.3/8.0, min/max reward 0.0/38.0, entropy 1.27343, value loss 1.78817, policy loss 0.07979, distill_loss -0.34245, time 4.25677 min
Updates 400, num timesteps 256640, FPS 966, mean/median reward 11.3/8.0, min/max reward 0.0/44.0, entropy 1.30851, value loss 2.83621, policy loss 0.11387, distill_loss -1.42032, time 4.42741 min
Updates 410, num timesteps 263040, FPS 968, mean/median reward 13.2/10.0, min/max reward 0.0/43.0, entropy 1.37349, value loss 2.94008, policy loss -0.05384, distill_loss -0.69468, time 4.52516 min
Updates 420, num timesteps 269440, FPS 978, mean/median reward 16.3/10.0, min/max reward 0.0/141.0, entropy 1.25919, value loss 5.96930, policy loss -0.12833, distill_loss -1.01008, time 4.58758 min
Updates 430, num timesteps 275840, FPS 980, mean/median reward 16.1/10.0, min/max reward 0.0/141.0, entropy 1.27467, value loss 5.12116, policy loss -0.02076, distill_loss -0.92675, time 4.69092 min
Updates 440, num timesteps 282240, FPS 982, mean/median reward 16.6/10.0, min/max reward 0.0/141.0, entropy 1.34661, value loss 5.21500, policy loss 0.36886, distill_loss -1.02690, time 4.79007 min
Updates 450, num timesteps 288640, FPS 984, mean/median reward 15.5/8.0, min/max reward 0.0/141.0, entropy 1.26912, value loss 3.09622, policy loss 0.44616, distill_loss -1.12647, time 4.88455 min
Updates 460, num timesteps 295040, FPS 985, mean/median reward 15.1/10.0, min/max reward 0.0/141.0, entropy 1.30798, value loss 5.26380, policy loss -0.29363, distill_loss -1.13897, time 4.98741 min
Updates 470, num timesteps 301440, FPS 987, mean/median reward 14.9/8.0, min/max reward 0.0/141.0, entropy 1.30819, value loss 7.68319, policy loss -0.07251, distill_loss -0.63200, time 5.08913 min
Updates 480, num timesteps 307840, FPS 992, mean/median reward 15.4/8.0, min/max reward 0.0/141.0, entropy 1.30891, value loss 7.02318, policy loss -0.44877, distill_loss -0.92201, time 5.17182 min
Updates 490, num timesteps 314240, FPS 996, mean/median reward 16.4/10.0, min/max reward 0.0/141.0, entropy 1.19274, value loss 5.41444, policy loss -0.12546, distill_loss 0.39639, time 5.25635 min
Updates 500, num timesteps 320640, FPS 996, mean/median reward 15.1/10.0, min/max reward 0.0/141.0, entropy 1.27371, value loss 13.04865, policy loss -0.91871, distill_loss -0.44533, time 5.36433 min
Updates 510, num timesteps 327040, FPS 998, mean/median reward 18.1/15.0, min/max reward 0.0/141.0, entropy 1.19672, value loss 5.11563, policy loss -0.18586, distill_loss -1.06673, time 5.45978 min
Updates 520, num timesteps 333440, FPS 999, mean/median reward 14.3/9.0, min/max reward 0.0/141.0, entropy 1.16178, value loss 7.61196, policy loss -0.69843, distill_loss -1.13985, time 5.56217 min
Updates 530, num timesteps 339840, FPS 988, mean/median reward 17.1/11.0, min/max reward 0.0/141.0, entropy 1.24936, value loss 4.41427, policy loss -0.32531, distill_loss 0.15898, time 5.72876 min
Updates 540, num timesteps 346240, FPS 994, mean/median reward 16.0/9.0, min/max reward 0.0/141.0, entropy 1.28902, value loss 4.75687, policy loss 0.46775, distill_loss -0.52095, time 5.80137 min
Updates 550, num timesteps 352640, FPS 995, mean/median reward 18.4/10.0, min/max reward 0.0/141.0, entropy 1.29401, value loss 7.64560, policy loss -0.22627, distill_loss -0.72757, time 5.90352 min
Updates 560, num timesteps 359040, FPS 996, mean/median reward 16.4/11.0, min/max reward 0.0/141.0, entropy 1.20990, value loss 8.97429, policy loss -0.11690, distill_loss -1.23120, time 6.00309 min
Updates 570, num timesteps 365440, FPS 997, mean/median reward 18.5/11.0, min/max reward 0.0/141.0, entropy 1.28775, value loss 5.56369, policy loss -0.08975, distill_loss -1.06344, time 6.10832 min
Updates 580, num timesteps 371840, FPS 997, mean/median reward 19.5/11.0, min/max reward 0.0/141.0, entropy 1.28151, value loss 4.47416, policy loss 0.31253, distill_loss -0.79090, time 6.21539 min
Updates 590, num timesteps 378240, FPS 998, mean/median reward 17.9/10.0, min/max reward 0.0/141.0, entropy 1.23729, value loss 4.96370, policy loss -0.19040, distill_loss -0.02386, time 6.31435 min
Updates 600, num timesteps 384640, FPS 1000, mean/median reward 19.0/14.0, min/max reward 0.0/141.0, entropy 1.11488, value loss 14.14573, policy loss -0.53820, distill_loss -1.01105, time 6.40732 min
Updates 610, num timesteps 391040, FPS 1003, mean/median reward 18.7/13.0, min/max reward 0.0/141.0, entropy 1.26378, value loss 8.52502, policy loss -0.40128, distill_loss -0.39498, time 6.49747 min
Updates 620, num timesteps 397440, FPS 1003, mean/median reward 17.9/10.0, min/max reward 0.0/141.0, entropy 1.24229, value loss 3.79401, policy loss 0.29245, distill_loss 0.33589, time 6.60008 min
Updates 630, num timesteps 403840, FPS 1005, mean/median reward 16.1/10.0, min/max reward 0.0/141.0, entropy 1.26382, value loss 8.39731, policy loss -0.49634, distill_loss -0.28699, time 6.69395 min
Updates 640, num timesteps 410240, FPS 1006, mean/median reward 21.5/12.0, min/max reward 0.0/141.0, entropy 1.24002, value loss 4.37653, policy loss -0.09540, distill_loss 0.11917, time 6.79559 min
Updates 650, num timesteps 416640, FPS 1005, mean/median reward 17.1/10.0, min/max reward 0.0/141.0, entropy 1.28395, value loss 6.14621, policy loss 0.11135, distill_loss -0.36276, time 6.90299 min
Updates 660, num timesteps 423040, FPS 1003, mean/median reward 19.3/11.0, min/max reward 0.0/141.0, entropy 1.21129, value loss 6.89021, policy loss -0.03539, distill_loss -0.71614, time 7.02513 min
Updates 670, num timesteps 429440, FPS 1006, mean/median reward 22.3/13.0, min/max reward 0.0/141.0, entropy 1.22462, value loss 5.50965, policy loss 0.53464, distill_loss -0.02693, time 7.11109 min
Updates 680, num timesteps 435840, FPS 1006, mean/median reward 20.6/12.0, min/max reward 0.0/141.0, entropy 1.21743, value loss 4.58572, policy loss 0.04539, distill_loss -0.21805, time 7.21522 min
Updates 690, num timesteps 442240, FPS 1007, mean/median reward 19.3/15.0, min/max reward 0.0/141.0, entropy 1.09576, value loss 10.74446, policy loss 0.00017, distill_loss -0.11910, time 7.31373 min
Updates 700, num timesteps 448640, FPS 1007, mean/median reward 19.6/16.0, min/max reward 0.0/141.0, entropy 1.16011, value loss 12.10631, policy loss -0.08238, distill_loss -0.41680, time 7.41970 min
Updates 710, num timesteps 455040, FPS 1007, mean/median reward 22.4/16.0, min/max reward 0.0/141.0, entropy 1.14205, value loss 5.52271, policy loss 0.25128, distill_loss -0.12585, time 7.52555 min
Updates 720, num timesteps 461440, FPS 1008, mean/median reward 24.3/21.0, min/max reward 0.0/138.0, entropy 1.14882, value loss 10.93847, policy loss -0.14279, distill_loss -0.19386, time 7.62524 min
Updates 730, num timesteps 467840, FPS 1013, mean/median reward 25.7/18.0, min/max reward 0.0/138.0, entropy 1.00938, value loss 15.52636, policy loss -0.60751, distill_loss -0.36981, time 7.69423 min
Updates 740, num timesteps 474240, FPS 1013, mean/median reward 20.7/13.0, min/max reward 0.0/138.0, entropy 1.02372, value loss 7.24771, policy loss 0.04739, distill_loss -0.39210, time 7.80058 min
Updates 750, num timesteps 480640, FPS 1013, mean/median reward 18.0/13.0, min/max reward 0.0/127.0, entropy 1.11441, value loss 5.01809, policy loss -0.01351, distill_loss 0.46453, time 7.90233 min
Updates 760, num timesteps 487040, FPS 1014, mean/median reward 17.9/14.0, min/max reward 1.0/127.0, entropy 0.94005, value loss 15.10965, policy loss -0.49678, distill_loss -0.42252, time 7.99953 min
Updates 770, num timesteps 493440, FPS 1014, mean/median reward 18.3/15.0, min/max reward 0.0/127.0, entropy 1.14751, value loss 15.46819, policy loss -0.40848, distill_loss -0.33110, time 8.10616 min
Updates 780, num timesteps 499840, FPS 1013, mean/median reward 23.3/16.0, min/max reward 1.0/132.0, entropy 1.25393, value loss 14.29609, policy loss -0.80398, distill_loss -0.61491, time 8.21998 min
Updates 790, num timesteps 506240, FPS 1016, mean/median reward 19.5/13.0, min/max reward 0.0/127.0, entropy 1.13208, value loss 7.29026, policy loss 0.32464, distill_loss -0.57314, time 8.29785 min
Updates 800, num timesteps 512640, FPS 1017, mean/median reward 22.3/16.0, min/max reward 1.0/127.0, entropy 1.13442, value loss 7.84008, policy loss 0.34929, distill_loss -0.59400, time 8.39349 min
Updates 810, num timesteps 519040, FPS 1017, mean/median reward 21.0/16.0, min/max reward 1.0/127.0, entropy 1.17413, value loss 6.74222, policy loss 0.09360, distill_loss 0.37538, time 8.49848 min
Updates 820, num timesteps 525440, FPS 1018, mean/median reward 22.5/17.0, min/max reward 1.0/127.0, entropy 1.08346, value loss 7.00600, policy loss -0.27360, distill_loss 0.70132, time 8.60239 min
Updates 830, num timesteps 531840, FPS 1018, mean/median reward 21.2/16.0, min/max reward 0.0/132.0, entropy 1.22566, value loss 4.30286, policy loss 0.42758, distill_loss -0.00960, time 8.70514 min
Updates 840, num timesteps 538240, FPS 1018, mean/median reward 20.6/15.0, min/max reward 0.0/145.0, entropy 1.18836, value loss 6.69022, policy loss 0.21926, distill_loss -0.59280, time 8.80541 min
Updates 850, num timesteps 544640, FPS 1019, mean/median reward 19.3/13.0, min/max reward 1.0/127.0, entropy 1.22526, value loss 6.32587, policy loss 0.59614, distill_loss -1.29386, time 8.90592 min
Updates 860, num timesteps 551040, FPS 1021, mean/median reward 20.6/16.0, min/max reward 0.0/127.0, entropy 1.20551, value loss 5.15928, policy loss 0.40201, distill_loss -0.20353, time 8.98934 min
Updates 870, num timesteps 557440, FPS 1022, mean/median reward 23.7/17.0, min/max reward 1.0/127.0, entropy 1.10184, value loss 11.08239, policy loss 0.00697, distill_loss -0.22187, time 9.08446 min
Updates 880, num timesteps 563840, FPS 1022, mean/median reward 23.7/17.0, min/max reward 1.0/135.0, entropy 1.12840, value loss 7.48538, policy loss 0.11761, distill_loss -0.23258, time 9.18685 min
Updates 890, num timesteps 570240, FPS 1022, mean/median reward 24.0/16.0, min/max reward 0.0/135.0, entropy 1.09196, value loss 10.37807, policy loss 0.36105, distill_loss 0.31803, time 9.29139 min
Updates 900, num timesteps 576640, FPS 1020, mean/median reward 20.5/16.0, min/max reward 1.0/127.0, entropy 1.08579, value loss 13.92662, policy loss -0.44420, distill_loss 0.10808, time 9.42078 min
Updates 910, num timesteps 583040, FPS 1020, mean/median reward 18.1/10.0, min/max reward 1.0/127.0, entropy 1.26934, value loss 9.00784, policy loss 0.07321, distill_loss -1.97678, time 9.52453 min
Updates 920, num timesteps 589440, FPS 1024, mean/median reward 17.2/13.0, min/max reward 0.0/127.0, entropy 1.22565, value loss 6.85537, policy loss -0.18945, distill_loss -0.02636, time 9.59210 min
Updates 930, num timesteps 595840, FPS 1024, mean/median reward 23.6/18.0, min/max reward 0.0/136.0, entropy 1.24630, value loss 5.78260, policy loss 0.01893, distill_loss -0.31589, time 9.69279 min
Updates 940, num timesteps 602240, FPS 1024, mean/median reward 21.3/12.0, min/max reward 2.0/142.0, entropy 1.19879, value loss 9.90593, policy loss -0.10687, distill_loss -0.18286, time 9.79658 min
Updates 950, num timesteps 608640, FPS 1025, mean/median reward 20.4/16.0, min/max reward 1.0/127.0, entropy 1.14667, value loss 9.77671, policy loss 0.12323, distill_loss 0.23889, time 9.89031 min
Updates 960, num timesteps 615040, FPS 1026, mean/median reward 22.5/16.0, min/max reward 2.0/127.0, entropy 1.02218, value loss 16.99440, policy loss -0.10453, distill_loss 0.70703, time 9.99076 min
Updates 970, num timesteps 621440, FPS 1026, mean/median reward 26.3/19.0, min/max reward 0.0/139.0, entropy 1.05529, value loss 13.17368, policy loss -0.44003, distill_loss -0.26706, time 10.09382 min
Updates 980, num timesteps 627840, FPS 1028, mean/median reward 20.5/16.0, min/max reward 1.0/127.0, entropy 1.09020, value loss 10.19948, policy loss -0.53538, distill_loss 0.06865, time 10.17817 min
Updates 990, num timesteps 634240, FPS 1029, mean/median reward 21.2/18.0, min/max reward 1.0/127.0, entropy 1.19094, value loss 9.77250, policy loss -0.22066, distill_loss 0.23686, time 10.26376 min
Updates 1000, num timesteps 640640, FPS 1029, mean/median reward 21.8/16.0, min/max reward 0.0/127.0, entropy 1.11700, value loss 12.35532, policy loss -0.34301, distill_loss 0.73754, time 10.36968 min
Updates 1010, num timesteps 647040, FPS 1029, mean/median reward 19.9/12.0, min/max reward 1.0/144.0, entropy 1.13309, value loss 10.45717, policy loss -0.31753, distill_loss 0.96420, time 10.47474 min
Updates 1020, num timesteps 653440, FPS 1030, mean/median reward 17.0/13.0, min/max reward 1.0/53.0, entropy 1.32898, value loss 4.12664, policy loss 0.27343, distill_loss -0.70822, time 10.57300 min
Updates 1030, num timesteps 659840, FPS 1030, mean/median reward 20.7/12.0, min/max reward 0.0/141.0, entropy 1.19400, value loss 3.66487, policy loss 0.17662, distill_loss 0.52989, time 10.67574 min
Updates 1040, num timesteps 666240, FPS 1029, mean/median reward 18.7/14.0, min/max reward 0.0/53.0, entropy 1.24198, value loss 5.28645, policy loss -0.28756, distill_loss 0.38831, time 10.79008 min
Updates 1050, num timesteps 672640, FPS 1032, mean/median reward 18.7/13.0, min/max reward 0.0/61.0, entropy 1.14709, value loss 5.52154, policy loss -0.11486, distill_loss -0.83663, time 10.86168 min
Updates 1060, num timesteps 679040, FPS 1032, mean/median reward 20.3/19.0, min/max reward 0.0/97.0, entropy 1.15644, value loss 19.63017, policy loss -0.69350, distill_loss 0.91002, time 10.96410 min
Updates 1070, num timesteps 685440, FPS 1032, mean/median reward 20.6/13.0, min/max reward 0.0/141.0, entropy 1.19372, value loss 10.86621, policy loss -0.43175, distill_loss 0.53615, time 11.06034 min
Updates 1080, num timesteps 691840, FPS 1033, mean/median reward 18.6/12.0, min/max reward 0.0/60.0, entropy 1.34142, value loss 3.28440, policy loss 0.28835, distill_loss 0.11320, time 11.15336 min
Updates 1090, num timesteps 698240, FPS 1034, mean/median reward 18.8/12.0, min/max reward 0.0/64.0, entropy 1.25409, value loss 14.74031, policy loss -0.86697, distill_loss 0.42601, time 11.25355 min
Updates 1100, num timesteps 704640, FPS 1034, mean/median reward 20.4/17.0, min/max reward 0.0/145.0, entropy 1.21960, value loss 7.78652, policy loss -0.40625, distill_loss 0.55953, time 11.35268 min
Updates 1110, num timesteps 711040, FPS 1035, mean/median reward 17.5/11.0, min/max reward 0.0/57.0, entropy 1.23941, value loss 4.86214, policy loss 0.06415, distill_loss 0.46247, time 11.44119 min
Updates 1120, num timesteps 717440, FPS 1037, mean/median reward 18.6/14.0, min/max reward 0.0/57.0, entropy 1.32335, value loss 6.25057, policy loss 0.22702, distill_loss 0.45299, time 11.52681 min
Updates 1130, num timesteps 723840, FPS 1038, mean/median reward 19.3/12.0, min/max reward 0.0/58.0, entropy 1.29882, value loss 6.58423, policy loss -0.15086, distill_loss 0.54612, time 11.61842 min
Updates 1140, num timesteps 730240, FPS 1038, mean/median reward 20.5/12.0, min/max reward 0.0/67.0, entropy 1.23886, value loss 5.33999, policy loss -0.16246, distill_loss 0.97338, time 11.71810 min
Updates 1150, num timesteps 736640, FPS 1038, mean/median reward 17.5/10.0, min/max reward 0.0/64.0, entropy 1.27685, value loss 6.28081, policy loss -0.08432, distill_loss 0.42251, time 11.82387 min
Updates 1160, num timesteps 743040, FPS 1038, mean/median reward 21.6/12.0, min/max reward 0.0/134.0, entropy 1.28858, value loss 7.05363, policy loss -0.13082, distill_loss 0.63602, time 11.91999 min
Updates 1170, num timesteps 749440, FPS 1035, mean/median reward 19.9/13.0, min/max reward 0.0/134.0, entropy 1.26266, value loss 6.24076, policy loss -0.58680, distill_loss 0.27793, time 12.06136 min
Updates 1180, num timesteps 755840, FPS 1034, mean/median reward 22.6/12.0, min/max reward 0.0/137.0, entropy 1.24055, value loss 4.63302, policy loss 0.28635, distill_loss 0.46558, time 12.18177 min
Updates 1190, num timesteps 762240, FPS 1033, mean/median reward 23.6/18.0, min/max reward 0.0/137.0, entropy 1.21238, value loss 7.58632, policy loss -0.57106, distill_loss 0.51152, time 12.28650 min
Updates 1200, num timesteps 768640, FPS 1033, mean/median reward 28.9/17.0, min/max reward 0.0/139.0, entropy 1.09241, value loss 6.15453, policy loss -0.04988, distill_loss 0.16638, time 12.39517 min
Updates 1210, num timesteps 775040, FPS 1033, mean/median reward 24.4/12.0, min/max reward 0.0/142.0, entropy 1.02829, value loss 12.23068, policy loss -0.07697, distill_loss -0.07285, time 12.49847 min
Updates 1220, num timesteps 781440, FPS 1034, mean/median reward 25.0/14.0, min/max reward 0.0/138.0, entropy 1.19217, value loss 5.00167, policy loss -0.27937, distill_loss 0.49429, time 12.59373 min
Updates 1230, num timesteps 787840, FPS 1034, mean/median reward 28.9/18.0, min/max reward 0.0/137.0, entropy 1.17751, value loss 6.73031, policy loss -0.10222, distill_loss 0.94808, time 12.69744 min
Updates 1240, num timesteps 794240, FPS 1036, mean/median reward 24.5/17.0, min/max reward 0.0/137.0, entropy 1.21930, value loss 5.76546, policy loss 0.16700, distill_loss 0.55317, time 12.77374 min
Updates 1250, num timesteps 800640, FPS 1037, mean/median reward 22.9/16.0, min/max reward 0.0/137.0, entropy 1.23382, value loss 4.46931, policy loss 0.04394, distill_loss 0.12837, time 12.86691 min
Updates 1260, num timesteps 807040, FPS 1037, mean/median reward 27.3/16.0, min/max reward 0.0/137.0, entropy 1.17443, value loss 5.47605, policy loss 0.13324, distill_loss 0.57518, time 12.96485 min
Updates 1270, num timesteps 813440, FPS 1037, mean/median reward 26.6/20.0, min/max reward 0.0/137.0, entropy 1.20778, value loss 12.16975, policy loss -0.30464, distill_loss 0.46172, time 13.06427 min
Updates 1280, num timesteps 819840, FPS 1038, mean/median reward 24.8/15.0, min/max reward 0.0/137.0, entropy 1.16540, value loss 10.52106, policy loss -0.18558, distill_loss 0.31689, time 13.16364 min
Updates 1290, num timesteps 826240, FPS 1037, mean/median reward 25.0/16.0, min/max reward 0.0/137.0, entropy 1.29556, value loss 3.57338, policy loss 0.35779, distill_loss -0.16737, time 13.26992 min
Updates 1300, num timesteps 832640, FPS 1035, mean/median reward 28.8/20.0, min/max reward 0.0/139.0, entropy 1.13276, value loss 5.85026, policy loss -0.11333, distill_loss 0.04626, time 13.40429 min
Updates 1310, num timesteps 839040, FPS 1036, mean/median reward 24.7/15.0, min/max reward 0.0/139.0, entropy 1.21932, value loss 5.10011, policy loss 0.46813, distill_loss -0.37015, time 13.49123 min
Updates 1320, num timesteps 845440, FPS 1037, mean/median reward 21.6/13.0, min/max reward 0.0/137.0, entropy 1.12984, value loss 7.72402, policy loss 0.28280, distill_loss 0.01414, time 13.58765 min
Updates 1330, num timesteps 851840, FPS 1037, mean/median reward 22.9/15.0, min/max reward 2.0/137.0, entropy 1.13876, value loss 9.36309, policy loss -0.14303, distill_loss 0.07421, time 13.69028 min
Updates 1340, num timesteps 858240, FPS 1036, mean/median reward 21.2/14.0, min/max reward 1.0/137.0, entropy 1.15931, value loss 6.61595, policy loss 0.19028, distill_loss -0.08210, time 13.79480 min
Updates 1350, num timesteps 864640, FPS 1037, mean/median reward 23.5/16.0, min/max reward 1.0/137.0, entropy 1.13802, value loss 10.36564, policy loss -0.19092, distill_loss -0.09497, time 13.89375 min
Updates 1360, num timesteps 871040, FPS 1037, mean/median reward 22.1/14.0, min/max reward 0.0/145.0, entropy 1.20250, value loss 9.51962, policy loss -0.08545, distill_loss -0.11553, time 13.99467 min
Updates 1370, num timesteps 877440, FPS 1039, mean/median reward 23.1/16.0, min/max reward 2.0/137.0, entropy 1.07525, value loss 7.99378, policy loss -0.19340, distill_loss 0.32000, time 14.06671 min
