command line args: main.py --algo i2a --env-name MsPacmanNoFrameskip-v0 --num-processes 100 --port 5555 --log-dir /tmp/gym/MsPacman_dSSM_DET --num-steps 10 --entropy-coef 0.02 --distill-coef 10 --num-stack 4 --num-frames 300000000 --train-on-200x160-pixel --latent-space-model dSSM_DET
Updates 0, num timesteps 1000, FPS 128, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 2.19722, value loss 0.00074, policy loss -0.00386, distill_loss -0.00363, time 0.13011 min
Updates 230, num timesteps 231000, FPS 127, mean/median reward 18.4/15.0, min/max reward -21.0/321.0, entropy 1.82434, value loss 0.42398, policy loss 0.06974, distill_loss 2.63618, time 30.21405 min
Updates 240, num timesteps 241000, FPS 127, mean/median reward 19.9/15.0, min/max reward -21.0/321.0, entropy 1.74406, value loss 7.38722, policy loss 0.17116, distill_loss 2.95864, time 31.52103 min
Updates 250, num timesteps 251000, FPS 127, mean/median reward 19.6/15.0, min/max reward -19.0/321.0, entropy 1.92875, value loss 5.99788, policy loss 0.12327, distill_loss 1.47719, time 32.81612 min
Updates 260, num timesteps 261000, FPS 127, mean/median reward 24.8/16.0, min/max reward -19.0/321.0, entropy 1.98360, value loss 3.09134, policy loss 0.61279, distill_loss 1.37075, time 34.11683 min
Updates 270, num timesteps 271000, FPS 127, mean/median reward 21.7/17.0, min/max reward -19.0/321.0, entropy 1.88706, value loss 7.31865, policy loss -0.47519, distill_loss 1.79161, time 35.42373 min
Updates 280, num timesteps 281000, FPS 127, mean/median reward 23.1/18.0, min/max reward -19.0/321.0, entropy 1.68300, value loss 3.89641, policy loss 0.12151, distill_loss 2.66628, time 36.73814 min
Updates 290, num timesteps 291000, FPS 127, mean/median reward 23.0/17.0, min/max reward -19.0/321.0, entropy 1.59230, value loss 20.70465, policy loss -0.22291, distill_loss 2.98017, time 38.05104 min
Updates 300, num timesteps 301000, FPS 127, mean/median reward 19.5/16.0, min/max reward -20.0/149.0, entropy 1.71175, value loss 6.22717, policy loss 0.12878, distill_loss 2.06666, time 39.36105 min
Updates 310, num timesteps 311000, FPS 127, mean/median reward 18.2/14.0, min/max reward -20.0/149.0, entropy 1.61728, value loss 4.78550, policy loss -0.37028, distill_loss 2.71306, time 40.67545 min
Updates 320, num timesteps 321000, FPS 127, mean/median reward 17.4/14.0, min/max reward -20.0/75.0, entropy 1.68318, value loss 3.99280, policy loss -0.03761, distill_loss 2.22736, time 41.98850 min
Updates 330, num timesteps 331000, FPS 127, mean/median reward 17.6/10.0, min/max reward -20.0/144.0, entropy 1.38883, value loss 18.19717, policy loss 0.31792, distill_loss 3.55883, time 43.32067 min
Updates 340, num timesteps 341000, FPS 127, mean/median reward 18.1/11.0, min/max reward -20.0/144.0, entropy 1.60176, value loss 34.38569, policy loss 0.70084, distill_loss 2.03971, time 44.63551 min
Updates 350, num timesteps 351000, FPS 127, mean/median reward 21.3/15.0, min/max reward -20.0/144.0, entropy 1.67058, value loss 3.36777, policy loss 0.09348, distill_loss -2.53130, time 45.94205 min
Updates 360, num timesteps 361000, FPS 127, mean/median reward 23.3/18.0, min/max reward -20.0/144.0, entropy 1.90761, value loss 5.84265, policy loss 0.22324, distill_loss -4.94038, time 47.24569 min
Updates 370, num timesteps 371000, FPS 127, mean/median reward 23.1/19.0, min/max reward -20.0/144.0, entropy 1.81679, value loss 3.66127, policy loss 0.54542, distill_loss -5.57595, time 48.56029 min
Updates 380, num timesteps 381000, FPS 127, mean/median reward 18.9/9.0, min/max reward -19.0/144.0, entropy 1.91393, value loss 2.65041, policy loss 0.27902, distill_loss -3.60091, time 49.87439 min
Updates 390, num timesteps 391000, FPS 127, mean/median reward 17.6/8.0, min/max reward -22.0/156.0, entropy 1.99000, value loss 3.84590, policy loss 0.02864, distill_loss -5.11891, time 51.19557 min
Updates 400, num timesteps 401000, FPS 127, mean/median reward 12.6/0.0, min/max reward -22.0/192.0, entropy 1.99064, value loss 3.15958, policy loss 0.22558, distill_loss -5.48659, time 52.50562 min
Updates 410, num timesteps 411000, FPS 127, mean/median reward 10.1/-3.0, min/max reward -23.0/192.0, entropy 2.00412, value loss 4.10948, policy loss -0.09009, distill_loss -5.25744, time 53.81941 min
Updates 420, num timesteps 421000, FPS 127, mean/median reward 7.2/-5.0, min/max reward -23.0/192.0, entropy 1.97820, value loss 2.90060, policy loss 0.30653, distill_loss -4.61956, time 55.13924 min
Updates 430, num timesteps 431000, FPS 127, mean/median reward 6.3/-3.0, min/max reward -23.0/192.0, entropy 1.97019, value loss 1.76826, policy loss 0.28374, distill_loss -4.59321, time 56.45701 min
Updates 440, num timesteps 441000, FPS 127, mean/median reward 5.8/-3.0, min/max reward -23.0/192.0, entropy 1.92977, value loss 6.85911, policy loss -0.92195, distill_loss -3.85798, time 57.77730 min
Updates 450, num timesteps 451000, FPS 127, mean/median reward 4.7/-2.0, min/max reward -23.0/84.0, entropy 1.79312, value loss 4.67629, policy loss -0.09197, distill_loss -4.34941, time 59.07433 min
Updates 460, num timesteps 461000, FPS 127, mean/median reward 5.1/0.0, min/max reward -23.0/78.0, entropy 1.53276, value loss 3.32900, policy loss 0.02565, distill_loss -4.40179, time 60.39661 min
Updates 470, num timesteps 471000, FPS 127, mean/median reward 6.6/1.0, min/max reward -23.0/79.0, entropy 1.59975, value loss 7.47492, policy loss 0.16006, distill_loss -3.32069, time 61.72095 min
Updates 480, num timesteps 481000, FPS 127, mean/median reward 6.3/1.0, min/max reward -19.0/79.0, entropy 1.65998, value loss 6.82531, policy loss -0.26574, distill_loss -1.51547, time 63.04444 min
Updates 490, num timesteps 491000, FPS 127, mean/median reward 7.7/0.0, min/max reward -19.0/84.0, entropy 1.61382, value loss 5.35319, policy loss -0.26554, distill_loss -0.31512, time 64.36625 min
Updates 500, num timesteps 501000, FPS 127, mean/median reward 8.9/1.0, min/max reward -15.0/84.0, entropy 0.73338, value loss 4.82791, policy loss -0.41796, distill_loss 6.78444, time 65.69334 min
Updates 510, num timesteps 511000, FPS 127, mean/median reward 12.7/3.0, min/max reward -15.0/84.0, entropy 1.42509, value loss 4.86421, policy loss 0.04312, distill_loss 1.47509, time 67.03768 min
Updates 520, num timesteps 521000, FPS 127, mean/median reward 20.7/7.0, min/max reward -15.0/338.0, entropy 1.72179, value loss 4.45419, policy loss -0.50803, distill_loss -1.67238, time 68.33694 min
Updates 530, num timesteps 531000, FPS 127, mean/median reward 22.6/12.0, min/max reward -15.0/338.0, entropy 1.39134, value loss 2.05951, policy loss 0.03829, distill_loss 0.12492, time 69.65992 min
Updates 540, num timesteps 541000, FPS 127, mean/median reward 25.2/18.0, min/max reward -15.0/338.0, entropy 1.56957, value loss 3.64282, policy loss -0.10316, distill_loss -1.61088, time 70.96982 min
Updates 550, num timesteps 551000, FPS 127, mean/median reward 26.6/18.0, min/max reward -15.0/338.0, entropy 1.53650, value loss 10.94229, policy loss -0.15773, distill_loss -0.87032, time 72.27554 min
Updates 560, num timesteps 561000, FPS 127, mean/median reward 26.1/18.0, min/max reward -16.0/338.0, entropy 1.53333, value loss 13.59545, policy loss 1.08230, distill_loss -1.12755, time 73.56896 min
Updates 570, num timesteps 571000, FPS 127, mean/median reward 22.1/16.0, min/max reward -16.0/190.0, entropy 1.78897, value loss 3.25228, policy loss -0.08093, distill_loss -3.22398, time 74.86059 min
Updates 580, num timesteps 581000, FPS 127, mean/median reward 22.5/16.0, min/max reward -16.0/190.0, entropy 1.75825, value loss 7.92818, policy loss 0.39649, distill_loss -2.73873, time 76.16656 min
Updates 590, num timesteps 591000, FPS 127, mean/median reward 19.2/13.0, min/max reward -16.0/159.0, entropy 1.52148, value loss 2.72757, policy loss 0.11699, distill_loss 0.29503, time 77.48289 min
Updates 600, num timesteps 601000, FPS 127, mean/median reward 18.4/12.0, min/max reward -16.0/159.0, entropy 1.46558, value loss 5.92995, policy loss 0.23255, distill_loss -0.58613, time 78.79369 min
Updates 610, num timesteps 611000, FPS 127, mean/median reward 16.6/10.0, min/max reward -19.0/159.0, entropy 1.70756, value loss 6.59844, policy loss 0.24307, distill_loss -4.03671, time 80.09208 min
Updates 620, num timesteps 621000, FPS 127, mean/median reward 16.1/8.0, min/max reward -19.0/159.0, entropy 1.67728, value loss 3.41866, policy loss 0.15515, distill_loss -2.42474, time 81.40069 min
Updates 630, num timesteps 631000, FPS 127, mean/median reward 14.7/6.0, min/max reward -19.0/159.0, entropy 1.98296, value loss 12.56484, policy loss 0.73159, distill_loss -4.36695, time 82.70178 min
Updates 640, num timesteps 641000, FPS 127, mean/median reward 17.0/6.0, min/max reward -19.0/217.0, entropy 1.98174, value loss 2.99628, policy loss 0.00790, distill_loss -4.52951, time 83.99910 min
Updates 650, num timesteps 651000, FPS 127, mean/median reward 17.0/6.0, min/max reward -19.0/217.0, entropy 2.08843, value loss 4.56653, policy loss -0.34621, distill_loss -4.52995, time 85.30951 min
Updates 660, num timesteps 661000, FPS 127, mean/median reward 21.1/10.0, min/max reward -14.0/217.0, entropy 1.78585, value loss 5.34225, policy loss -0.43017, distill_loss -6.28086, time 86.61246 min
Updates 670, num timesteps 671000, FPS 127, mean/median reward 14.6/5.0, min/max reward -21.0/165.0, entropy 1.75022, value loss 3.43050, policy loss -0.09947, distill_loss -3.90140, time 87.92780 min
Updates 680, num timesteps 681000, FPS 127, mean/median reward 9.6/1.0, min/max reward -21.0/165.0, entropy 1.35725, value loss 6.24568, policy loss -0.59300, distill_loss -1.34600, time 89.25706 min
Updates 690, num timesteps 691000, FPS 127, mean/median reward 6.8/1.0, min/max reward -21.0/165.0, entropy 1.82788, value loss 2.76754, policy loss 0.30054, distill_loss -5.69741, time 90.57366 min
Updates 700, num timesteps 701000, FPS 127, mean/median reward 6.1/-2.0, min/max reward -21.0/165.0, entropy 1.75646, value loss 3.76858, policy loss -0.58043, distill_loss -3.86814, time 91.88973 min
Updates 710, num timesteps 711000, FPS 127, mean/median reward 5.3/-2.0, min/max reward -20.0/165.0, entropy 1.76424, value loss 10.37225, policy loss 0.66286, distill_loss -7.20167, time 93.19866 min
Updates 720, num timesteps 721000, FPS 127, mean/median reward 5.6/-2.0, min/max reward -20.0/165.0, entropy 1.71278, value loss 3.23101, policy loss -0.06790, distill_loss -5.14984, time 94.52221 min
Updates 730, num timesteps 731000, FPS 127, mean/median reward 8.1/1.0, min/max reward -17.0/165.0, entropy 1.53341, value loss 6.83993, policy loss -0.12763, distill_loss -2.23006, time 95.84616 min
Updates 740, num timesteps 741000, FPS 127, mean/median reward 8.8/3.0, min/max reward -17.0/101.0, entropy 1.40823, value loss 7.21020, policy loss 0.00336, distill_loss -1.42892, time 97.17027 min
Updates 750, num timesteps 751000, FPS 127, mean/median reward 10.7/5.0, min/max reward -17.0/101.0, entropy 1.80346, value loss 19.46478, policy loss 0.81958, distill_loss -3.99620, time 98.48273 min
Updates 760, num timesteps 761000, FPS 127, mean/median reward 14.6/7.0, min/max reward -17.0/101.0, entropy 1.80449, value loss 9.34800, policy loss 0.23731, distill_loss -4.52299, time 99.79154 min
Updates 770, num timesteps 771000, FPS 127, mean/median reward 19.3/10.0, min/max reward -17.0/116.0, entropy 1.18392, value loss 146.68109, policy loss 1.24859, distill_loss 0.48940, time 101.11221 min
Updates 780, num timesteps 781000, FPS 127, mean/median reward 26.7/19.0, min/max reward -17.0/234.0, entropy 1.26279, value loss 10.81054, policy loss -0.17836, distill_loss -0.67134, time 102.41287 min
Updates 790, num timesteps 791000, FPS 127, mean/median reward 29.1/22.0, min/max reward -17.0/234.0, entropy 1.28137, value loss 5.43762, policy loss -0.10806, distill_loss -0.99841, time 103.71264 min
Updates 800, num timesteps 801000, FPS 127, mean/median reward 39.1/25.0, min/max reward -12.0/326.0, entropy 1.48407, value loss 6.70415, policy loss -0.29524, distill_loss -2.50538, time 105.01374 min
Updates 810, num timesteps 811000, FPS 127, mean/median reward 41.1/26.0, min/max reward -12.0/326.0, entropy 0.53396, value loss 3.92605, policy loss -0.32430, distill_loss 0.09461, time 106.31768 min
Updates 820, num timesteps 821000, FPS 127, mean/median reward 43.6/27.0, min/max reward -10.0/326.0, entropy 0.03418, value loss 33.58221, policy loss -0.16761, distill_loss 4.30819, time 107.64281 min
Updates 830, num timesteps 831000, FPS 127, mean/median reward 48.0/28.0, min/max reward -4.0/326.0, entropy 1.62356, value loss 3.51902, policy loss 0.25490, distill_loss -4.95079, time 108.95533 min
Updates 840, num timesteps 841000, FPS 127, mean/median reward 47.2/27.0, min/max reward -4.0/326.0, entropy 1.30813, value loss 8.48884, policy loss 0.05098, distill_loss -2.70326, time 110.26310 min
Updates 850, num timesteps 851000, FPS 127, mean/median reward 44.3/27.0, min/max reward -4.0/297.0, entropy 1.28752, value loss 4.60507, policy loss -0.11302, distill_loss -2.88142, time 111.56934 min
Updates 860, num timesteps 861000, FPS 127, mean/median reward 43.7/27.0, min/max reward -9.0/297.0, entropy 0.94935, value loss 16.61370, policy loss -0.08953, distill_loss -0.95632, time 112.88625 min
Updates 870, num timesteps 871000, FPS 127, mean/median reward 40.3/27.0, min/max reward -9.0/297.0, entropy 1.59213, value loss 4.53887, policy loss 0.22828, distill_loss -4.62222, time 114.18242 min
Updates 880, num timesteps 881000, FPS 127, mean/median reward 35.9/27.0, min/max reward -9.0/187.0, entropy 1.72663, value loss 3.77291, policy loss 0.29262, distill_loss -5.48704, time 115.49926 min
Updates 890, num timesteps 891000, FPS 127, mean/median reward 34.5/27.0, min/max reward -9.0/187.0, entropy 1.67309, value loss 4.56683, policy loss 0.03981, distill_loss -5.28319, time 116.80280 min
Updates 900, num timesteps 901000, FPS 127, mean/median reward 35.7/28.0, min/max reward -9.0/220.0, entropy 1.49439, value loss 10.66527, policy loss 0.29367, distill_loss -4.92307, time 118.11776 min
Updates 910, num timesteps 911000, FPS 127, mean/median reward 32.9/27.0, min/max reward -17.0/220.0, entropy 1.41898, value loss 10.07747, policy loss 0.44644, distill_loss -3.75167, time 119.44881 min
Updates 920, num timesteps 921000, FPS 127, mean/median reward 35.1/28.0, min/max reward -17.0/220.0, entropy 1.48810, value loss 8.70443, policy loss 0.03568, distill_loss -4.73563, time 120.77472 min
Updates 930, num timesteps 931000, FPS 127, mean/median reward 36.9/28.0, min/max reward -17.0/220.0, entropy 1.67104, value loss 3.15388, policy loss 0.44102, distill_loss -6.67676, time 122.10127 min
Updates 940, num timesteps 941000, FPS 127, mean/median reward 37.0/28.0, min/max reward -17.0/151.0, entropy 1.61657, value loss 6.68006, policy loss 0.47985, distill_loss -6.62889, time 123.43772 min
Updates 950, num timesteps 951000, FPS 127, mean/median reward 37.8/28.0, min/max reward -20.0/151.0, entropy 1.51457, value loss 3.06118, policy loss 0.69290, distill_loss -7.48429, time 124.76291 min
Updates 960, num timesteps 961000, FPS 127, mean/median reward 34.7/27.0, min/max reward -20.0/151.0, entropy 1.56600, value loss 5.93980, policy loss 0.53834, distill_loss -7.07176, time 126.09487 min
Updates 970, num timesteps 971000, FPS 126, mean/median reward 33.8/27.0, min/max reward -20.0/151.0, entropy 1.66154, value loss 5.02937, policy loss -0.22883, distill_loss -5.84196, time 127.43591 min
Updates 980, num timesteps 981000, FPS 126, mean/median reward 31.4/25.0, min/max reward -20.0/151.0, entropy 1.58916, value loss 7.20954, policy loss 0.44512, distill_loss -5.99188, time 128.77631 min
Updates 990, num timesteps 991000, FPS 126, mean/median reward 29.5/18.0, min/max reward -20.0/149.0, entropy 1.18065, value loss 10.22802, policy loss -0.34820, distill_loss -5.47905, time 130.12963 min
Updates 1000, num timesteps 1001000, FPS 126, mean/median reward 27.3/12.0, min/max reward -20.0/149.0, entropy 0.92547, value loss 9.02249, policy loss -0.77480, distill_loss -7.86315, time 131.48637 min
Updates 1010, num timesteps 1011000, FPS 126, mean/median reward 30.1/22.0, min/max reward -20.0/128.0, entropy 1.41103, value loss 7.33481, policy loss 0.17786, distill_loss -7.21253, time 132.81359 min
Updates 1020, num timesteps 1021000, FPS 126, mean/median reward 28.1/22.0, min/max reward -20.0/126.0, entropy 1.09334, value loss 5.43203, policy loss -0.05270, distill_loss -7.23058, time 134.14332 min
Updates 1030, num timesteps 1031000, FPS 126, mean/median reward 33.2/24.0, min/max reward -16.0/161.0, entropy 1.27221, value loss 5.31510, policy loss -0.05340, distill_loss -8.33296, time 135.47867 min
Updates 1040, num timesteps 1041000, FPS 126, mean/median reward 35.3/28.0, min/max reward -16.0/161.0, entropy 1.35537, value loss 8.24990, policy loss -0.13892, distill_loss -7.33482, time 136.80827 min
Updates 1050, num timesteps 1051000, FPS 126, mean/median reward 40.3/31.0, min/max reward -16.0/161.0, entropy 1.16750, value loss 5.05969, policy loss -0.06113, distill_loss -7.42401, time 138.15157 min
Updates 1060, num timesteps 1061000, FPS 126, mean/median reward 39.6/31.0, min/max reward -16.0/160.0, entropy 1.28034, value loss 8.25354, policy loss -0.43712, distill_loss -8.18674, time 139.48291 min
Updates 1070, num timesteps 1071000, FPS 126, mean/median reward 40.7/32.0, min/max reward -13.0/240.0, entropy 1.28269, value loss 8.44958, policy loss 0.56962, distill_loss -8.16839, time 140.83338 min
Updates 1080, num timesteps 1081000, FPS 126, mean/median reward 41.1/29.0, min/max reward -13.0/240.0, entropy 1.35988, value loss 10.50151, policy loss 0.11097, distill_loss -7.19633, time 142.18783 min
Updates 1090, num timesteps 1091000, FPS 126, mean/median reward 41.7/29.0, min/max reward -13.0/240.0, entropy 1.24740, value loss 4.85717, policy loss -0.19512, distill_loss -9.12355, time 143.50543 min
Updates 1100, num timesteps 1101000, FPS 126, mean/median reward 43.1/26.0, min/max reward -13.0/324.0, entropy 0.64214, value loss 22.41541, policy loss 0.12492, distill_loss -24.92998, time 144.82575 min
Updates 1110, num timesteps 1111000, FPS 126, mean/median reward 40.4/26.0, min/max reward -13.0/324.0, entropy 1.64213, value loss 9.14951, policy loss 0.25742, distill_loss -9.10541, time 146.15840 min
Updates 1120, num timesteps 1121000, FPS 126, mean/median reward 42.6/26.0, min/max reward -14.0/324.0, entropy 1.19396, value loss 15.37935, policy loss -0.15696, distill_loss -14.05721, time 147.48016 min
Updates 1130, num timesteps 1131000, FPS 126, mean/median reward 42.2/26.0, min/max reward -14.0/324.0, entropy 1.67824, value loss 9.02389, policy loss 0.24153, distill_loss -7.99011, time 148.79718 min
Updates 1140, num timesteps 1141000, FPS 126, mean/median reward 39.2/27.0, min/max reward -14.0/240.0, entropy 1.61019, value loss 4.85148, policy loss -0.21688, distill_loss -9.62766, time 150.13724 min
Updates 1150, num timesteps 1151000, FPS 126, mean/median reward 42.1/31.0, min/max reward -14.0/240.0, entropy 1.76973, value loss 5.59319, policy loss 0.90803, distill_loss -6.41066, time 151.45512 min
Updates 1160, num timesteps 1161000, FPS 126, mean/median reward 44.5/36.0, min/max reward -14.0/190.0, entropy 0.57994, value loss 9.50952, policy loss -0.44724, distill_loss -17.85423, time 152.80302 min
Updates 1170, num timesteps 1171000, FPS 126, mean/median reward 43.5/34.0, min/max reward -14.0/190.0, entropy 0.64710, value loss 12.85592, policy loss -0.38810, distill_loss -25.61864, time 154.13665 min
Updates 1180, num timesteps 1181000, FPS 126, mean/median reward 46.9/36.0, min/max reward -14.0/199.0, entropy 1.53214, value loss 2.80744, policy loss -0.12035, distill_loss -5.97822, time 155.45251 min
Updates 1190, num timesteps 1191000, FPS 126, mean/median reward 47.1/35.0, min/max reward -7.0/199.0, entropy 1.40539, value loss 4.52541, policy loss -0.41422, distill_loss -7.01313, time 156.76746 min
Updates 1200, num timesteps 1201000, FPS 126, mean/median reward 46.3/32.0, min/max reward -7.0/199.0, entropy 1.51968, value loss 6.46372, policy loss 0.14649, distill_loss -5.13156, time 158.09074 min
Updates 1210, num timesteps 1211000, FPS 126, mean/median reward 41.4/30.0, min/max reward -7.0/199.0, entropy 1.31052, value loss 7.26820, policy loss 0.36517, distill_loss -5.59566, time 159.43277 min
Updates 1220, num timesteps 1221000, FPS 126, mean/median reward 40.7/29.0, min/max reward -7.0/199.0, entropy 1.06499, value loss 12.46586, policy loss -0.37551, distill_loss -6.75074, time 160.77284 min
Updates 1230, num timesteps 1231000, FPS 126, mean/median reward 40.9/29.0, min/max reward -7.0/199.0, entropy 1.61878, value loss 10.22019, policy loss 0.56625, distill_loss -3.09824, time 162.08368 min
Updates 1240, num timesteps 1241000, FPS 126, mean/median reward 42.7/32.0, min/max reward -7.0/199.0, entropy 1.39974, value loss 3.31753, policy loss -0.20937, distill_loss -2.08693, time 163.41019 min
Updates 1250, num timesteps 1251000, FPS 126, mean/median reward 42.7/33.0, min/max reward -7.0/141.0, entropy 1.30688, value loss 3.15256, policy loss 0.04980, distill_loss -1.07829, time 164.73016 min
Updates 1260, num timesteps 1261000, FPS 126, mean/median reward 40.3/32.0, min/max reward -11.0/141.0, entropy 1.31979, value loss 2.45768, policy loss -0.14716, distill_loss -0.91856, time 166.04677 min
Updates 1270, num timesteps 1271000, FPS 126, mean/median reward 38.8/31.0, min/max reward -11.0/145.0, entropy 1.57083, value loss 5.57460, policy loss 0.21497, distill_loss -2.63935, time 167.36337 min
Updates 1280, num timesteps 1281000, FPS 126, mean/median reward 37.4/30.0, min/max reward -11.0/145.0, entropy 1.13691, value loss 8.59471, policy loss -0.62063, distill_loss -3.30380, time 168.69256 min
Updates 1290, num timesteps 1291000, FPS 126, mean/median reward 35.5/27.0, min/max reward -11.0/145.0, entropy 1.36599, value loss 3.64727, policy loss 0.04930, distill_loss -4.75793, time 170.00924 min
Updates 1300, num timesteps 1301000, FPS 126, mean/median reward 33.5/25.0, min/max reward -11.0/145.0, entropy 1.57852, value loss 5.50093, policy loss -0.62473, distill_loss -1.89413, time 171.33003 min
Updates 1310, num timesteps 1311000, FPS 126, mean/median reward 31.1/24.0, min/max reward -21.0/145.0, entropy 1.53259, value loss 3.02349, policy loss -0.20515, distill_loss -0.31494, time 172.65424 min
Updates 1320, num timesteps 1321000, FPS 126, mean/median reward 27.0/22.0, min/max reward -23.0/145.0, entropy 1.63398, value loss 2.76054, policy loss -0.00015, distill_loss -2.02551, time 173.96954 min
Updates 1330, num timesteps 1331000, FPS 126, mean/median reward 26.0/17.0, min/max reward -23.0/146.0, entropy 1.43728, value loss 4.27275, policy loss 0.40100, distill_loss 1.46604, time 175.29322 min
Updates 1340, num timesteps 1341000, FPS 126, mean/median reward 26.4/14.0, min/max reward -23.0/146.0, entropy 1.29418, value loss 18.70894, policy loss 0.79023, distill_loss 0.12985, time 176.64527 min
Updates 1350, num timesteps 1351000, FPS 126, mean/median reward 26.4/14.0, min/max reward -23.0/146.0, entropy 1.12960, value loss 5.41416, policy loss -0.41682, distill_loss -1.85077, time 177.97060 min
Updates 1360, num timesteps 1361000, FPS 126, mean/median reward 24.4/14.0, min/max reward -23.0/146.0, entropy 1.55272, value loss 2.42463, policy loss 0.30568, distill_loss -1.21257, time 179.28986 min
