command line args: main.py --env-name RegularMiniPacmanNoFrameskip-v0 --algo i2a --environment-model MiniModel --distill-coef 10 --entropy-coef 0.02 --num-stack 1 --num-processes 128 --port 5027
Updates 0, num timesteps 640, FPS 100, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 1.60800, value loss 2.21387, policy loss 1.83457, distill_loss -0.04561, time 0.10619 min
Updates 200, num timesteps 128640, FPS 353, mean/median reward 9.2/8.0, min/max reward 0.0/40.0, entropy 0.95756, value loss 4.12282, policy loss -0.40528, distill_loss -11.44824, time 6.06496 min
Updates 210, num timesteps 135040, FPS 355, mean/median reward 9.7/9.0, min/max reward 0.0/40.0, entropy 1.11783, value loss 1.55007, policy loss 0.24933, distill_loss -5.27186, time 6.32548 min
Updates 220, num timesteps 141440, FPS 359, mean/median reward 9.7/9.0, min/max reward 0.0/40.0, entropy 0.95539, value loss 6.19532, policy loss -0.72484, distill_loss -11.89114, time 6.55353 min
Updates 230, num timesteps 147840, FPS 362, mean/median reward 9.3/8.0, min/max reward 0.0/40.0, entropy 1.11700, value loss 1.25386, policy loss 0.28132, distill_loss -5.00411, time 6.78957 min
Updates 240, num timesteps 154240, FPS 352, mean/median reward 9.7/8.0, min/max reward 0.0/40.0, entropy 1.18780, value loss 1.49631, policy loss 0.14033, distill_loss -6.50412, time 7.29864 min
Updates 250, num timesteps 160640, FPS 355, mean/median reward 10.6/9.0, min/max reward 0.0/40.0, entropy 1.21609, value loss 1.36267, policy loss 0.04011, distill_loss -5.90310, time 7.53345 min
Updates 260, num timesteps 167040, FPS 358, mean/median reward 10.8/8.0, min/max reward 0.0/41.0, entropy 1.16760, value loss 1.92579, policy loss 0.08243, distill_loss -8.49229, time 7.76682 min
Updates 270, num timesteps 173440, FPS 357, mean/median reward 10.3/8.0, min/max reward 0.0/41.0, entropy 0.94340, value loss 3.32410, policy loss 0.04963, distill_loss -9.54783, time 8.07499 min
Updates 280, num timesteps 179840, FPS 359, mean/median reward 10.0/9.0, min/max reward 0.0/40.0, entropy 0.66654, value loss 5.54326, policy loss -0.19787, distill_loss -14.11542, time 8.33120 min
Updates 290, num timesteps 186240, FPS 360, mean/median reward 10.3/9.0, min/max reward 0.0/40.0, entropy 0.80165, value loss 3.25327, policy loss -0.32270, distill_loss -11.07117, time 8.60742 min
Updates 300, num timesteps 192640, FPS 364, mean/median reward 9.6/9.0, min/max reward 0.0/40.0, entropy 0.90981, value loss 2.39141, policy loss -0.16244, distill_loss -8.97429, time 8.82002 min
Updates 310, num timesteps 199040, FPS 366, mean/median reward 10.1/9.0, min/max reward 0.0/40.0, entropy 1.14871, value loss 0.73053, policy loss 0.00780, distill_loss -5.46592, time 9.05381 min
Updates 320, num timesteps 205440, FPS 368, mean/median reward 9.4/8.0, min/max reward 0.0/40.0, entropy 1.07161, value loss 1.60737, policy loss 0.07963, distill_loss -6.52485, time 9.29522 min
Updates 330, num timesteps 211840, FPS 367, mean/median reward 10.0/9.0, min/max reward 0.0/40.0, entropy 0.97909, value loss 2.45066, policy loss -0.09556, distill_loss -8.31394, time 9.59983 min
Updates 340, num timesteps 218240, FPS 369, mean/median reward 10.2/9.0, min/max reward 0.0/40.0, entropy 0.92855, value loss 4.21768, policy loss -0.18287, distill_loss -10.68769, time 9.84597 min
Updates 350, num timesteps 224640, FPS 370, mean/median reward 10.3/10.0, min/max reward 0.0/40.0, entropy 0.91318, value loss 1.45581, policy loss -0.09437, distill_loss -9.31272, time 10.09706 min
Updates 360, num timesteps 231040, FPS 374, mean/median reward 11.2/10.0, min/max reward 0.0/40.0, entropy 1.11734, value loss 1.00005, policy loss 0.06533, distill_loss -5.12117, time 10.29499 min
Updates 370, num timesteps 237440, FPS 377, mean/median reward 10.5/10.0, min/max reward 0.0/40.0, entropy 0.98599, value loss 1.80226, policy loss -0.35352, distill_loss -9.75852, time 10.48772 min
Updates 380, num timesteps 243840, FPS 377, mean/median reward 10.0/9.0, min/max reward 0.0/40.0, entropy 1.02953, value loss 2.63824, policy loss -0.17165, distill_loss -9.01120, time 10.75673 min
Updates 390, num timesteps 250240, FPS 379, mean/median reward 9.7/9.0, min/max reward 0.0/40.0, entropy 1.13463, value loss 1.81021, policy loss -0.04136, distill_loss -7.30314, time 10.98885 min
Updates 400, num timesteps 256640, FPS 380, mean/median reward 9.4/9.0, min/max reward 0.0/40.0, entropy 1.24009, value loss 0.98094, policy loss -0.05603, distill_loss -5.85813, time 11.23001 min
Updates 410, num timesteps 263040, FPS 383, mean/median reward 10.2/9.0, min/max reward 0.0/40.0, entropy 1.10074, value loss 3.50177, policy loss -0.57693, distill_loss -9.49990, time 11.43381 min
Updates 420, num timesteps 269440, FPS 385, mean/median reward 8.8/7.0, min/max reward 0.0/40.0, entropy 1.25126, value loss 1.41410, policy loss 0.07530, distill_loss -5.87692, time 11.63707 min
Updates 430, num timesteps 275840, FPS 384, mean/median reward 9.2/7.0, min/max reward 0.0/40.0, entropy 1.25711, value loss 2.32482, policy loss -0.07206, distill_loss -6.93721, time 11.94857 min
Updates 440, num timesteps 282240, FPS 382, mean/median reward 9.3/8.0, min/max reward 0.0/40.0, entropy 1.33467, value loss 0.69136, policy loss 0.41908, distill_loss -5.33287, time 12.29766 min
Updates 450, num timesteps 288640, FPS 384, mean/median reward 9.8/8.0, min/max reward 0.0/40.0, entropy 1.14624, value loss 2.27556, policy loss 0.14962, distill_loss -7.75297, time 12.50028 min
Updates 460, num timesteps 295040, FPS 386, mean/median reward 10.2/8.0, min/max reward 0.0/40.0, entropy 0.72012, value loss 2.14632, policy loss -0.03544, distill_loss -9.39762, time 12.71718 min
Updates 470, num timesteps 301440, FPS 388, mean/median reward 10.7/7.0, min/max reward 0.0/40.0, entropy 1.21887, value loss 2.22706, policy loss 0.40475, distill_loss -10.34648, time 12.92804 min
Updates 480, num timesteps 307840, FPS 390, mean/median reward 11.1/9.0, min/max reward 0.0/45.0, entropy 0.83251, value loss 2.39014, policy loss 0.10505, distill_loss -12.11199, time 13.12894 min
Updates 490, num timesteps 314240, FPS 393, mean/median reward 10.8/9.0, min/max reward 0.0/43.0, entropy 1.01766, value loss 2.70478, policy loss -0.10240, distill_loss -11.25181, time 13.32049 min
Updates 500, num timesteps 320640, FPS 387, mean/median reward 9.8/8.0, min/max reward 0.0/40.0, entropy 1.14030, value loss 1.34969, policy loss 0.32499, distill_loss -9.33329, time 13.79184 min
Updates 510, num timesteps 327040, FPS 389, mean/median reward 10.4/8.0, min/max reward 0.0/40.0, entropy 1.22096, value loss 3.62030, policy loss -0.14116, distill_loss -13.45356, time 14.01013 min
Updates 520, num timesteps 333440, FPS 390, mean/median reward 10.3/8.0, min/max reward 0.0/40.0, entropy 1.21882, value loss 2.48771, policy loss 0.01985, distill_loss -13.83164, time 14.21892 min
Updates 530, num timesteps 339840, FPS 391, mean/median reward 10.3/8.0, min/max reward 0.0/42.0, entropy 1.00782, value loss 1.28594, policy loss 0.04614, distill_loss -14.13641, time 14.46621 min
Updates 540, num timesteps 346240, FPS 387, mean/median reward 10.6/8.0, min/max reward 0.0/42.0, entropy 0.88402, value loss 0.79845, policy loss 0.19349, distill_loss -13.74260, time 14.88103 min
Updates 550, num timesteps 352640, FPS 389, mean/median reward 9.4/7.0, min/max reward 0.0/40.0, entropy 0.71610, value loss 3.82920, policy loss 0.10936, distill_loss -20.28663, time 15.08093 min
Updates 560, num timesteps 359040, FPS 391, mean/median reward 9.7/7.0, min/max reward 0.0/58.0, entropy 0.89111, value loss 2.39160, policy loss 0.19995, distill_loss -21.59326, time 15.28209 min
Updates 570, num timesteps 365440, FPS 392, mean/median reward 10.4/8.0, min/max reward 0.0/50.0, entropy 0.52786, value loss 1.17860, policy loss 0.19108, distill_loss -16.13049, time 15.50589 min
Updates 580, num timesteps 371840, FPS 387, mean/median reward 10.6/9.0, min/max reward 0.0/40.0, entropy 0.97622, value loss 2.86233, policy loss -0.29166, distill_loss -19.38696, time 15.97818 min
Updates 590, num timesteps 378240, FPS 389, mean/median reward 10.4/9.0, min/max reward 0.0/40.0, entropy 1.28875, value loss 1.27509, policy loss 0.19859, distill_loss -18.74409, time 16.20107 min
Updates 600, num timesteps 384640, FPS 387, mean/median reward 11.7/10.0, min/max reward 0.0/40.0, entropy 0.62096, value loss 0.84805, policy loss 0.02661, distill_loss -19.09283, time 16.53700 min
Updates 610, num timesteps 391040, FPS 388, mean/median reward 11.4/10.0, min/max reward 0.0/40.0, entropy 0.76344, value loss 2.97126, policy loss -0.15670, distill_loss -18.14923, time 16.75759 min
Updates 620, num timesteps 397440, FPS 390, mean/median reward 11.5/10.0, min/max reward 0.0/86.0, entropy 0.56023, value loss 2.41271, policy loss 0.01809, distill_loss -17.62366, time 16.94146 min
Updates 630, num timesteps 403840, FPS 389, mean/median reward 11.4/9.0, min/max reward 0.0/86.0, entropy 0.73167, value loss 1.09872, policy loss -0.00592, distill_loss -17.74590, time 17.26838 min
Updates 640, num timesteps 410240, FPS 388, mean/median reward 9.9/8.0, min/max reward 0.0/40.0, entropy 0.88233, value loss 2.47872, policy loss -0.26551, distill_loss -17.62220, time 17.61021 min
Updates 650, num timesteps 416640, FPS 389, mean/median reward 9.9/8.0, min/max reward 0.0/40.0, entropy 0.56064, value loss 2.21127, policy loss -0.18724, distill_loss -20.64101, time 17.83101 min
Updates 660, num timesteps 423040, FPS 390, mean/median reward 10.9/9.0, min/max reward 0.0/40.0, entropy 0.51030, value loss 1.95706, policy loss -0.11445, distill_loss -17.14747, time 18.03568 min
Updates 670, num timesteps 429440, FPS 388, mean/median reward 10.9/8.0, min/max reward 0.0/97.0, entropy 0.85370, value loss 2.31318, policy loss -0.06395, distill_loss -17.20405, time 18.43370 min
Updates 680, num timesteps 435840, FPS 387, mean/median reward 11.1/8.0, min/max reward 1.0/94.0, entropy 0.88443, value loss 1.57465, policy loss -0.14856, distill_loss -17.29185, time 18.74547 min
Updates 690, num timesteps 442240, FPS 388, mean/median reward 9.5/7.0, min/max reward 0.0/82.0, entropy 0.81283, value loss 1.70505, policy loss -0.19939, distill_loss -17.13613, time 18.97380 min
Updates 700, num timesteps 448640, FPS 388, mean/median reward 10.6/8.0, min/max reward 1.0/84.0, entropy 0.87067, value loss 1.36852, policy loss -0.01326, distill_loss -17.12821, time 19.26804 min
Updates 710, num timesteps 455040, FPS 389, mean/median reward 11.0/8.0, min/max reward 0.0/105.0, entropy 0.78482, value loss 1.51105, policy loss -0.04994, distill_loss -17.65286, time 19.49337 min
Updates 720, num timesteps 461440, FPS 390, mean/median reward 11.2/8.0, min/max reward 1.0/85.0, entropy 0.57008, value loss 1.87468, policy loss 0.11471, distill_loss -17.33798, time 19.69465 min
Updates 730, num timesteps 467840, FPS 391, mean/median reward 11.0/8.0, min/max reward 0.0/85.0, entropy 0.36041, value loss 1.36207, policy loss -0.17095, distill_loss -17.57701, time 19.90022 min
Updates 740, num timesteps 474240, FPS 393, mean/median reward 10.4/8.0, min/max reward 1.0/93.0, entropy 0.48022, value loss 1.26186, policy loss -0.02487, distill_loss -16.23809, time 20.10310 min
Updates 750, num timesteps 480640, FPS 395, mean/median reward 10.0/8.0, min/max reward 1.0/93.0, entropy 0.49060, value loss 0.48590, policy loss 0.13253, distill_loss -16.02871, time 20.27921 min
Updates 760, num timesteps 487040, FPS 395, mean/median reward 9.4/7.0, min/max reward 0.0/93.0, entropy 0.78205, value loss 0.74743, policy loss -0.13166, distill_loss -15.99319, time 20.50918 min
Updates 770, num timesteps 493440, FPS 397, mean/median reward 9.7/7.0, min/max reward 1.0/93.0, entropy 0.97070, value loss 2.83376, policy loss -0.13203, distill_loss -16.86090, time 20.70555 min
Updates 780, num timesteps 499840, FPS 397, mean/median reward 9.5/8.0, min/max reward 0.0/93.0, entropy 1.03433, value loss 2.07790, policy loss -0.30859, distill_loss -17.46017, time 20.95008 min
Updates 790, num timesteps 506240, FPS 398, mean/median reward 9.6/8.0, min/max reward 1.0/35.0, entropy 1.17837, value loss 1.54027, policy loss 0.29011, distill_loss -19.21659, time 21.15276 min
Updates 800, num timesteps 512640, FPS 399, mean/median reward 10.5/8.0, min/max reward 0.0/42.0, entropy 0.98755, value loss 3.04314, policy loss -0.08514, distill_loss -23.51170, time 21.40143 min
Updates 810, num timesteps 519040, FPS 399, mean/median reward 11.3/8.0, min/max reward 0.0/108.0, entropy 0.86248, value loss 3.80546, policy loss 0.35667, distill_loss -20.95885, time 21.62788 min
Updates 820, num timesteps 525440, FPS 400, mean/median reward 12.1/8.0, min/max reward 1.0/108.0, entropy 0.72453, value loss 2.73874, policy loss 0.03181, distill_loss -19.54806, time 21.85527 min
Updates 830, num timesteps 531840, FPS 401, mean/median reward 9.7/8.0, min/max reward 0.0/35.0, entropy 0.56720, value loss 1.28334, policy loss 0.06573, distill_loss -17.86109, time 22.09529 min
Updates 840, num timesteps 538240, FPS 401, mean/median reward 9.9/8.0, min/max reward 0.0/35.0, entropy 0.98255, value loss 1.62701, policy loss -0.02933, distill_loss -17.52967, time 22.34315 min
Updates 850, num timesteps 544640, FPS 401, mean/median reward 11.1/8.0, min/max reward 1.0/98.0, entropy 0.69829, value loss 1.25094, policy loss 0.30862, distill_loss -18.79791, time 22.58153 min
Updates 860, num timesteps 551040, FPS 403, mean/median reward 10.9/8.0, min/max reward 0.0/93.0, entropy 0.89649, value loss 1.76595, policy loss -0.02787, distill_loss -18.03786, time 22.74448 min
Updates 870, num timesteps 557440, FPS 403, mean/median reward 10.0/8.0, min/max reward 1.0/35.0, entropy 1.25924, value loss 3.20967, policy loss -0.09452, distill_loss -18.28544, time 23.00644 min
Updates 880, num timesteps 563840, FPS 401, mean/median reward 10.3/8.0, min/max reward 0.0/35.0, entropy 1.29139, value loss 1.03993, policy loss 0.12203, distill_loss -17.55780, time 23.39128 min
Updates 890, num timesteps 570240, FPS 402, mean/median reward 10.9/8.0, min/max reward 0.0/37.0, entropy 1.09220, value loss 3.16975, policy loss -0.11763, distill_loss -19.62400, time 23.61490 min
Updates 900, num timesteps 576640, FPS 402, mean/median reward 11.2/8.0, min/max reward 0.0/46.0, entropy 1.04310, value loss 5.09666, policy loss -0.40475, distill_loss -20.27714, time 23.85340 min
Updates 910, num timesteps 583040, FPS 404, mean/median reward 11.4/8.0, min/max reward 1.0/82.0, entropy 1.05372, value loss 3.16396, policy loss 0.04164, distill_loss -18.09987, time 24.03006 min
Updates 920, num timesteps 589440, FPS 403, mean/median reward 11.4/8.0, min/max reward 0.0/82.0, entropy 1.09997, value loss 3.39829, policy loss -0.20385, distill_loss -18.50618, time 24.34645 min
Updates 930, num timesteps 595840, FPS 404, mean/median reward 10.7/8.0, min/max reward 1.0/82.0, entropy 1.13680, value loss 3.02409, policy loss -0.21198, distill_loss -18.67146, time 24.57092 min
Updates 940, num timesteps 602240, FPS 402, mean/median reward 9.7/8.0, min/max reward 0.0/40.0, entropy 0.99301, value loss 3.65081, policy loss -0.13762, distill_loss -18.97966, time 24.94756 min
Updates 950, num timesteps 608640, FPS 403, mean/median reward 9.9/8.0, min/max reward 0.0/35.0, entropy 1.02053, value loss 2.56341, policy loss 0.14641, distill_loss -18.59072, time 25.15955 min
Updates 960, num timesteps 615040, FPS 400, mean/median reward 10.0/8.0, min/max reward 0.0/35.0, entropy 1.07912, value loss 2.13951, policy loss 0.15564, distill_loss -21.46042, time 25.57261 min
Updates 970, num timesteps 621440, FPS 399, mean/median reward 11.9/9.0, min/max reward 0.0/53.0, entropy 1.03075, value loss 3.36933, policy loss -0.15502, distill_loss -20.42901, time 25.91258 min
Updates 980, num timesteps 627840, FPS 400, mean/median reward 10.8/8.0, min/max reward 0.0/109.0, entropy 0.72709, value loss 1.84588, policy loss -0.15574, distill_loss -22.87712, time 26.14610 min
Updates 990, num timesteps 634240, FPS 399, mean/median reward 10.7/8.0, min/max reward 0.0/109.0, entropy 1.04658, value loss 0.72372, policy loss 0.05666, distill_loss -23.97351, time 26.46539 min
Updates 1000, num timesteps 640640, FPS 399, mean/median reward 10.7/8.0, min/max reward 0.0/109.0, entropy 1.09061, value loss 1.91252, policy loss -0.06042, distill_loss -22.47824, time 26.73690 min
Updates 1010, num timesteps 647040, FPS 399, mean/median reward 11.2/8.0, min/max reward 0.0/112.0, entropy 0.98384, value loss 0.98367, policy loss -0.04363, distill_loss -23.62152, time 26.97951 min
Updates 1020, num timesteps 653440, FPS 400, mean/median reward 10.4/8.0, min/max reward 0.0/109.0, entropy 1.02597, value loss 1.55063, policy loss -0.19852, distill_loss -20.86173, time 27.20015 min
Updates 1030, num timesteps 659840, FPS 401, mean/median reward 10.3/7.0, min/max reward 0.0/109.0, entropy 0.98222, value loss 3.07174, policy loss -0.34225, distill_loss -20.65594, time 27.42147 min
Updates 1040, num timesteps 666240, FPS 401, mean/median reward 8.6/6.0, min/max reward 0.0/109.0, entropy 0.85355, value loss 1.04482, policy loss -0.02169, distill_loss -21.27988, time 27.68099 min
Updates 1050, num timesteps 672640, FPS 401, mean/median reward 9.9/7.0, min/max reward 0.0/109.0, entropy 0.98679, value loss 0.75547, policy loss 0.04081, distill_loss -22.96927, time 27.93377 min
Updates 1060, num timesteps 679040, FPS 402, mean/median reward 11.3/7.0, min/max reward 0.0/109.0, entropy 1.02383, value loss 3.17670, policy loss -0.18751, distill_loss -22.06101, time 28.09461 min
Updates 1070, num timesteps 685440, FPS 403, mean/median reward 10.6/7.0, min/max reward 0.0/98.0, entropy 1.16730, value loss 3.00633, policy loss -0.21640, distill_loss -23.25473, time 28.32860 min
Updates 1080, num timesteps 691840, FPS 402, mean/median reward 10.2/8.0, min/max reward 0.0/92.0, entropy 0.58552, value loss 2.73959, policy loss 0.04105, distill_loss -27.70786, time 28.65469 min
Updates 1090, num timesteps 698240, FPS 401, mean/median reward 10.3/8.0, min/max reward 0.0/88.0, entropy 0.85796, value loss 0.97251, policy loss -0.02619, distill_loss -26.53926, time 28.95993 min
Updates 1100, num timesteps 704640, FPS 401, mean/median reward 9.4/8.0, min/max reward 0.0/29.0, entropy 1.27505, value loss 1.91702, policy loss 0.12670, distill_loss -26.95382, time 29.24159 min
Updates 1110, num timesteps 711040, FPS 403, mean/median reward 9.8/8.0, min/max reward 0.0/36.0, entropy 0.81713, value loss 6.64646, policy loss -0.35398, distill_loss -29.90002, time 29.40331 min
Updates 1120, num timesteps 717440, FPS 403, mean/median reward 11.7/9.0, min/max reward 0.0/95.0, entropy 0.84202, value loss 2.31381, policy loss -0.11851, distill_loss -25.44931, time 29.65530 min
Updates 1130, num timesteps 723840, FPS 403, mean/median reward 12.9/9.0, min/max reward 0.0/112.0, entropy 0.56505, value loss 1.92418, policy loss 0.17740, distill_loss -26.15798, time 29.92031 min
Updates 1140, num timesteps 730240, FPS 401, mean/median reward 12.2/9.0, min/max reward 0.0/112.0, entropy 0.78914, value loss 2.33101, policy loss 0.08460, distill_loss -23.29993, time 30.29440 min
Updates 1150, num timesteps 736640, FPS 400, mean/median reward 11.6/8.0, min/max reward 0.0/112.0, entropy 0.59213, value loss 1.61342, policy loss 0.14309, distill_loss -24.74068, time 30.66915 min
Updates 1160, num timesteps 743040, FPS 398, mean/median reward 11.1/8.0, min/max reward 0.0/112.0, entropy 0.40180, value loss 0.92599, policy loss -0.01340, distill_loss -27.85248, time 31.08169 min
Updates 1170, num timesteps 749440, FPS 398, mean/median reward 10.9/8.0, min/max reward 0.0/37.0, entropy 0.95502, value loss 3.13451, policy loss 0.03098, distill_loss -22.10121, time 31.36154 min
Updates 1180, num timesteps 755840, FPS 397, mean/median reward 10.6/8.0, min/max reward 0.0/35.0, entropy 1.05402, value loss 3.46363, policy loss -0.25781, distill_loss -22.04413, time 31.68257 min
Updates 1190, num timesteps 762240, FPS 398, mean/median reward 9.8/8.0, min/max reward 0.0/32.0, entropy 0.99651, value loss 1.78913, policy loss 0.06769, distill_loss -22.61330, time 31.87047 min
Updates 1200, num timesteps 768640, FPS 396, mean/median reward 10.9/8.0, min/max reward 0.0/82.0, entropy 1.05859, value loss 1.42405, policy loss -0.03759, distill_loss -22.46527, time 32.29315 min
Updates 1210, num timesteps 775040, FPS 397, mean/median reward 12.1/9.0, min/max reward 0.0/83.0, entropy 0.95278, value loss 1.49882, policy loss -0.16091, distill_loss -22.61675, time 32.50838 min
Updates 1220, num timesteps 781440, FPS 397, mean/median reward 11.7/9.0, min/max reward 0.0/35.0, entropy 1.06299, value loss 1.24229, policy loss 0.02171, distill_loss -21.94785, time 32.77099 min
Updates 1230, num timesteps 787840, FPS 398, mean/median reward 10.3/8.0, min/max reward 0.0/35.0, entropy 1.04373, value loss 1.60501, policy loss 0.06707, distill_loss -22.46427, time 32.96334 min
Updates 1240, num timesteps 794240, FPS 396, mean/median reward 11.9/9.0, min/max reward 0.0/98.0, entropy 0.94007, value loss 2.70436, policy loss -0.07873, distill_loss -20.45259, time 33.38057 min
Updates 1250, num timesteps 800640, FPS 397, mean/median reward 11.1/8.0, min/max reward 0.0/86.0, entropy 0.94466, value loss 3.25219, policy loss -0.09671, distill_loss -22.61984, time 33.59474 min
Updates 1260, num timesteps 807040, FPS 397, mean/median reward 11.4/9.0, min/max reward 0.0/86.0, entropy 1.05269, value loss 0.82237, policy loss 0.01548, distill_loss -21.28561, time 33.87622 min
Updates 1270, num timesteps 813440, FPS 396, mean/median reward 10.7/8.0, min/max reward 0.0/37.0, entropy 0.95994, value loss 5.91707, policy loss -0.20278, distill_loss -21.17205, time 34.16413 min
Updates 1280, num timesteps 819840, FPS 397, mean/median reward 11.9/9.0, min/max reward 0.0/103.0, entropy 1.01994, value loss 1.13382, policy loss 0.03218, distill_loss -21.38914, time 34.39186 min
Updates 1290, num timesteps 826240, FPS 397, mean/median reward 11.2/9.0, min/max reward 0.0/103.0, entropy 1.13848, value loss 1.25350, policy loss 0.15422, distill_loss -22.67405, time 34.63255 min
Updates 1300, num timesteps 832640, FPS 396, mean/median reward 12.0/9.0, min/max reward 0.0/82.0, entropy 1.02266, value loss 1.55711, policy loss 0.11185, distill_loss -20.96825, time 35.04007 min
Updates 1310, num timesteps 839040, FPS 396, mean/median reward 11.5/10.0, min/max reward 0.0/35.0, entropy 1.11491, value loss 0.96749, policy loss 0.18235, distill_loss -21.80458, time 35.26648 min
Updates 1320, num timesteps 845440, FPS 396, mean/median reward 13.4/11.0, min/max reward 0.0/97.0, entropy 0.93568, value loss 4.05841, policy loss -0.31475, distill_loss -20.54283, time 35.49563 min
Updates 1330, num timesteps 851840, FPS 396, mean/median reward 10.6/9.0, min/max reward 0.0/44.0, entropy 1.20999, value loss 1.04237, policy loss 0.15137, distill_loss -22.03120, time 35.84956 min
Updates 1340, num timesteps 858240, FPS 397, mean/median reward 10.0/8.0, min/max reward 0.0/44.0, entropy 1.09997, value loss 0.95769, policy loss -0.05794, distill_loss -22.23999, time 36.02831 min
Updates 1350, num timesteps 864640, FPS 397, mean/median reward 11.5/10.0, min/max reward 0.0/35.0, entropy 1.22088, value loss 1.15072, policy loss 0.19413, distill_loss -21.92332, time 36.28169 min
Updates 1360, num timesteps 871040, FPS 396, mean/median reward 10.6/10.0, min/max reward 0.0/35.0, entropy 1.10352, value loss 1.95269, policy loss -0.07629, distill_loss -20.53955, time 36.61310 min
Updates 1370, num timesteps 877440, FPS 396, mean/median reward 11.4/9.0, min/max reward 0.0/102.0, entropy 0.96325, value loss 3.15197, policy loss 0.19865, distill_loss -24.69388, time 36.85313 min
Updates 1380, num timesteps 883840, FPS 397, mean/median reward 11.6/9.0, min/max reward 0.0/83.0, entropy 0.78460, value loss 5.13607, policy loss -0.23932, distill_loss -27.09200, time 37.07278 min
