command line args: main.py --algo i2a --env-name MsPacmanNoFrameskip-v0 --num-processes 30 --port 5557 --log-dir /tmp/i2a/MsPacman_dSSM_DET_5rollouts --i2a-rollout-steps 5 --num-steps 10 --entropy-coef 0.02 --distill-coef 10 --num-stack 4 --num-frames 300000000 --train-on-200x160-pixel --latent-space-model dSSM_DET
Updates 0, num timesteps 300, FPS 59, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 2.19722, value loss 0.00122, policy loss -0.00441, distill_loss -0.00355, time 0.08345 min
Updates 300, num timesteps 90300, FPS 66, mean/median reward -5.8/-9.0, min/max reward -16.0/34.0, entropy 2.18255, value loss 3.70174, policy loss 0.18860, distill_loss -0.21856, time 22.79230 min
Updates 310, num timesteps 93300, FPS 66, mean/median reward -5.2/-9.0, min/max reward -16.0/34.0, entropy 2.18134, value loss 0.64726, policy loss 0.94161, distill_loss -0.26094, time 23.54992 min
Updates 320, num timesteps 96300, FPS 66, mean/median reward -4.5/-9.0, min/max reward -16.0/34.0, entropy 2.18522, value loss 5.01416, policy loss -0.81262, distill_loss -0.24455, time 24.30504 min
Updates 330, num timesteps 99300, FPS 66, mean/median reward -4.5/-9.0, min/max reward -17.0/34.0, entropy 2.18363, value loss 5.50944, policy loss -0.46872, distill_loss -0.26496, time 25.05309 min
Updates 340, num timesteps 102300, FPS 66, mean/median reward -6.2/-9.0, min/max reward -17.0/28.0, entropy 2.18367, value loss 3.48321, policy loss -0.01507, distill_loss -0.30379, time 25.79081 min
Updates 350, num timesteps 105300, FPS 66, mean/median reward -6.1/-9.0, min/max reward -22.0/29.0, entropy 2.17739, value loss 4.96547, policy loss -0.31220, distill_loss -0.33834, time 26.54705 min
Updates 360, num timesteps 108300, FPS 66, mean/median reward -6.4/-9.0, min/max reward -22.0/29.0, entropy 2.17847, value loss 2.42114, policy loss 0.06026, distill_loss -0.35601, time 27.28944 min
Updates 370, num timesteps 111300, FPS 66, mean/median reward -5.8/-8.0, min/max reward -22.0/32.0, entropy 2.17838, value loss 4.14161, policy loss -0.16126, distill_loss -0.32730, time 28.02848 min
Updates 380, num timesteps 114300, FPS 66, mean/median reward -5.8/-8.0, min/max reward -22.0/32.0, entropy 2.18133, value loss 1.79506, policy loss 0.46874, distill_loss -0.41840, time 28.77798 min
Updates 390, num timesteps 117300, FPS 66, mean/median reward -5.9/-8.0, min/max reward -22.0/32.0, entropy 2.18837, value loss 1.45816, policy loss 0.07774, distill_loss -0.32404, time 29.52614 min
Updates 400, num timesteps 120300, FPS 66, mean/median reward -7.0/-8.0, min/max reward -22.0/32.0, entropy 2.18555, value loss 1.18408, policy loss 0.66646, distill_loss -0.45693, time 30.27927 min
Updates 410, num timesteps 123300, FPS 66, mean/median reward -6.9/-8.0, min/max reward -22.0/32.0, entropy 2.18313, value loss 0.27440, policy loss 0.50232, distill_loss -0.42224, time 31.01854 min
Updates 420, num timesteps 126300, FPS 66, mean/median reward -6.3/-8.0, min/max reward -20.0/32.0, entropy 2.18559, value loss 4.11234, policy loss -0.42937, distill_loss -0.37782, time 31.77104 min
Updates 430, num timesteps 129300, FPS 66, mean/median reward -6.4/-8.0, min/max reward -20.0/32.0, entropy 2.18465, value loss 2.13456, policy loss 0.01819, distill_loss -0.40920, time 32.51596 min
Updates 440, num timesteps 132300, FPS 66, mean/median reward -4.3/-6.0, min/max reward -17.0/36.0, entropy 2.18553, value loss 2.19993, policy loss 0.05982, distill_loss -0.33022, time 33.26791 min
Updates 450, num timesteps 135300, FPS 66, mean/median reward -3.7/-6.0, min/max reward -17.0/36.0, entropy 2.18775, value loss 3.48116, policy loss -0.28867, distill_loss -0.30771, time 34.02173 min
Updates 460, num timesteps 138300, FPS 66, mean/median reward -2.2/-5.0, min/max reward -17.0/36.0, entropy 2.18550, value loss 2.83557, policy loss -0.04930, distill_loss -0.36797, time 34.77403 min
Updates 470, num timesteps 141300, FPS 66, mean/median reward -0.1/-5.0, min/max reward -15.0/36.0, entropy 2.18267, value loss 2.69672, policy loss -0.43133, distill_loss -0.35867, time 35.51542 min
Updates 480, num timesteps 144300, FPS 66, mean/median reward -2.4/-6.0, min/max reward -14.0/36.0, entropy 2.18505, value loss 0.66119, policy loss 0.87028, distill_loss -0.39711, time 36.26510 min
Updates 490, num timesteps 147300, FPS 66, mean/median reward -3.1/-6.0, min/max reward -16.0/31.0, entropy 2.18017, value loss 6.76238, policy loss -1.06037, distill_loss -0.38095, time 37.02408 min
Updates 500, num timesteps 150300, FPS 66, mean/median reward -4.7/-6.0, min/max reward -16.0/24.0, entropy 2.17891, value loss 3.47987, policy loss 0.00098, distill_loss -0.39714, time 37.78391 min
Updates 510, num timesteps 153300, FPS 66, mean/median reward -3.9/-6.0, min/max reward -16.0/24.0, entropy 2.17749, value loss 3.41357, policy loss 0.14483, distill_loss -0.38482, time 38.53328 min
Updates 520, num timesteps 156300, FPS 66, mean/median reward -5.9/-7.0, min/max reward -17.0/18.0, entropy 2.17482, value loss 1.90709, policy loss 0.10618, distill_loss -0.42313, time 39.26921 min
Updates 530, num timesteps 159300, FPS 66, mean/median reward -5.4/-6.0, min/max reward -17.0/18.0, entropy 2.17070, value loss 4.88120, policy loss -0.55570, distill_loss -0.41814, time 40.01680 min
Updates 540, num timesteps 162300, FPS 66, mean/median reward -5.9/-6.0, min/max reward -17.0/18.0, entropy 2.17615, value loss 2.60095, policy loss 0.17383, distill_loss -0.35070, time 40.76895 min
Updates 550, num timesteps 165300, FPS 66, mean/median reward -6.1/-7.0, min/max reward -17.0/18.0, entropy 2.17454, value loss 4.83138, policy loss 0.16315, distill_loss -0.41529, time 41.51893 min
Updates 560, num timesteps 168300, FPS 66, mean/median reward -4.7/-6.0, min/max reward -17.0/35.0, entropy 2.17749, value loss 8.20947, policy loss -1.15590, distill_loss -0.41204, time 42.27838 min
Updates 570, num timesteps 171300, FPS 66, mean/median reward -4.9/-7.0, min/max reward -17.0/35.0, entropy 2.16938, value loss 1.57043, policy loss 0.12508, distill_loss -0.39315, time 43.03918 min
Updates 580, num timesteps 174300, FPS 66, mean/median reward -3.8/-6.0, min/max reward -17.0/35.0, entropy 2.17554, value loss 4.79894, policy loss -0.38185, distill_loss -0.38770, time 43.78834 min
Updates 590, num timesteps 177300, FPS 66, mean/median reward -2.7/-6.0, min/max reward -17.0/35.0, entropy 2.17185, value loss 2.17232, policy loss 0.14912, distill_loss -0.35296, time 44.53269 min
Updates 600, num timesteps 180300, FPS 66, mean/median reward -1.3/-4.0, min/max reward -17.0/35.0, entropy 2.17454, value loss 5.74770, policy loss -0.90048, distill_loss -0.34433, time 45.27315 min
Updates 610, num timesteps 183300, FPS 66, mean/median reward -1.7/-4.0, min/max reward -17.0/28.0, entropy 2.17531, value loss 3.87865, policy loss -0.32800, distill_loss -0.38197, time 46.02424 min
Updates 620, num timesteps 186300, FPS 66, mean/median reward -2.2/-4.0, min/max reward -17.0/28.0, entropy 2.17380, value loss 2.75028, policy loss -0.00605, distill_loss -0.36104, time 46.77955 min
Updates 630, num timesteps 189300, FPS 66, mean/median reward -3.7/-5.0, min/max reward -17.0/26.0, entropy 2.16558, value loss 2.47824, policy loss 0.07685, distill_loss -0.38037, time 47.52173 min
Updates 640, num timesteps 192300, FPS 66, mean/median reward -4.0/-6.0, min/max reward -17.0/26.0, entropy 2.17227, value loss 9.18973, policy loss -1.14312, distill_loss -0.65699, time 48.27540 min
Updates 650, num timesteps 195300, FPS 66, mean/median reward -6.1/-7.0, min/max reward -20.0/23.0, entropy 2.17131, value loss 0.32839, policy loss 0.53117, distill_loss -0.66357, time 49.02909 min
Updates 660, num timesteps 198300, FPS 66, mean/median reward -7.3/-7.0, min/max reward -20.0/10.0, entropy 2.17204, value loss 2.41728, policy loss 0.09281, distill_loss -0.71990, time 49.79378 min
Updates 670, num timesteps 201300, FPS 66, mean/median reward -6.7/-6.0, min/max reward -20.0/10.0, entropy 2.17278, value loss 1.64407, policy loss 0.22084, distill_loss -0.74498, time 50.54521 min
Updates 680, num timesteps 204300, FPS 66, mean/median reward -4.7/-6.0, min/max reward -22.0/38.0, entropy 2.17718, value loss 0.92109, policy loss 0.26511, distill_loss -0.62614, time 51.28974 min
Updates 690, num timesteps 207300, FPS 66, mean/median reward -4.5/-6.0, min/max reward -22.0/38.0, entropy 2.17279, value loss 6.96619, policy loss -0.94272, distill_loss -0.81595, time 52.03908 min
Updates 700, num timesteps 210300, FPS 66, mean/median reward -2.2/-6.0, min/max reward -22.0/69.0, entropy 2.17381, value loss 2.67891, policy loss -0.26027, distill_loss -0.81390, time 52.79493 min
Updates 710, num timesteps 213300, FPS 66, mean/median reward 4.0/-5.0, min/max reward -22.0/69.0, entropy 2.16848, value loss 2.58955, policy loss -0.19043, distill_loss -0.63068, time 53.53997 min
Updates 720, num timesteps 216300, FPS 66, mean/median reward 4.3/-5.0, min/max reward -22.0/69.0, entropy 2.16433, value loss 2.44471, policy loss 0.21664, distill_loss -0.52237, time 54.28650 min
Updates 730, num timesteps 219300, FPS 66, mean/median reward 3.7/-6.0, min/max reward -22.0/69.0, entropy 2.16919, value loss 5.19722, policy loss -0.09689, distill_loss -0.71490, time 55.04894 min
Updates 740, num timesteps 222300, FPS 66, mean/median reward 3.1/-6.0, min/max reward -22.0/69.0, entropy 2.17330, value loss 8.95357, policy loss -1.71881, distill_loss -0.76769, time 55.78902 min
Updates 750, num timesteps 225300, FPS 66, mean/median reward 2.5/-7.0, min/max reward -22.0/69.0, entropy 2.17018, value loss 0.34610, policy loss 0.57446, distill_loss -0.70494, time 56.53516 min
Updates 760, num timesteps 228300, FPS 66, mean/median reward -3.1/-8.0, min/max reward -22.0/64.0, entropy 2.16989, value loss 6.12643, policy loss -0.96226, distill_loss -0.53774, time 57.27055 min
Updates 770, num timesteps 231300, FPS 66, mean/median reward -3.1/-8.0, min/max reward -22.0/64.0, entropy 2.16621, value loss 6.09217, policy loss -0.80605, distill_loss -0.67699, time 58.03989 min
Updates 780, num timesteps 234300, FPS 66, mean/median reward -1.9/-6.0, min/max reward -16.0/64.0, entropy 2.15965, value loss 2.09133, policy loss 0.30414, distill_loss -0.73636, time 58.78228 min
Updates 790, num timesteps 237300, FPS 66, mean/median reward -1.3/-6.0, min/max reward -16.0/64.0, entropy 2.14676, value loss 0.32434, policy loss 0.42125, distill_loss -1.09828, time 59.53248 min
Updates 800, num timesteps 240300, FPS 66, mean/median reward -1.4/-6.0, min/max reward -15.0/64.0, entropy 2.13976, value loss 2.95222, policy loss -0.14036, distill_loss -1.40321, time 60.28000 min
Updates 810, num timesteps 243300, FPS 66, mean/median reward -3.6/-6.0, min/max reward -15.0/39.0, entropy 2.15816, value loss 1.82969, policy loss -0.08676, distill_loss -1.35554, time 61.02969 min
Updates 820, num timesteps 246300, FPS 66, mean/median reward -4.3/-6.0, min/max reward -15.0/25.0, entropy 2.15645, value loss 2.03160, policy loss 0.39985, distill_loss -0.98969, time 61.78653 min
Updates 830, num timesteps 249300, FPS 66, mean/median reward -2.0/-3.0, min/max reward -12.0/25.0, entropy 2.14855, value loss 5.42214, policy loss 0.03891, distill_loss -0.88220, time 62.53378 min
Updates 840, num timesteps 252300, FPS 66, mean/median reward -2.8/-4.0, min/max reward -14.0/25.0, entropy 2.13036, value loss 5.78939, policy loss -0.62934, distill_loss -0.88062, time 63.28655 min
Updates 850, num timesteps 255300, FPS 66, mean/median reward -1.9/-3.0, min/max reward -14.0/25.0, entropy 2.10967, value loss 0.97389, policy loss 0.27882, distill_loss -0.86765, time 64.03473 min
Updates 860, num timesteps 258300, FPS 66, mean/median reward -1.9/-3.0, min/max reward -14.0/25.0, entropy 2.08427, value loss 5.40572, policy loss -0.61780, distill_loss -0.77679, time 64.78781 min
Updates 870, num timesteps 261300, FPS 66, mean/median reward -2.5/-4.0, min/max reward -18.0/25.0, entropy 2.12052, value loss 0.09022, policy loss 0.17581, distill_loss -0.25030, time 65.53040 min
Updates 880, num timesteps 264300, FPS 66, mean/median reward -2.0/-3.0, min/max reward -18.0/29.0, entropy 2.01374, value loss 7.54654, policy loss -0.80673, distill_loss -0.59931, time 66.28063 min
Updates 890, num timesteps 267300, FPS 66, mean/median reward -2.2/-3.0, min/max reward -18.0/29.0, entropy 1.64780, value loss 4.04832, policy loss -0.28680, distill_loss -3.06303, time 67.03009 min
Updates 900, num timesteps 270300, FPS 66, mean/median reward -2.7/-5.0, min/max reward -18.0/29.0, entropy 2.13514, value loss 2.73873, policy loss -0.22046, distill_loss -1.61865, time 67.78477 min
Updates 910, num timesteps 273300, FPS 66, mean/median reward -1.6/-4.0, min/max reward -16.0/29.0, entropy 2.15102, value loss 2.38044, policy loss 0.63231, distill_loss -0.32219, time 68.54288 min
Updates 920, num timesteps 276300, FPS 66, mean/median reward -3.0/-4.0, min/max reward -16.0/19.0, entropy 2.05072, value loss 0.87362, policy loss 0.16532, distill_loss -0.32833, time 69.29830 min
Updates 930, num timesteps 279300, FPS 66, mean/median reward -2.9/-4.0, min/max reward -16.0/19.0, entropy 1.26108, value loss 4.69070, policy loss -0.35333, distill_loss -1.23960, time 70.06049 min
Updates 940, num timesteps 282300, FPS 66, mean/median reward -1.5/-1.0, min/max reward -13.0/19.0, entropy 2.03323, value loss 3.17806, policy loss 0.39025, distill_loss -3.96642, time 70.80503 min
Updates 950, num timesteps 285300, FPS 66, mean/median reward -1.5/-1.0, min/max reward -13.0/19.0, entropy 2.01368, value loss 2.76227, policy loss -0.19945, distill_loss -1.85728, time 71.56132 min
Updates 960, num timesteps 288300, FPS 66, mean/median reward 0.3/-4.0, min/max reward -13.0/40.0, entropy 2.01430, value loss 3.51541, policy loss -0.20730, distill_loss -2.32799, time 72.29806 min
Updates 970, num timesteps 291300, FPS 66, mean/median reward 2.7/-1.0, min/max reward -13.0/40.0, entropy 2.04112, value loss 4.52319, policy loss -0.18714, distill_loss -3.32424, time 73.03656 min
Updates 980, num timesteps 294300, FPS 66, mean/median reward 3.2/1.0, min/max reward -14.0/40.0, entropy 2.00458, value loss 3.43550, policy loss -0.04441, distill_loss -2.32165, time 73.78259 min
Updates 990, num timesteps 297300, FPS 66, mean/median reward 3.5/1.0, min/max reward -14.0/40.0, entropy 1.98846, value loss 5.89285, policy loss -0.73008, distill_loss -2.37995, time 74.52735 min
Updates 1000, num timesteps 300300, FPS 66, mean/median reward 4.4/-1.0, min/max reward -14.0/68.0, entropy 1.98543, value loss 10.61544, policy loss 0.83648, distill_loss -2.40842, time 75.26892 min
Updates 1010, num timesteps 303300, FPS 66, mean/median reward 7.8/-1.0, min/max reward -14.0/87.0, entropy 2.00191, value loss 3.86037, policy loss -0.37743, distill_loss -2.79331, time 76.00452 min
Updates 1020, num timesteps 306300, FPS 66, mean/median reward 4.6/-1.0, min/max reward -14.0/87.0, entropy 1.94654, value loss 1.71003, policy loss 0.31092, distill_loss -1.97057, time 76.75638 min
Updates 1030, num timesteps 309300, FPS 66, mean/median reward 7.7/-1.0, min/max reward -14.0/87.0, entropy 1.87174, value loss 0.25769, policy loss 0.16570, distill_loss -1.69690, time 77.50031 min
Updates 1040, num timesteps 312300, FPS 66, mean/median reward 8.2/-1.0, min/max reward -14.0/87.0, entropy 1.84847, value loss 0.51756, policy loss 0.53193, distill_loss -1.82652, time 78.25500 min
Updates 1050, num timesteps 315300, FPS 66, mean/median reward 9.3/-2.0, min/max reward -14.0/87.0, entropy 1.74984, value loss 1.64778, policy loss 0.06532, distill_loss -1.60953, time 79.00844 min
Updates 1060, num timesteps 318300, FPS 66, mean/median reward 8.7/0.0, min/max reward -14.0/87.0, entropy 1.61270, value loss 10.88620, policy loss -1.41025, distill_loss -1.34133, time 79.74317 min
Updates 1070, num timesteps 321300, FPS 66, mean/median reward 8.6/0.0, min/max reward -14.0/87.0, entropy 1.43653, value loss 7.78438, policy loss -0.31178, distill_loss -0.96767, time 80.49278 min
Updates 1080, num timesteps 324300, FPS 66, mean/median reward 8.4/2.0, min/max reward -13.0/87.0, entropy 1.75661, value loss 0.52168, policy loss 0.43398, distill_loss -1.41826, time 81.22835 min
Updates 1090, num timesteps 327300, FPS 66, mean/median reward 4.0/-1.0, min/max reward -13.0/76.0, entropy 2.12942, value loss 8.18332, policy loss -1.42653, distill_loss -2.41685, time 81.97158 min
Updates 1100, num timesteps 330300, FPS 66, mean/median reward 5.0/0.0, min/max reward -12.0/76.0, entropy 2.00037, value loss 2.68005, policy loss -0.08808, distill_loss -2.94774, time 82.73735 min
Updates 1110, num timesteps 333300, FPS 66, mean/median reward 5.8/2.0, min/max reward -12.0/76.0, entropy 1.91721, value loss 5.60023, policy loss -0.50454, distill_loss -2.27607, time 83.48013 min
Updates 1120, num timesteps 336300, FPS 66, mean/median reward 5.4/3.0, min/max reward -16.0/76.0, entropy 1.98970, value loss 8.80730, policy loss -1.06601, distill_loss -2.65745, time 84.23217 min
Updates 1130, num timesteps 339300, FPS 66, mean/median reward 5.7/3.0, min/max reward -16.0/76.0, entropy 2.02332, value loss 0.54972, policy loss 0.60078, distill_loss -3.06948, time 84.96784 min
Updates 1140, num timesteps 342300, FPS 66, mean/median reward 5.1/2.0, min/max reward -16.0/76.0, entropy 2.07905, value loss 0.80844, policy loss 0.51173, distill_loss -3.30704, time 85.70832 min
Updates 1150, num timesteps 345300, FPS 66, mean/median reward 7.1/2.0, min/max reward -16.0/76.0, entropy 2.05647, value loss 4.55860, policy loss -0.75824, distill_loss -3.29914, time 86.43209 min
Updates 1160, num timesteps 348300, FPS 66, mean/median reward 6.4/3.0, min/max reward -16.0/41.0, entropy 1.97729, value loss 3.01053, policy loss -0.30366, distill_loss -2.91997, time 87.16879 min
Updates 1170, num timesteps 351300, FPS 66, mean/median reward 10.7/3.0, min/max reward -16.0/75.0, entropy 2.06625, value loss 0.40779, policy loss 0.56435, distill_loss -2.90554, time 87.89704 min
Updates 1180, num timesteps 354300, FPS 66, mean/median reward 10.2/3.0, min/max reward -16.0/75.0, entropy 1.96820, value loss 2.11740, policy loss 0.22599, distill_loss -2.68285, time 88.64426 min
Updates 1190, num timesteps 357300, FPS 66, mean/median reward 10.5/5.0, min/max reward -12.0/75.0, entropy 1.75993, value loss 2.71226, policy loss 0.17782, distill_loss -2.14413, time 89.40613 min
Updates 1200, num timesteps 360300, FPS 66, mean/median reward 8.7/3.0, min/max reward -12.0/75.0, entropy 1.84955, value loss 3.70739, policy loss -0.01021, distill_loss -2.47916, time 90.16820 min
Updates 1210, num timesteps 363300, FPS 66, mean/median reward 8.0/1.0, min/max reward -14.0/75.0, entropy 1.62556, value loss 1.02643, policy loss 0.48981, distill_loss -3.01674, time 90.91019 min
Updates 1220, num timesteps 366300, FPS 66, mean/median reward 5.6/1.0, min/max reward -14.0/67.0, entropy 2.01884, value loss 2.54230, policy loss 0.20868, distill_loss -1.17166, time 91.65681 min
Updates 1230, num timesteps 369300, FPS 66, mean/median reward 5.4/1.0, min/max reward -14.0/67.0, entropy 1.48292, value loss 18.36559, policy loss 0.57452, distill_loss -2.24449, time 92.39258 min
Updates 1240, num timesteps 372300, FPS 66, mean/median reward 4.3/2.0, min/max reward -14.0/32.0, entropy 1.75080, value loss 2.63238, policy loss 0.20213, distill_loss -2.01958, time 93.13643 min
Updates 1250, num timesteps 375300, FPS 66, mean/median reward 3.1/1.0, min/max reward -14.0/32.0, entropy 2.08091, value loss 0.26805, policy loss 0.41841, distill_loss -2.36666, time 93.87097 min
Updates 1260, num timesteps 378300, FPS 66, mean/median reward 3.4/2.0, min/max reward -12.0/32.0, entropy 1.59332, value loss 4.13114, policy loss -0.10208, distill_loss -3.05584, time 94.62113 min
Updates 1270, num timesteps 381300, FPS 66, mean/median reward 2.2/0.0, min/max reward -13.0/32.0, entropy 1.70514, value loss 0.74070, policy loss 0.33829, distill_loss -2.06902, time 95.35467 min
Updates 1280, num timesteps 384300, FPS 66, mean/median reward 0.8/-1.0, min/max reward -13.0/35.0, entropy 1.85324, value loss 4.26054, policy loss -0.57193, distill_loss -2.46264, time 96.08425 min
Updates 1290, num timesteps 387300, FPS 66, mean/median reward 0.3/-1.0, min/max reward -13.0/35.0, entropy 1.79637, value loss 0.16519, policy loss 0.37079, distill_loss -3.94421, time 96.82204 min
Updates 1300, num timesteps 390300, FPS 66, mean/median reward 1.4/-3.0, min/max reward -13.0/35.0, entropy 1.69397, value loss 2.45976, policy loss 0.51257, distill_loss -5.46518, time 97.57596 min
Updates 1310, num timesteps 393300, FPS 66, mean/median reward 1.2/-3.0, min/max reward -13.0/35.0, entropy 1.84435, value loss 2.49451, policy loss -0.02169, distill_loss -4.85569, time 98.33265 min
Updates 1320, num timesteps 396300, FPS 66, mean/median reward 0.8/-4.0, min/max reward -13.0/35.0, entropy 2.03491, value loss 2.75346, policy loss 0.44731, distill_loss -5.07709, time 99.08230 min
Updates 1330, num timesteps 399300, FPS 66, mean/median reward -1.6/-4.0, min/max reward -13.0/35.0, entropy 2.06589, value loss 3.22360, policy loss -0.35663, distill_loss -5.18684, time 99.82252 min
Updates 1340, num timesteps 402300, FPS 66, mean/median reward 0.3/-4.0, min/max reward -11.0/35.0, entropy 1.96910, value loss 3.65914, policy loss 0.61184, distill_loss -6.94814, time 100.57312 min
Updates 1350, num timesteps 405300, FPS 66, mean/median reward 0.1/-3.0, min/max reward -14.0/35.0, entropy 2.00698, value loss 0.37203, policy loss 0.19407, distill_loss -6.26900, time 101.32084 min
Updates 1360, num timesteps 408300, FPS 66, mean/median reward -0.6/-3.0, min/max reward -14.0/33.0, entropy 1.96983, value loss 0.66015, policy loss 0.84178, distill_loss -6.33080, time 102.08009 min
