Algo: i2aEnvironment: HuntMiniPacmanNoFrameskip-v0
Updates 0, num timesteps 2560, FPS 522, mean/median reward -12.2/-20.0, min/max reward -40.0/0.0, entropy 1.60944, value loss 122.28074, policy loss -9.80785, distill_loss -0.00014, time 0.08172 min
Updates 110, num timesteps 284160, FPS 766, mean/median reward -19.9/-20.0, min/max reward -40.0/-9.0, entropy 1.37088, value loss 3.54284, policy loss 0.48050, distill_loss -11.56163, time 6.18194 min
Updates 120, num timesteps 309760, FPS 746, mean/median reward -20.8/-20.0, min/max reward -40.0/-18.0, entropy 1.48291, value loss 9.63714, policy loss 0.05108, distill_loss -10.48443, time 6.91201 min
Updates 130, num timesteps 335360, FPS 738, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 1.53743, value loss 3.89652, policy loss 0.60096, distill_loss -11.31021, time 7.56993 min
Updates 140, num timesteps 360960, FPS 731, mean/median reward -20.0/-20.0, min/max reward -40.0/-9.0, entropy 1.57029, value loss 9.07643, policy loss -0.27172, distill_loss -9.05516, time 8.22458 min
Updates 150, num timesteps 386560, FPS 719, mean/median reward -20.3/-20.0, min/max reward -40.0/-7.0, entropy 1.59020, value loss 10.25876, policy loss -0.39244, distill_loss -10.00127, time 8.95100 min
Updates 160, num timesteps 412160, FPS 718, mean/median reward -19.7/-20.0, min/max reward -20.0/-9.0, entropy 1.58224, value loss 5.32806, policy loss 0.11922, distill_loss -10.26652, time 9.56083 min
Updates 170, num timesteps 437760, FPS 721, mean/median reward -20.4/-20.0, min/max reward -40.0/-19.0, entropy 1.58833, value loss 11.29727, policy loss -0.22449, distill_loss -10.41941, time 10.10904 min
Updates 180, num timesteps 463360, FPS 724, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 1.58992, value loss 8.67207, policy loss -0.75127, distill_loss -9.26145, time 10.65627 min
Updates 190, num timesteps 488960, FPS 727, mean/median reward -20.2/-20.0, min/max reward -40.0/-9.0, entropy 1.59455, value loss 7.75233, policy loss 0.00174, distill_loss -11.09354, time 11.20807 min
Updates 200, num timesteps 514560, FPS 728, mean/median reward -20.0/-20.0, min/max reward -40.0/-9.0, entropy 1.58126, value loss 6.16779, policy loss -0.51125, distill_loss -9.54679, time 11.76447 min
Updates 210, num timesteps 540160, FPS 730, mean/median reward -20.0/-20.0, min/max reward -40.0/-9.0, entropy 1.59353, value loss 6.97433, policy loss -0.25748, distill_loss -10.20317, time 12.31797 min
Updates 220, num timesteps 565760, FPS 731, mean/median reward -20.0/-20.0, min/max reward -40.0/-9.0, entropy 1.59447, value loss 7.35741, policy loss -0.26962, distill_loss -9.58653, time 12.88539 min
Updates 230, num timesteps 591360, FPS 732, mean/median reward -20.4/-20.0, min/max reward -40.0/-9.0, entropy 1.59378, value loss 3.02971, policy loss 0.86231, distill_loss -11.72470, time 13.45059 min
Updates 240, num timesteps 616960, FPS 734, mean/median reward -20.6/-20.0, min/max reward -40.0/-9.0, entropy 1.59870, value loss 13.70201, policy loss -0.99327, distill_loss -9.67581, time 14.00668 min
Updates 250, num timesteps 642560, FPS 735, mean/median reward -20.2/-20.0, min/max reward -40.0/-19.0, entropy 1.58225, value loss 6.97175, policy loss -0.01931, distill_loss -10.06442, time 14.56850 min
Updates 260, num timesteps 668160, FPS 735, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 1.58039, value loss 3.82592, policy loss 0.41236, distill_loss -11.03088, time 15.13479 min
Updates 270, num timesteps 693760, FPS 736, mean/median reward -20.0/-20.0, min/max reward -40.0/-9.0, entropy 1.58854, value loss 4.68199, policy loss 0.34459, distill_loss -10.56754, time 15.69751 min
Updates 280, num timesteps 719360, FPS 737, mean/median reward -19.8/-20.0, min/max reward -40.0/-9.0, entropy 1.59401, value loss 5.53420, policy loss -0.14263, distill_loss -10.70090, time 16.26161 min
Updates 290, num timesteps 744960, FPS 738, mean/median reward -20.2/-20.0, min/max reward -40.0/-19.0, entropy 1.51044, value loss 5.23503, policy loss 0.16202, distill_loss -11.88668, time 16.82059 min
Updates 300, num timesteps 770560, FPS 739, mean/median reward -20.2/-20.0, min/max reward -40.0/-18.0, entropy 1.54637, value loss 5.93598, policy loss 0.19669, distill_loss -10.92559, time 17.37667 min
Updates 310, num timesteps 796160, FPS 739, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 1.56219, value loss 4.77854, policy loss 0.47926, distill_loss -10.88311, time 17.93423 min
Updates 320, num timesteps 821760, FPS 740, mean/median reward -20.0/-20.0, min/max reward -40.0/-8.0, entropy 1.58848, value loss 3.65447, policy loss 0.28989, distill_loss -11.06761, time 18.49418 min
Updates 330, num timesteps 847360, FPS 741, mean/median reward -20.0/-20.0, min/max reward -40.0/-8.0, entropy 1.58351, value loss 2.89036, policy loss 1.21888, distill_loss -11.85755, time 19.04710 min
Updates 340, num timesteps 872960, FPS 742, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 1.55641, value loss 6.20702, policy loss -0.33126, distill_loss -10.44828, time 19.59827 min
Updates 350, num timesteps 898560, FPS 743, mean/median reward -19.9/-20.0, min/max reward -20.0/-9.0, entropy 1.60433, value loss 6.00554, policy loss -0.17338, distill_loss -9.84581, time 20.14654 min
Updates 360, num timesteps 924160, FPS 744, mean/median reward -20.0/-20.0, min/max reward -40.0/-9.0, entropy 1.54052, value loss 4.90592, policy loss 0.30438, distill_loss -11.72114, time 20.69543 min
Updates 370, num timesteps 949760, FPS 745, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 1.59663, value loss 6.88398, policy loss 0.01761, distill_loss -9.76154, time 21.24715 min
Updates 380, num timesteps 975360, FPS 745, mean/median reward -19.8/-20.0, min/max reward -40.0/-7.0, entropy 1.58819, value loss 11.22996, policy loss -0.95243, distill_loss -9.68549, time 21.79680 min
Updates 390, num timesteps 1000960, FPS 746, mean/median reward -20.0/-20.0, min/max reward -40.0/-9.0, entropy 1.59956, value loss 4.39612, policy loss 0.21016, distill_loss -10.43177, time 22.34824 min
Updates 400, num timesteps 1026560, FPS 747, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 1.60566, value loss 5.68556, policy loss 0.14923, distill_loss -10.59804, time 22.89898 min
Updates 410, num timesteps 1052160, FPS 747, mean/median reward -19.6/-20.0, min/max reward -20.0/-9.0, entropy 1.59637, value loss 4.85492, policy loss -0.29855, distill_loss -10.33858, time 23.45306 min
Updates 420, num timesteps 1077760, FPS 748, mean/median reward -19.6/-20.0, min/max reward -20.0/-9.0, entropy 1.54450, value loss 4.32570, policy loss -0.20025, distill_loss -11.14756, time 23.99950 min
Updates 430, num timesteps 1103360, FPS 749, mean/median reward -20.0/-20.0, min/max reward -40.0/-8.0, entropy 1.56875, value loss 6.76938, policy loss 0.23148, distill_loss -10.63055, time 24.55058 min
Updates 440, num timesteps 1128960, FPS 749, mean/median reward -20.0/-20.0, min/max reward -40.0/-8.0, entropy 1.59694, value loss 6.16062, policy loss -0.40102, distill_loss -10.40924, time 25.10378 min
Updates 450, num timesteps 1154560, FPS 750, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 1.58863, value loss 5.38879, policy loss 0.23080, distill_loss -11.12970, time 25.65058 min
Updates 460, num timesteps 1180160, FPS 750, mean/median reward -19.9/-20.0, min/max reward -40.0/-8.0, entropy 1.51400, value loss 5.55710, policy loss -0.15251, distill_loss -9.25962, time 26.20413 min
Updates 470, num timesteps 1205760, FPS 751, mean/median reward -19.9/-20.0, min/max reward -40.0/-9.0, entropy 1.58191, value loss 4.29605, policy loss 0.16010, distill_loss -10.52821, time 26.75656 min
Updates 480, num timesteps 1231360, FPS 751, mean/median reward -19.9/-20.0, min/max reward -20.0/-9.0, entropy 1.59883, value loss 6.50495, policy loss 0.71341, distill_loss -11.03236, time 27.30619 min
Updates 490, num timesteps 1256960, FPS 751, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 1.59127, value loss 3.20245, policy loss 0.66038, distill_loss -11.47677, time 27.85876 min
Updates 500, num timesteps 1282560, FPS 752, mean/median reward -19.8/-20.0, min/max reward -28.0/-7.0, entropy 1.55750, value loss 4.40978, policy loss -0.09483, distill_loss -10.87791, time 28.41194 min
Updates 510, num timesteps 1308160, FPS 752, mean/median reward -19.8/-20.0, min/max reward -40.0/-9.0, entropy 1.52480, value loss 3.13690, policy loss 0.69861, distill_loss -12.27490, time 28.96972 min
Updates 520, num timesteps 1333760, FPS 752, mean/median reward -20.6/-20.0, min/max reward -40.0/-19.0, entropy 1.54571, value loss 13.24003, policy loss -0.90916, distill_loss -11.21353, time 29.52687 min
Updates 530, num timesteps 1359360, FPS 753, mean/median reward -19.9/-20.0, min/max reward -40.0/-8.0, entropy 1.59248, value loss 4.21071, policy loss 0.15426, distill_loss -11.20667, time 30.08179 min
Updates 540, num timesteps 1384960, FPS 753, mean/median reward -19.9/-20.0, min/max reward -40.0/-8.0, entropy 1.57734, value loss 6.07268, policy loss -0.44028, distill_loss -9.75680, time 30.63546 min
Updates 550, num timesteps 1410560, FPS 753, mean/median reward -20.1/-20.0, min/max reward -40.0/-19.0, entropy 1.58777, value loss 10.12995, policy loss -1.58122, distill_loss -9.19922, time 31.18810 min
Updates 560, num timesteps 1436160, FPS 754, mean/median reward -20.1/-20.0, min/max reward -40.0/-19.0, entropy 1.55663, value loss 2.78659, policy loss 0.58987, distill_loss -12.30571, time 31.73757 min
Updates 570, num timesteps 1461760, FPS 754, mean/median reward -20.0/-20.0, min/max reward -40.0/-19.0, entropy 1.51442, value loss 7.69359, policy loss -0.33299, distill_loss -9.88420, time 32.29630 min
Updates 580, num timesteps 1487360, FPS 754, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 1.57498, value loss 7.44922, policy loss -0.56962, distill_loss -10.18851, time 32.84494 min
Updates 590, num timesteps 1512960, FPS 754, mean/median reward -19.9/-20.0, min/max reward -40.0/-9.0, entropy 1.58135, value loss 6.01220, policy loss -0.63590, distill_loss -10.26871, time 33.42021 min
Updates 600, num timesteps 1538560, FPS 754, mean/median reward -20.1/-20.0, min/max reward -39.0/-19.0, entropy 1.55337, value loss 3.38336, policy loss 0.66219, distill_loss -11.76568, time 33.97447 min
Updates 610, num timesteps 1564160, FPS 755, mean/median reward -19.7/-20.0, min/max reward -20.0/-9.0, entropy 1.57951, value loss 5.61022, policy loss -0.22704, distill_loss -10.24666, time 34.52372 min
Updates 620, num timesteps 1589760, FPS 755, mean/median reward -19.6/-20.0, min/max reward -20.0/2.0, entropy 1.55536, value loss 4.28769, policy loss -0.29726, distill_loss -10.51163, time 35.07233 min
Updates 630, num timesteps 1615360, FPS 755, mean/median reward -19.9/-20.0, min/max reward -40.0/-9.0, entropy 1.57233, value loss 4.01925, policy loss -0.14753, distill_loss -10.66611, time 35.62373 min
Updates 640, num timesteps 1640960, FPS 755, mean/median reward -19.7/-20.0, min/max reward -40.0/-9.0, entropy 1.56846, value loss 3.95467, policy loss -0.11500, distill_loss -10.86643, time 36.17660 min
Updates 650, num timesteps 1666560, FPS 756, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 1.57046, value loss 3.61852, policy loss 0.12226, distill_loss -10.90403, time 36.72460 min
Updates 660, num timesteps 1692160, FPS 756, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 1.54625, value loss 3.57952, policy loss 0.78017, distill_loss -11.88034, time 37.27560 min
Updates 670, num timesteps 1717760, FPS 756, mean/median reward -19.9/-20.0, min/max reward -40.0/-8.0, entropy 1.54427, value loss 5.69384, policy loss 0.18049, distill_loss -10.87036, time 37.82910 min
Updates 680, num timesteps 1743360, FPS 756, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 1.55213, value loss 5.03181, policy loss -0.72764, distill_loss -10.77205, time 38.38352 min
Updates 690, num timesteps 1768960, FPS 757, mean/median reward -19.8/-20.0, min/max reward -20.0/-8.0, entropy 1.54098, value loss 5.56512, policy loss -0.83455, distill_loss -9.79032, time 38.93536 min
Updates 700, num timesteps 1794560, FPS 757, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 1.54165, value loss 4.98053, policy loss 0.56023, distill_loss -11.23701, time 39.48357 min
Updates 710, num timesteps 1820160, FPS 757, mean/median reward -19.8/-20.0, min/max reward -39.0/-9.0, entropy 1.55041, value loss 3.97229, policy loss 0.24390, distill_loss -10.64944, time 40.03402 min
Updates 720, num timesteps 1845760, FPS 757, mean/median reward -19.7/-20.0, min/max reward -20.0/-8.0, entropy 1.53382, value loss 3.42133, policy loss 0.13631, distill_loss -11.54086, time 40.58418 min
Updates 730, num timesteps 1871360, FPS 758, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 1.50646, value loss 2.72397, policy loss 0.44903, distill_loss -12.25583, time 41.13463 min
Updates 740, num timesteps 1896960, FPS 758, mean/median reward -19.9/-20.0, min/max reward -40.0/-9.0, entropy 1.52614, value loss 4.90540, policy loss -0.00215, distill_loss -11.17496, time 41.68720 min
Updates 750, num timesteps 1922560, FPS 758, mean/median reward -19.7/-20.0, min/max reward -40.0/-9.0, entropy 1.53402, value loss 4.67600, policy loss -0.32947, distill_loss -10.18373, time 42.24027 min
Updates 760, num timesteps 1948160, FPS 758, mean/median reward -20.0/-20.0, min/max reward -40.0/-9.0, entropy 1.51720, value loss 6.89345, policy loss -0.49113, distill_loss -10.42509, time 42.78905 min
Updates 770, num timesteps 1973760, FPS 758, mean/median reward -19.7/-20.0, min/max reward -20.0/-9.0, entropy 1.53924, value loss 3.79743, policy loss -0.05271, distill_loss -10.30842, time 43.34639 min
Updates 780, num timesteps 1999360, FPS 759, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 1.48337, value loss 3.95524, policy loss -0.35522, distill_loss -10.82653, time 43.89309 min
Updates 790, num timesteps 2024960, FPS 759, mean/median reward -19.9/-20.0, min/max reward -40.0/-9.0, entropy 1.51213, value loss 5.15808, policy loss -0.07709, distill_loss -10.90439, time 44.44320 min
Updates 800, num timesteps 2050560, FPS 759, mean/median reward -19.6/-20.0, min/max reward -40.0/-9.0, entropy 1.48623, value loss 7.23220, policy loss 0.24177, distill_loss -11.34760, time 44.99879 min
Updates 810, num timesteps 2076160, FPS 759, mean/median reward -19.7/-20.0, min/max reward -20.0/-9.0, entropy 1.49588, value loss 7.08491, policy loss -0.84242, distill_loss -9.42164, time 45.55179 min
Updates 820, num timesteps 2101760, FPS 759, mean/median reward -19.6/-20.0, min/max reward -20.0/-8.0, entropy 1.45782, value loss 3.51812, policy loss 0.05317, distill_loss -10.93181, time 46.09929 min
Updates 830, num timesteps 2127360, FPS 760, mean/median reward -19.7/-20.0, min/max reward -20.0/-9.0, entropy 1.48309, value loss 4.82453, policy loss 0.47806, distill_loss -11.31240, time 46.64255 min
Updates 840, num timesteps 2152960, FPS 760, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 1.48412, value loss 4.55823, policy loss -0.52266, distill_loss -10.22891, time 47.20110 min
Updates 850, num timesteps 2178560, FPS 760, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 1.53298, value loss 5.59283, policy loss -0.57234, distill_loss -10.08518, time 47.76649 min
Updates 860, num timesteps 2204160, FPS 760, mean/median reward -19.7/-20.0, min/max reward -20.0/-9.0, entropy 1.47508, value loss 4.99562, policy loss -0.13754, distill_loss -10.51273, time 48.32657 min
Updates 870, num timesteps 2229760, FPS 760, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 1.49852, value loss 8.01558, policy loss -0.65810, distill_loss -9.56914, time 48.88129 min
Updates 880, num timesteps 2255360, FPS 760, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 1.47705, value loss 5.31228, policy loss -0.24700, distill_loss -10.41490, time 49.43909 min
Updates 890, num timesteps 2280960, FPS 760, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 1.48888, value loss 8.26755, policy loss -0.72407, distill_loss -9.27429, time 49.99530 min
Updates 900, num timesteps 2306560, FPS 759, mean/median reward -19.9/-20.0, min/max reward -40.0/-9.0, entropy 1.47151, value loss 5.51630, policy loss 0.12163, distill_loss -11.10960, time 50.60591 min
Updates 910, num timesteps 2332160, FPS 759, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 1.46126, value loss 5.81107, policy loss -0.36047, distill_loss -9.65105, time 51.16764 min
Updates 920, num timesteps 2357760, FPS 759, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 1.36065, value loss 7.61563, policy loss -0.50680, distill_loss -10.60425, time 51.71759 min
Updates 930, num timesteps 2383360, FPS 759, mean/median reward -19.5/-20.0, min/max reward -20.0/-8.0, entropy 1.47017, value loss 3.64961, policy loss -0.01942, distill_loss -11.08804, time 52.26879 min
Updates 940, num timesteps 2408960, FPS 760, mean/median reward -19.7/-20.0, min/max reward -20.0/-9.0, entropy 1.45282, value loss 4.97443, policy loss 0.60179, distill_loss -11.73510, time 52.82314 min
Updates 950, num timesteps 2434560, FPS 759, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 1.47439, value loss 4.05975, policy loss 0.12549, distill_loss -10.57680, time 53.40438 min
Updates 960, num timesteps 2460160, FPS 759, mean/median reward -19.8/-20.0, min/max reward -20.0/-18.0, entropy 1.44123, value loss 3.46430, policy loss 0.60861, distill_loss -11.81964, time 53.95998 min
Updates 970, num timesteps 2485760, FPS 760, mean/median reward -19.6/-20.0, min/max reward -20.0/-9.0, entropy 1.44827, value loss 8.48302, policy loss -0.25450, distill_loss -9.19013, time 54.50648 min
Updates 980, num timesteps 2511360, FPS 760, mean/median reward -19.7/-20.0, min/max reward -20.0/2.0, entropy 1.46754, value loss 3.48426, policy loss 0.52611, distill_loss -11.56024, time 55.06588 min
Updates 990, num timesteps 2536960, FPS 760, mean/median reward -19.7/-20.0, min/max reward -20.0/-9.0, entropy 1.43534, value loss 3.37765, policy loss 0.45034, distill_loss -11.19973, time 55.62686 min
Updates 1000, num timesteps 2562560, FPS 759, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 1.42936, value loss 4.29497, policy loss 0.51081, distill_loss -11.37309, time 56.19697 min
Updates 1010, num timesteps 2588160, FPS 760, mean/median reward -19.7/-20.0, min/max reward -20.0/-8.0, entropy 1.43202, value loss 4.13448, policy loss 0.30037, distill_loss -11.41306, time 56.75227 min
Updates 1020, num timesteps 2613760, FPS 759, mean/median reward -19.6/-20.0, min/max reward -20.0/-8.0, entropy 1.43440, value loss 5.12883, policy loss -0.15162, distill_loss -10.36023, time 57.33748 min
Updates 1030, num timesteps 2639360, FPS 759, mean/median reward -19.6/-20.0, min/max reward -20.0/-8.0, entropy 1.43198, value loss 6.60084, policy loss -0.20098, distill_loss -9.35987, time 57.89690 min
Updates 1040, num timesteps 2664960, FPS 759, mean/median reward -19.5/-20.0, min/max reward -20.0/-7.0, entropy 1.41398, value loss 6.36618, policy loss 0.39620, distill_loss -10.33471, time 58.44330 min
Updates 1050, num timesteps 2690560, FPS 759, mean/median reward -19.7/-20.0, min/max reward -20.0/-9.0, entropy 1.42741, value loss 5.64744, policy loss -0.24098, distill_loss -10.59013, time 59.01216 min
Updates 1060, num timesteps 2716160, FPS 759, mean/median reward -19.7/-20.0, min/max reward -40.0/2.0, entropy 1.40024, value loss 5.08778, policy loss -0.27642, distill_loss -10.70328, time 59.56495 min
Updates 1070, num timesteps 2741760, FPS 760, mean/median reward -19.6/-20.0, min/max reward -20.0/-9.0, entropy 1.39725, value loss 4.07004, policy loss -0.12662, distill_loss -10.57484, time 60.11271 min
Updates 1080, num timesteps 2767360, FPS 760, mean/median reward -19.6/-20.0, min/max reward -20.0/-8.0, entropy 1.42179, value loss 5.18167, policy loss -0.19666, distill_loss -9.86953, time 60.66210 min
Updates 1090, num timesteps 2792960, FPS 760, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 1.40847, value loss 6.51389, policy loss -0.61618, distill_loss -9.55370, time 61.24692 min
Updates 1100, num timesteps 2818560, FPS 758, mean/median reward -19.7/-20.0, min/max reward -20.0/-8.0, entropy 1.43716, value loss 6.16079, policy loss 0.22512, distill_loss -8.70265, time 61.89858 min
Updates 1110, num timesteps 2844160, FPS 759, mean/median reward -19.5/-20.0, min/max reward -20.0/-7.0, entropy 1.40416, value loss 8.73213, policy loss -0.49718, distill_loss -8.53453, time 62.44744 min
Updates 1120, num timesteps 2869760, FPS 759, mean/median reward -19.7/-20.0, min/max reward -20.0/-8.0, entropy 1.40123, value loss 5.86719, policy loss -0.07255, distill_loss -9.86608, time 62.99539 min
Updates 1130, num timesteps 2895360, FPS 759, mean/median reward -19.7/-20.0, min/max reward -20.0/-8.0, entropy 1.43922, value loss 4.92499, policy loss -0.04360, distill_loss -10.31522, time 63.54110 min
Updates 1140, num timesteps 2920960, FPS 759, mean/median reward -19.8/-20.0, min/max reward -20.0/-8.0, entropy 1.38282, value loss 10.04875, policy loss -0.34296, distill_loss -8.97894, time 64.09015 min
Updates 1150, num timesteps 2946560, FPS 759, mean/median reward -19.5/-20.0, min/max reward -20.0/-9.0, entropy 1.38313, value loss 4.61081, policy loss -0.02648, distill_loss -10.46530, time 64.64002 min
Updates 1160, num timesteps 2972160, FPS 759, mean/median reward -19.7/-20.0, min/max reward -20.0/-9.0, entropy 1.35057, value loss 6.31535, policy loss 0.04393, distill_loss -10.31901, time 65.19850 min
Updates 1170, num timesteps 2997760, FPS 759, mean/median reward -19.6/-20.0, min/max reward -20.0/-9.0, entropy 1.29011, value loss 6.20179, policy loss -0.41952, distill_loss -9.97979, time 65.74841 min
Updates 1180, num timesteps 3023360, FPS 760, mean/median reward -19.7/-20.0, min/max reward -20.0/-8.0, entropy 1.36949, value loss 4.78162, policy loss -0.30576, distill_loss -9.91931, time 66.29632 min
Updates 1190, num timesteps 3048960, FPS 760, mean/median reward -19.7/-20.0, min/max reward -40.0/-8.0, entropy 1.39099, value loss 5.58068, policy loss -0.02663, distill_loss -9.74325, time 66.85132 min
Updates 1200, num timesteps 3074560, FPS 759, mean/median reward -19.8/-20.0, min/max reward -40.0/-8.0, entropy 1.32215, value loss 6.10691, policy loss 0.07446, distill_loss -9.91430, time 67.45158 min
Updates 1210, num timesteps 3100160, FPS 759, mean/median reward -19.6/-20.0, min/max reward -20.0/-9.0, entropy 1.36063, value loss 5.95726, policy loss 0.15938, distill_loss -8.97806, time 67.99873 min
Updates 1220, num timesteps 3125760, FPS 760, mean/median reward -19.4/-20.0, min/max reward -20.0/2.0, entropy 1.33417, value loss 5.18132, policy loss 0.12717, distill_loss -10.73301, time 68.54474 min
Updates 1230, num timesteps 3151360, FPS 760, mean/median reward -19.3/-20.0, min/max reward -20.0/-7.0, entropy 1.26707, value loss 6.36271, policy loss 0.00995, distill_loss -10.14709, time 69.09108 min
Updates 1240, num timesteps 3176960, FPS 760, mean/median reward -19.5/-20.0, min/max reward -20.0/-7.0, entropy 1.31528, value loss 7.55856, policy loss -0.18368, distill_loss -8.26355, time 69.65125 min
Updates 1250, num timesteps 3202560, FPS 760, mean/median reward -19.7/-20.0, min/max reward -20.0/-9.0, entropy 1.26795, value loss 9.18277, policy loss -0.25322, distill_loss -8.77954, time 70.19253 min
Updates 1260, num timesteps 3228160, FPS 760, mean/median reward -19.6/-20.0, min/max reward -20.0/-8.0, entropy 1.26767, value loss 5.67247, policy loss 0.31552, distill_loss -10.52482, time 70.73418 min
Updates 1270, num timesteps 3253760, FPS 760, mean/median reward -19.4/-20.0, min/max reward -20.0/-9.0, entropy 1.33180, value loss 5.56762, policy loss 0.03917, distill_loss -8.20237, time 71.28402 min
Updates 1280, num timesteps 3279360, FPS 760, mean/median reward -19.4/-20.0, min/max reward -20.0/-9.0, entropy 1.28258, value loss 8.61475, policy loss 0.14822, distill_loss -8.67192, time 71.82788 min
Updates 1290, num timesteps 3304960, FPS 761, mean/median reward -19.7/-20.0, min/max reward -20.0/-7.0, entropy 1.29345, value loss 6.53231, policy loss -0.16594, distill_loss -9.13646, time 72.37458 min
Updates 1300, num timesteps 3330560, FPS 760, mean/median reward -19.4/-20.0, min/max reward -20.0/-9.0, entropy 1.27162, value loss 3.98330, policy loss 0.65145, distill_loss -10.12756, time 72.95125 min
Updates 1310, num timesteps 3356160, FPS 761, mean/median reward -19.5/-20.0, min/max reward -20.0/-9.0, entropy 1.31200, value loss 6.35995, policy loss -0.20820, distill_loss -8.49077, time 73.49312 min
Updates 1320, num timesteps 3381760, FPS 761, mean/median reward -19.3/-20.0, min/max reward -20.0/-8.0, entropy 1.20955, value loss 7.32921, policy loss 0.32660, distill_loss -9.30311, time 74.02705 min
Updates 1330, num timesteps 3407360, FPS 761, mean/median reward -19.5/-20.0, min/max reward -20.0/-8.0, entropy 1.29264, value loss 5.06111, policy loss 0.15335, distill_loss -10.17651, time 74.56143 min
Updates 1340, num timesteps 3432960, FPS 761, mean/median reward -19.5/-20.0, min/max reward -20.0/-9.0, entropy 1.26861, value loss 9.85596, policy loss -0.67645, distill_loss -7.75462, time 75.09554 min
Updates 1350, num timesteps 3458560, FPS 761, mean/median reward -19.7/-20.0, min/max reward -20.0/-18.0, entropy 1.23912, value loss 5.43965, policy loss 0.10725, distill_loss -7.51751, time 75.65035 min
Updates 1360, num timesteps 3484160, FPS 762, mean/median reward -19.6/-20.0, min/max reward -20.0/-9.0, entropy 1.17020, value loss 8.38795, policy loss -0.23348, distill_loss -8.16546, time 76.18774 min
