command line args: main.py --algo i2a --env MsPacmanNoFrameskip-v0 --num-processes 64 --port 5555 --log-dir /tmp/gym/MsPacman_sSSM --num-steps 10 --entropy-coef 0.01 --distill-coef 10 --num-stack 4 --num-frames 300000000 --train-on-200x160-pixel --latent-space-model sSSM
Updates 0, num timesteps 640, FPS 30, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 2.19722, value loss 0.00444, policy loss 0.01705, distill_loss 0.00080, time 0.34983 min
Updates 110, num timesteps 71040, FPS 53, mean/median reward 10.0/11.0, min/max reward 0.0/16.0, entropy 2.13834, value loss 0.03567, policy loss -0.03994, distill_loss 0.66914, time 22.15822 min
Updates 120, num timesteps 77440, FPS 53, mean/median reward 9.7/11.0, min/max reward 0.0/16.0, entropy 2.15041, value loss 0.01701, policy loss -0.07433, distill_loss 0.53277, time 24.05726 min
Updates 130, num timesteps 83840, FPS 53, mean/median reward 8.6/10.0, min/max reward 0.0/16.0, entropy 2.17585, value loss 0.04322, policy loss 0.03784, distill_loss 0.33777, time 26.11338 min
Updates 140, num timesteps 90240, FPS 53, mean/median reward 6.5/6.0, min/max reward 0.0/15.0, entropy 2.18631, value loss 0.01379, policy loss -0.03812, distill_loss 0.17787, time 27.95556 min
Updates 150, num timesteps 96640, FPS 52, mean/median reward 6.7/6.0, min/max reward 0.0/24.0, entropy 2.19018, value loss 0.00171, policy loss -0.02665, distill_loss 0.12912, time 30.71658 min
Updates 160, num timesteps 103040, FPS 51, mean/median reward 6.6/6.0, min/max reward 0.0/24.0, entropy 2.17526, value loss 0.04183, policy loss 0.03218, distill_loss 0.37261, time 33.40854 min
Updates 170, num timesteps 109440, FPS 49, mean/median reward 6.6/6.0, min/max reward 0.0/24.0, entropy 2.16344, value loss 0.06134, policy loss 0.05748, distill_loss 0.52446, time 37.00046 min
Updates 180, num timesteps 115840, FPS 47, mean/median reward 6.3/6.0, min/max reward 0.0/24.0, entropy 2.16283, value loss 0.04784, policy loss 0.01574, distill_loss 0.35604, time 40.77781 min
Updates 190, num timesteps 122240, FPS 47, mean/median reward 6.2/6.0, min/max reward 0.0/24.0, entropy 2.16126, value loss 0.07331, policy loss 0.04174, distill_loss 0.43886, time 43.27169 min
Updates 200, num timesteps 128640, FPS 46, mean/median reward 5.8/5.0, min/max reward 0.0/24.0, entropy 2.16553, value loss 0.03540, policy loss 0.01315, distill_loss 0.41878, time 45.91894 min
Updates 210, num timesteps 135040, FPS 46, mean/median reward 5.5/5.0, min/max reward 0.0/24.0, entropy 2.16548, value loss 0.02099, policy loss -0.02467, distill_loss 0.33711, time 48.29180 min
Updates 220, num timesteps 141440, FPS 45, mean/median reward 4.7/4.0, min/max reward 0.0/14.0, entropy 2.18140, value loss 0.06106, policy loss 0.08264, distill_loss 0.27054, time 51.40344 min
Updates 230, num timesteps 147840, FPS 45, mean/median reward 4.8/5.0, min/max reward 0.0/13.0, entropy 2.17513, value loss 0.02049, policy loss -0.04563, distill_loss 0.44417, time 54.05424 min
Updates 240, num timesteps 154240, FPS 45, mean/median reward 5.1/5.0, min/max reward 0.0/13.0, entropy 2.17484, value loss 0.11595, policy loss 0.09551, distill_loss 0.44675, time 56.97140 min
Updates 250, num timesteps 160640, FPS 44, mean/median reward 5.3/5.0, min/max reward 0.0/13.0, entropy 2.13808, value loss 0.06785, policy loss -0.01259, distill_loss 0.57603, time 59.86912 min
Updates 260, num timesteps 167040, FPS 44, mean/median reward 6.1/6.0, min/max reward 0.0/13.0, entropy 2.12247, value loss 0.11457, policy loss -0.16149, distill_loss 0.81181, time 61.91636 min
Updates 270, num timesteps 173440, FPS 45, mean/median reward 6.3/7.0, min/max reward 0.0/13.0, entropy 2.14795, value loss 0.06311, policy loss -0.01134, distill_loss 0.67142, time 64.13628 min
Updates 280, num timesteps 179840, FPS 44, mean/median reward 6.9/7.0, min/max reward 2.0/13.0, entropy 2.15191, value loss 0.04464, policy loss -0.02410, distill_loss 0.86730, time 67.08215 min
Updates 290, num timesteps 186240, FPS 44, mean/median reward 7.4/7.0, min/max reward 0.0/15.0, entropy 2.14309, value loss 0.07687, policy loss 0.04301, distill_loss 1.04705, time 69.46678 min
Updates 300, num timesteps 192640, FPS 44, mean/median reward 7.4/7.0, min/max reward 0.0/16.0, entropy 2.06576, value loss 0.07580, policy loss -0.00533, distill_loss 1.82489, time 72.41885 min
Updates 310, num timesteps 199040, FPS 44, mean/median reward 7.1/7.0, min/max reward 0.0/16.0, entropy 2.04963, value loss 0.06762, policy loss -0.00599, distill_loss 1.94464, time 75.02552 min
Updates 320, num timesteps 205440, FPS 44, mean/median reward 7.2/7.0, min/max reward 0.0/16.0, entropy 2.03778, value loss 0.06841, policy loss -0.00048, distill_loss 2.08261, time 77.67994 min
Updates 330, num timesteps 211840, FPS 44, mean/median reward 7.1/7.0, min/max reward 0.0/16.0, entropy 2.07730, value loss 0.06171, policy loss 0.02419, distill_loss 1.67705, time 79.80674 min
Updates 340, num timesteps 218240, FPS 44, mean/median reward 7.4/7.0, min/max reward 0.0/16.0, entropy 2.08536, value loss 0.04012, policy loss -0.02377, distill_loss 1.47937, time 82.45684 min
Updates 350, num timesteps 224640, FPS 43, mean/median reward 7.5/7.0, min/max reward 0.0/16.0, entropy 2.09998, value loss 0.07232, policy loss 0.06261, distill_loss 1.39413, time 85.12956 min
Updates 360, num timesteps 231040, FPS 43, mean/median reward 7.4/7.0, min/max reward 0.0/16.0, entropy 2.07321, value loss 0.04691, policy loss -0.07167, distill_loss 1.63581, time 87.60635 min
Updates 370, num timesteps 237440, FPS 43, mean/median reward 7.5/7.0, min/max reward 0.0/17.0, entropy 2.11913, value loss 0.04030, policy loss -0.00299, distill_loss 1.19336, time 90.68284 min
Updates 380, num timesteps 243840, FPS 43, mean/median reward 7.4/7.0, min/max reward 0.0/17.0, entropy 2.13690, value loss 0.02971, policy loss -0.01574, distill_loss 0.95545, time 93.45187 min
Updates 390, num timesteps 250240, FPS 43, mean/median reward 7.7/7.0, min/max reward 0.0/23.0, entropy 2.16270, value loss 0.02850, policy loss 0.00542, distill_loss 0.63921, time 95.84139 min
Updates 400, num timesteps 256640, FPS 43, mean/median reward 8.3/7.0, min/max reward 0.0/31.0, entropy 2.15778, value loss 0.06313, policy loss 0.03271, distill_loss 0.66710, time 98.48042 min
Updates 410, num timesteps 263040, FPS 43, mean/median reward 8.4/7.0, min/max reward 0.0/31.0, entropy 2.12866, value loss 0.07333, policy loss 0.01860, distill_loss 0.88288, time 101.40360 min
Updates 420, num timesteps 269440, FPS 42, mean/median reward 8.5/7.0, min/max reward 0.0/31.0, entropy 2.04720, value loss 0.06847, policy loss -0.02162, distill_loss 1.74415, time 104.66664 min
Updates 430, num timesteps 275840, FPS 42, mean/median reward 8.8/8.0, min/max reward 0.0/31.0, entropy 2.09165, value loss 0.05047, policy loss 0.00101, distill_loss 1.37909, time 107.25132 min
Updates 440, num timesteps 282240, FPS 43, mean/median reward 9.6/8.0, min/max reward 0.0/31.0, entropy 2.11960, value loss 0.03384, policy loss -0.01744, distill_loss 1.03508, time 109.16926 min
Updates 450, num timesteps 288640, FPS 43, mean/median reward 9.5/8.0, min/max reward 0.0/31.0, entropy 2.11381, value loss 0.06806, policy loss 0.01345, distill_loss 1.10427, time 111.38750 min
Updates 460, num timesteps 295040, FPS 43, mean/median reward 9.7/8.0, min/max reward 0.0/31.0, entropy 2.13242, value loss 0.02629, policy loss -0.04685, distill_loss 0.89307, time 113.51385 min
Updates 470, num timesteps 301440, FPS 43, mean/median reward 9.8/9.0, min/max reward 0.0/31.0, entropy 2.12256, value loss 0.07186, policy loss 0.06684, distill_loss 1.03148, time 115.66757 min
Updates 480, num timesteps 307840, FPS 43, mean/median reward 8.5/7.0, min/max reward 0.0/28.0, entropy 2.13722, value loss 0.06816, policy loss 0.07950, distill_loss 0.75639, time 117.92020 min
Updates 490, num timesteps 314240, FPS 43, mean/median reward 7.8/6.0, min/max reward 0.0/23.0, entropy 2.13562, value loss 0.03262, policy loss -0.09142, distill_loss 0.83772, time 120.49850 min
Updates 500, num timesteps 320640, FPS 43, mean/median reward 7.2/6.0, min/max reward 0.0/19.0, entropy 2.09046, value loss 0.03036, policy loss -0.05135, distill_loss 1.24041, time 122.67705 min
Updates 510, num timesteps 327040, FPS 43, mean/median reward 7.4/6.0, min/max reward 0.0/19.0, entropy 2.06669, value loss 0.06161, policy loss -0.05837, distill_loss 1.21879, time 125.15574 min
Updates 520, num timesteps 333440, FPS 43, mean/median reward 7.8/6.0, min/max reward 0.0/25.0, entropy 1.96711, value loss 0.07258, policy loss -0.02134, distill_loss 1.71056, time 127.56073 min
Updates 530, num timesteps 339840, FPS 43, mean/median reward 7.4/5.0, min/max reward 0.0/25.0, entropy 1.87783, value loss 0.10478, policy loss -0.00386, distill_loss 2.74217, time 130.14939 min
Updates 540, num timesteps 346240, FPS 43, mean/median reward 7.9/6.0, min/max reward 0.0/25.0, entropy 1.95905, value loss 0.06976, policy loss -0.04169, distill_loss 1.79530, time 132.79796 min
Updates 550, num timesteps 352640, FPS 43, mean/median reward 7.6/6.0, min/max reward 0.0/19.0, entropy 2.04827, value loss 0.04558, policy loss -0.03242, distill_loss 1.15121, time 135.60341 min
Updates 560, num timesteps 359040, FPS 43, mean/median reward 7.5/6.0, min/max reward 0.0/19.0, entropy 2.10863, value loss 0.03056, policy loss -0.05505, distill_loss 0.65588, time 137.93166 min
Updates 570, num timesteps 365440, FPS 43, mean/median reward 7.8/6.0, min/max reward 0.0/19.0, entropy 2.13912, value loss 0.04805, policy loss 0.01796, distill_loss 0.55118, time 141.13370 min
Updates 580, num timesteps 371840, FPS 43, mean/median reward 8.3/8.0, min/max reward 1.0/20.0, entropy 2.15504, value loss 0.07281, policy loss 0.10299, distill_loss 0.42745, time 143.61374 min
Updates 590, num timesteps 378240, FPS 43, mean/median reward 8.4/8.0, min/max reward 1.0/20.0, entropy 2.14533, value loss 0.05166, policy loss 0.03365, distill_loss 0.55606, time 145.85342 min
Updates 600, num timesteps 384640, FPS 43, mean/median reward 8.6/8.0, min/max reward 1.0/23.0, entropy 2.14486, value loss 0.03314, policy loss -0.02172, distill_loss 0.51499, time 147.90763 min
Updates 610, num timesteps 391040, FPS 43, mean/median reward 8.6/7.0, min/max reward 1.0/26.0, entropy 2.14514, value loss 0.07331, policy loss 0.05330, distill_loss 0.39755, time 150.44621 min
Updates 620, num timesteps 397440, FPS 43, mean/median reward 9.6/9.0, min/max reward 0.0/26.0, entropy 2.10033, value loss 0.08891, policy loss 0.00795, distill_loss 0.64038, time 152.75690 min
Updates 630, num timesteps 403840, FPS 43, mean/median reward 9.2/9.0, min/max reward 0.0/26.0, entropy 2.10265, value loss 0.02791, policy loss -0.05682, distill_loss 0.53480, time 154.78466 min
Updates 640, num timesteps 410240, FPS 43, mean/median reward 8.9/8.0, min/max reward 0.0/26.0, entropy 2.13949, value loss 0.02719, policy loss -0.03241, distill_loss 0.29601, time 156.82307 min
Updates 650, num timesteps 416640, FPS 43, mean/median reward 8.8/7.0, min/max reward 0.0/26.0, entropy 2.12927, value loss 0.06088, policy loss 0.05074, distill_loss 0.45675, time 159.23789 min
Updates 660, num timesteps 423040, FPS 43, mean/median reward 8.7/7.0, min/max reward 0.0/26.0, entropy 2.11167, value loss 0.04796, policy loss -0.00871, distill_loss 0.49559, time 161.37273 min
Updates 670, num timesteps 429440, FPS 43, mean/median reward 8.2/7.0, min/max reward 0.0/26.0, entropy 2.14337, value loss 0.02443, policy loss -0.03247, distill_loss 0.30111, time 164.04233 min
Updates 680, num timesteps 435840, FPS 43, mean/median reward 7.5/7.0, min/max reward 0.0/25.0, entropy 2.16106, value loss 0.05543, policy loss 0.01362, distill_loss 0.19675, time 166.62566 min
Updates 690, num timesteps 442240, FPS 43, mean/median reward 7.8/7.0, min/max reward 0.0/25.0, entropy 2.15942, value loss 0.02578, policy loss -0.00924, distill_loss 0.25349, time 169.15147 min
Updates 700, num timesteps 448640, FPS 43, mean/median reward 7.3/6.0, min/max reward 0.0/25.0, entropy 2.14664, value loss 0.06459, policy loss 0.03460, distill_loss 0.32734, time 171.43609 min
Updates 710, num timesteps 455040, FPS 43, mean/median reward 7.3/6.0, min/max reward 0.0/25.0, entropy 2.10828, value loss 0.09922, policy loss 0.03613, distill_loss 0.44184, time 173.79848 min
Updates 720, num timesteps 461440, FPS 43, mean/median reward 7.4/6.0, min/max reward 0.0/30.0, entropy 2.04879, value loss 0.09507, policy loss 0.03347, distill_loss 0.79342, time 176.13149 min
Updates 730, num timesteps 467840, FPS 43, mean/median reward 7.2/6.0, min/max reward 0.0/30.0, entropy 2.02731, value loss 0.03075, policy loss -0.13613, distill_loss 1.18457, time 178.64000 min
Updates 740, num timesteps 474240, FPS 43, mean/median reward 7.1/6.0, min/max reward 0.0/30.0, entropy 2.06464, value loss 0.09634, policy loss -0.06021, distill_loss 1.05463, time 180.85567 min
Updates 750, num timesteps 480640, FPS 43, mean/median reward 7.2/6.0, min/max reward 0.0/35.0, entropy 2.12407, value loss 0.05625, policy loss -0.02599, distill_loss 0.62624, time 183.56150 min
Updates 760, num timesteps 487040, FPS 43, mean/median reward 7.8/6.0, min/max reward 0.0/35.0, entropy 2.11288, value loss 0.04754, policy loss -0.01292, distill_loss 0.79446, time 185.66814 min
Updates 770, num timesteps 493440, FPS 43, mean/median reward 8.2/6.0, min/max reward 0.0/35.0, entropy 2.09845, value loss 0.07148, policy loss -0.05534, distill_loss 0.92252, time 187.32019 min
Updates 780, num timesteps 499840, FPS 44, mean/median reward 8.4/6.0, min/max reward 0.0/35.0, entropy 2.03480, value loss 0.07761, policy loss 0.04291, distill_loss 1.45309, time 189.08754 min
Updates 790, num timesteps 506240, FPS 44, mean/median reward 7.9/6.0, min/max reward 0.0/35.0, entropy 2.04887, value loss 0.08390, policy loss 0.02910, distill_loss 1.21356, time 190.95756 min
Updates 800, num timesteps 512640, FPS 44, mean/median reward 8.9/6.0, min/max reward 0.0/35.0, entropy 2.08632, value loss 0.09012, policy loss 0.01700, distill_loss 0.60121, time 193.45430 min
Updates 810, num timesteps 519040, FPS 44, mean/median reward 8.7/6.0, min/max reward 0.0/35.0, entropy 2.10199, value loss 0.04909, policy loss 0.01411, distill_loss 0.60696, time 195.95244 min
Updates 820, num timesteps 525440, FPS 44, mean/median reward 9.0/5.0, min/max reward 0.0/35.0, entropy 2.11093, value loss 0.04031, policy loss -0.00603, distill_loss 0.50825, time 197.75306 min
Updates 830, num timesteps 531840, FPS 44, mean/median reward 8.4/5.0, min/max reward 0.0/28.0, entropy 2.11644, value loss 0.03506, policy loss -0.00689, distill_loss 0.38774, time 199.78116 min
Updates 840, num timesteps 538240, FPS 44, mean/median reward 8.3/5.0, min/max reward 0.0/28.0, entropy 2.09998, value loss 0.05054, policy loss 0.01071, distill_loss 0.41164, time 202.00926 min
Updates 850, num timesteps 544640, FPS 44, mean/median reward 8.8/6.0, min/max reward 0.0/28.0, entropy 2.12423, value loss 0.05097, policy loss 0.03087, distill_loss 0.29329, time 204.43865 min
Updates 860, num timesteps 551040, FPS 44, mean/median reward 8.8/7.0, min/max reward 1.0/28.0, entropy 2.14425, value loss 0.02564, policy loss -0.01362, distill_loss 0.20793, time 206.20024 min
Updates 870, num timesteps 557440, FPS 44, mean/median reward 9.5/8.0, min/max reward 1.0/28.0, entropy 2.12219, value loss 0.08303, policy loss 0.08237, distill_loss 0.32696, time 209.19481 min
Updates 880, num timesteps 563840, FPS 44, mean/median reward 10.1/9.0, min/max reward 1.0/30.0, entropy 2.11937, value loss 0.03246, policy loss -0.04735, distill_loss -0.40508, time 211.32325 min
Updates 890, num timesteps 570240, FPS 44, mean/median reward 10.1/9.0, min/max reward 0.0/30.0, entropy 2.15312, value loss 0.04167, policy loss 0.01292, distill_loss -0.38992, time 214.16130 min
Updates 900, num timesteps 576640, FPS 44, mean/median reward 9.8/8.0, min/max reward 0.0/30.0, entropy 2.10857, value loss 0.06146, policy loss 0.05066, distill_loss -0.29733, time 216.19555 min
Updates 910, num timesteps 583040, FPS 44, mean/median reward 9.7/8.0, min/max reward 0.0/30.0, entropy 2.08287, value loss 0.04919, policy loss -0.00213, distill_loss -0.29748, time 217.86940 min
Updates 920, num timesteps 589440, FPS 44, mean/median reward 9.4/8.0, min/max reward 0.0/30.0, entropy 2.09908, value loss 0.04413, policy loss -0.01185, distill_loss -0.48853, time 220.01514 min
Updates 930, num timesteps 595840, FPS 44, mean/median reward 8.1/6.0, min/max reward 0.0/30.0, entropy 2.09651, value loss 0.04635, policy loss -0.00203, distill_loss -0.28695, time 223.14072 min
Updates 940, num timesteps 602240, FPS 44, mean/median reward 7.5/6.0, min/max reward 0.0/28.0, entropy 2.11836, value loss 0.06326, policy loss 0.00111, distill_loss -0.34437, time 225.65363 min
Updates 950, num timesteps 608640, FPS 44, mean/median reward 7.0/5.0, min/max reward 0.0/28.0, entropy 2.10296, value loss 0.03813, policy loss -0.03251, distill_loss -0.41379, time 227.84749 min
Updates 960, num timesteps 615040, FPS 44, mean/median reward 6.6/5.0, min/max reward 0.0/19.0, entropy 2.09573, value loss 0.03657, policy loss -0.03713, distill_loss -0.51028, time 230.62429 min
Updates 970, num timesteps 621440, FPS 44, mean/median reward 6.8/5.0, min/max reward 0.0/21.0, entropy 2.07403, value loss 0.12180, policy loss -0.00662, distill_loss -0.78300, time 232.47782 min
Updates 980, num timesteps 627840, FPS 44, mean/median reward 7.1/5.0, min/max reward 0.0/30.0, entropy 2.06849, value loss 0.08022, policy loss -0.04021, distill_loss -0.61503, time 235.08678 min
Updates 990, num timesteps 634240, FPS 44, mean/median reward 7.6/6.0, min/max reward 0.0/30.0, entropy 2.08732, value loss 0.05580, policy loss -0.03901, distill_loss -0.47335, time 237.35062 min
Updates 1000, num timesteps 640640, FPS 44, mean/median reward 7.4/6.0, min/max reward 0.0/30.0, entropy 2.14524, value loss 0.07909, policy loss 0.11591, distill_loss -0.57159, time 239.24921 min
Updates 1010, num timesteps 647040, FPS 44, mean/median reward 8.1/7.0, min/max reward 0.0/30.0, entropy 2.10197, value loss 0.07945, policy loss 0.00884, distill_loss -0.72578, time 240.90459 min
Updates 1020, num timesteps 653440, FPS 44, mean/median reward 7.6/7.0, min/max reward 0.0/30.0, entropy 2.15027, value loss 0.03681, policy loss -0.02199, distill_loss -0.63091, time 242.57884 min
Updates 1030, num timesteps 659840, FPS 44, mean/median reward 7.8/8.0, min/max reward 0.0/30.0, entropy 2.14814, value loss 0.07110, policy loss 0.08858, distill_loss -0.71545, time 244.47471 min
Updates 1040, num timesteps 666240, FPS 45, mean/median reward 7.9/8.0, min/max reward 0.0/30.0, entropy 2.10238, value loss 0.11564, policy loss 0.16104, distill_loss -0.82403, time 246.34461 min
Updates 1050, num timesteps 672640, FPS 45, mean/median reward 8.0/8.0, min/max reward 0.0/30.0, entropy 2.03946, value loss 0.06859, policy loss -0.00853, distill_loss -0.80785, time 248.20667 min
Updates 1060, num timesteps 679040, FPS 45, mean/median reward 7.9/7.0, min/max reward 0.0/30.0, entropy 2.02534, value loss 0.08481, policy loss 0.03818, distill_loss -0.83242, time 249.98304 min
Updates 1070, num timesteps 685440, FPS 45, mean/median reward 8.5/9.0, min/max reward 0.0/30.0, entropy 2.05242, value loss 0.04620, policy loss -0.03387, distill_loss -0.66526, time 252.16878 min
Updates 1080, num timesteps 691840, FPS 45, mean/median reward 8.6/9.0, min/max reward 0.0/30.0, entropy 2.14335, value loss 0.00838, policy loss -0.06125, distill_loss -0.68855, time 254.25014 min
Updates 1090, num timesteps 698240, FPS 45, mean/median reward 9.3/9.0, min/max reward 0.0/30.0, entropy 2.15644, value loss 0.02475, policy loss -0.04332, distill_loss -0.72325, time 256.23076 min
Updates 1100, num timesteps 704640, FPS 45, mean/median reward 9.4/9.0, min/max reward 0.0/30.0, entropy 2.14118, value loss 0.02470, policy loss -0.03366, distill_loss -0.86944, time 258.10690 min
Updates 1110, num timesteps 711040, FPS 45, mean/median reward 8.9/8.0, min/max reward 0.0/26.0, entropy 2.10016, value loss 0.09213, policy loss 0.02787, distill_loss -1.03144, time 260.19335 min
Updates 1120, num timesteps 717440, FPS 45, mean/median reward 9.0/7.0, min/max reward 0.0/26.0, entropy 2.08816, value loss 0.10693, policy loss 0.04725, distill_loss -0.91135, time 261.97833 min
Updates 1130, num timesteps 723840, FPS 45, mean/median reward 8.3/7.0, min/max reward 0.0/26.0, entropy 2.10012, value loss 0.05823, policy loss 0.01993, distill_loss -0.88355, time 264.00934 min
Updates 1140, num timesteps 730240, FPS 45, mean/median reward 8.2/7.0, min/max reward 0.0/26.0, entropy 2.06043, value loss 0.07151, policy loss 0.02911, distill_loss -0.74412, time 265.79216 min
Updates 1150, num timesteps 736640, FPS 45, mean/median reward 8.6/7.0, min/max reward 0.0/26.0, entropy 2.05241, value loss 0.05429, policy loss 0.01017, distill_loss -0.75853, time 267.54328 min
Updates 1160, num timesteps 743040, FPS 45, mean/median reward 8.4/7.0, min/max reward 0.0/21.0, entropy 2.10551, value loss 0.03155, policy loss -0.03586, distill_loss -0.69895, time 269.32785 min
Updates 1170, num timesteps 749440, FPS 45, mean/median reward 8.0/7.0, min/max reward 0.0/21.0, entropy 2.13282, value loss 0.07786, policy loss 0.10505, distill_loss -0.68981, time 271.64305 min
Updates 1180, num timesteps 755840, FPS 45, mean/median reward 7.8/7.0, min/max reward 0.0/21.0, entropy 2.09494, value loss 0.05043, policy loss 0.01549, distill_loss -0.85995, time 274.01461 min
Updates 1190, num timesteps 762240, FPS 45, mean/median reward 7.5/7.0, min/max reward 0.0/22.0, entropy 2.08761, value loss 0.05458, policy loss -0.01577, distill_loss -0.86537, time 276.57066 min
Updates 1200, num timesteps 768640, FPS 45, mean/median reward 8.1/7.0, min/max reward 0.0/22.0, entropy 2.13170, value loss 0.05085, policy loss 0.02625, distill_loss -0.85996, time 279.10868 min
Updates 1210, num timesteps 775040, FPS 45, mean/median reward 7.8/7.0, min/max reward 0.0/22.0, entropy 2.11592, value loss 0.05183, policy loss 0.01413, distill_loss -0.87788, time 281.53131 min
Updates 1220, num timesteps 781440, FPS 45, mean/median reward 7.5/6.0, min/max reward 0.0/22.0, entropy 2.09083, value loss 0.07170, policy loss 0.00508, distill_loss -1.02843, time 283.34733 min
Updates 1230, num timesteps 787840, FPS 45, mean/median reward 8.1/6.0, min/max reward 0.0/36.0, entropy 2.07868, value loss 0.08726, policy loss 0.03333, distill_loss -0.98944, time 285.72378 min
Updates 1240, num timesteps 794240, FPS 45, mean/median reward 8.1/6.0, min/max reward 0.0/36.0, entropy 2.11109, value loss 0.03777, policy loss -0.02208, distill_loss -1.05060, time 288.18117 min
Updates 1250, num timesteps 800640, FPS 46, mean/median reward 8.0/6.0, min/max reward 0.0/36.0, entropy 2.14033, value loss 0.03753, policy loss 0.01059, distill_loss -0.86600, time 289.91187 min
Updates 1260, num timesteps 807040, FPS 46, mean/median reward 9.0/7.0, min/max reward 0.0/36.0, entropy 2.13114, value loss 0.06539, policy loss 0.06742, distill_loss -0.95957, time 291.58562 min
Updates 1270, num timesteps 813440, FPS 46, mean/median reward 9.1/9.0, min/max reward 0.0/36.0, entropy 2.13403, value loss 0.05738, policy loss 0.02003, distill_loss -0.94815, time 293.44054 min
Updates 1280, num timesteps 819840, FPS 46, mean/median reward 8.5/7.0, min/max reward 0.0/36.0, entropy 2.08089, value loss 0.10407, policy loss 0.12197, distill_loss -0.99186, time 295.35224 min
Updates 1290, num timesteps 826240, FPS 46, mean/median reward 8.0/7.0, min/max reward 0.0/26.0, entropy 2.04535, value loss 0.09710, policy loss 0.05114, distill_loss -1.28598, time 297.54377 min
Updates 1300, num timesteps 832640, FPS 46, mean/median reward 8.4/6.0, min/max reward 0.0/35.0, entropy 2.08319, value loss 0.04292, policy loss -0.02268, distill_loss -0.98676, time 299.98613 min
Updates 1310, num timesteps 839040, FPS 46, mean/median reward 8.9/8.0, min/max reward 0.0/35.0, entropy 2.12162, value loss 0.06320, policy loss 0.04057, distill_loss -1.01644, time 302.46789 min
Updates 1320, num timesteps 845440, FPS 46, mean/median reward 9.0/7.0, min/max reward 1.0/35.0, entropy 2.09928, value loss 0.04673, policy loss -0.00381, distill_loss -1.08581, time 305.13013 min
Updates 1330, num timesteps 851840, FPS 46, mean/median reward 8.7/7.0, min/max reward 1.0/35.0, entropy 2.12602, value loss 0.04031, policy loss 0.00317, distill_loss -1.05311, time 307.23178 min
Updates 1340, num timesteps 858240, FPS 46, mean/median reward 8.4/7.0, min/max reward 1.0/35.0, entropy 2.13896, value loss 0.04073, policy loss -0.04233, distill_loss -1.07984, time 308.95910 min
Updates 1350, num timesteps 864640, FPS 46, mean/median reward 8.2/7.0, min/max reward 1.0/35.0, entropy 2.12887, value loss 0.03305, policy loss -0.02806, distill_loss -0.95641, time 311.39517 min
Updates 1360, num timesteps 871040, FPS 46, mean/median reward 7.9/6.0, min/max reward 1.0/35.0, entropy 2.09435, value loss 0.06288, policy loss -0.06399, distill_loss -0.99822, time 313.81962 min
Updates 1370, num timesteps 877440, FPS 46, mean/median reward 7.4/6.0, min/max reward 0.0/23.0, entropy 2.10962, value loss 0.07597, policy loss -0.04405, distill_loss -0.91467, time 315.59387 min
