command line args: main.py --environment-model CopyModel --env-name HuntMiniPacmanNoFrameskip-v0 --algo i2a --log-interval 10 --num-processes 128 --num-stack 1 --distill-coef 10 --entropy-coef 0.02 --port 5027
Updates 0, num timesteps 640, FPS 695, mean/median reward -2.3/0.0, min/max reward -20.0/0.0, entropy 1.60919, value loss 21.55485, policy loss -1.34010, distill_loss 0.19072, time 0.01534 min
Updates 190, num timesteps 122240, FPS 1985, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 0.12188, value loss 2.23526, policy loss -0.06407, distill_loss -21.21797, time 1.02617 min
Updates 200, num timesteps 128640, FPS 1981, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.05329, value loss 2.60431, policy loss 0.02691, distill_loss -20.91517, time 1.08176 min
Updates 210, num timesteps 135040, FPS 1977, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.07246, value loss 0.67885, policy loss 0.03932, distill_loss -24.53703, time 1.13805 min
Updates 220, num timesteps 141440, FPS 1974, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 0.41282, value loss 2.20379, policy loss 0.08494, distill_loss -22.09800, time 1.19385 min
Updates 230, num timesteps 147840, FPS 1977, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 0.51874, value loss 1.53279, policy loss 0.15033, distill_loss -21.33187, time 1.24580 min
Updates 240, num timesteps 154240, FPS 1968, mean/median reward -20.0/-20.0, min/max reward -40.0/-7.0, entropy 0.71878, value loss 1.10488, policy loss 0.10028, distill_loss -25.01811, time 1.30578 min
Updates 250, num timesteps 160640, FPS 1971, mean/median reward -19.8/-20.0, min/max reward -20.0/-19.0, entropy 0.59853, value loss 2.40721, policy loss -0.01357, distill_loss -21.64100, time 1.35800 min
Updates 260, num timesteps 167040, FPS 1973, mean/median reward -20.1/-20.0, min/max reward -40.0/-19.0, entropy 0.72537, value loss 2.49756, policy loss 0.02975, distill_loss -19.75288, time 1.41081 min
Updates 270, num timesteps 173440, FPS 1973, mean/median reward -19.8/-20.0, min/max reward -20.0/-17.0, entropy 0.35619, value loss 4.41922, policy loss -0.07993, distill_loss -17.33932, time 1.46484 min
Updates 280, num timesteps 179840, FPS 1974, mean/median reward -19.9/-20.0, min/max reward -20.0/-17.0, entropy 0.47919, value loss 4.16230, policy loss 0.00915, distill_loss -17.11536, time 1.51817 min
Updates 290, num timesteps 186240, FPS 1977, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 0.32062, value loss 1.23829, policy loss -0.02003, distill_loss -16.89088, time 1.56927 min
Updates 300, num timesteps 192640, FPS 1958, mean/median reward -19.7/-20.0, min/max reward -20.0/-8.0, entropy 0.04474, value loss 6.22396, policy loss 0.00259, distill_loss -16.47027, time 1.63894 min
Updates 310, num timesteps 199040, FPS 1958, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 0.03099, value loss 1.74687, policy loss 0.00192, distill_loss -19.53464, time 1.69377 min
Updates 320, num timesteps 205440, FPS 1960, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 0.03647, value loss 4.12368, policy loss -0.00445, distill_loss -16.77925, time 1.74687 min
Updates 330, num timesteps 211840, FPS 1964, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 0.02974, value loss 2.39525, policy loss -0.04152, distill_loss -19.26396, time 1.79759 min
Updates 340, num timesteps 218240, FPS 1960, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 0.04222, value loss 5.82875, policy loss -0.06281, distill_loss -15.96512, time 1.85546 min
Updates 350, num timesteps 224640, FPS 1960, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 0.03359, value loss 1.09114, policy loss 0.01227, distill_loss -18.84460, time 1.90984 min
Updates 360, num timesteps 231040, FPS 1962, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 0.05358, value loss 2.67019, policy loss -0.06117, distill_loss -18.18823, time 1.96225 min
Updates 370, num timesteps 237440, FPS 1961, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 0.05185, value loss 2.93882, policy loss 0.04926, distill_loss -16.15299, time 2.01799 min
Updates 380, num timesteps 243840, FPS 1963, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 0.01798, value loss 0.94713, policy loss 0.01195, distill_loss -21.75135, time 2.06995 min
Updates 390, num timesteps 250240, FPS 1956, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 0.04149, value loss 3.74356, policy loss 0.02524, distill_loss -17.49349, time 2.13169 min
Updates 400, num timesteps 256640, FPS 1955, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 0.02575, value loss 1.03410, policy loss 0.00461, distill_loss -21.46344, time 2.18708 min
Updates 410, num timesteps 263040, FPS 1953, mean/median reward -20.3/-20.0, min/max reward -40.0/-18.0, entropy 0.03709, value loss 1.35902, policy loss 0.00038, distill_loss -20.39346, time 2.24370 min
Updates 420, num timesteps 269440, FPS 1954, mean/median reward -19.8/-20.0, min/max reward -20.0/-18.0, entropy 0.03392, value loss 4.25396, policy loss 0.01047, distill_loss -15.36878, time 2.29813 min
Updates 430, num timesteps 275840, FPS 1955, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 0.03246, value loss 3.66412, policy loss 0.00438, distill_loss -15.83952, time 2.35042 min
Updates 440, num timesteps 282240, FPS 1954, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 0.01114, value loss 1.70166, policy loss 0.00066, distill_loss -19.35127, time 2.40668 min
Updates 450, num timesteps 288640, FPS 1954, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01331, value loss 1.59834, policy loss 0.00571, distill_loss -18.82735, time 2.46088 min
Updates 460, num timesteps 295040, FPS 1954, mean/median reward -20.1/-20.0, min/max reward -40.0/-19.0, entropy 0.02841, value loss 3.97206, policy loss -0.07112, distill_loss -15.56745, time 2.51540 min
Updates 470, num timesteps 301440, FPS 1956, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.02416, value loss 2.61141, policy loss -0.01122, distill_loss -16.30997, time 2.56749 min
Updates 480, num timesteps 307840, FPS 1958, mean/median reward -20.1/-20.0, min/max reward -40.0/-19.0, entropy 0.01019, value loss 1.54648, policy loss 0.00233, distill_loss -20.71551, time 2.61903 min
Updates 490, num timesteps 314240, FPS 1959, mean/median reward -20.0/-20.0, min/max reward -40.0/-9.0, entropy 0.02224, value loss 1.48491, policy loss 0.00513, distill_loss -19.76626, time 2.67259 min
Updates 500, num timesteps 320640, FPS 1922, mean/median reward -19.9/-20.0, min/max reward -40.0/-9.0, entropy 0.03122, value loss 2.15585, policy loss -0.01343, distill_loss -16.90248, time 2.77994 min
Updates 510, num timesteps 327040, FPS 1920, mean/median reward -19.9/-20.0, min/max reward -20.0/-9.0, entropy 0.04891, value loss 4.56499, policy loss -0.00706, distill_loss -15.00935, time 2.83776 min
Updates 520, num timesteps 333440, FPS 1918, mean/median reward -19.9/-20.0, min/max reward -20.0/-9.0, entropy 0.02416, value loss 1.74549, policy loss 0.01387, distill_loss -17.96820, time 2.89623 min
Updates 530, num timesteps 339840, FPS 1918, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.02370, value loss 3.41174, policy loss -0.00034, distill_loss -16.23384, time 2.95159 min
Updates 540, num timesteps 346240, FPS 1917, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 0.01176, value loss 1.59340, policy loss 0.00016, distill_loss -19.57488, time 3.00986 min
Updates 550, num timesteps 352640, FPS 1915, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 0.02876, value loss 5.34378, policy loss -0.00087, distill_loss -15.09214, time 3.06769 min
Updates 560, num timesteps 359040, FPS 1915, mean/median reward -20.1/-20.0, min/max reward -40.0/-19.0, entropy 0.01776, value loss 2.95009, policy loss 0.00464, distill_loss -18.23368, time 3.12433 min
Updates 570, num timesteps 365440, FPS 1915, mean/median reward -20.1/-20.0, min/max reward -40.0/-19.0, entropy 0.02159, value loss 3.07201, policy loss -0.00130, distill_loss -17.82911, time 3.18035 min
Updates 580, num timesteps 371840, FPS 1916, mean/median reward -20.1/-20.0, min/max reward -40.0/-19.0, entropy 0.01796, value loss 1.99482, policy loss 0.00886, distill_loss -17.49374, time 3.23416 min
Updates 590, num timesteps 378240, FPS 1916, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 0.01227, value loss 1.34309, policy loss 0.00481, distill_loss -19.87890, time 3.28975 min
Updates 600, num timesteps 384640, FPS 1888, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 0.01942, value loss 1.29815, policy loss 0.00728, distill_loss -19.45336, time 3.39408 min
Updates 610, num timesteps 391040, FPS 1889, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 0.02282, value loss 0.73052, policy loss 0.00222, distill_loss -21.57736, time 3.44962 min
Updates 620, num timesteps 397440, FPS 1890, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.09135, value loss 2.42324, policy loss -0.00078, distill_loss -20.68736, time 3.50313 min
Updates 630, num timesteps 403840, FPS 1894, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.24117, value loss 2.31281, policy loss -0.01105, distill_loss -18.00938, time 3.55358 min
Updates 640, num timesteps 410240, FPS 1894, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 0.43765, value loss 1.19572, policy loss 0.17681, distill_loss -20.67547, time 3.60867 min
Updates 650, num timesteps 416640, FPS 1896, mean/median reward -19.8/-20.0, min/max reward -29.0/-9.0, entropy 0.61236, value loss 2.97973, policy loss 0.04261, distill_loss -23.77386, time 3.66075 min
Updates 660, num timesteps 423040, FPS 1899, mean/median reward -19.8/-20.0, min/max reward -40.0/-8.0, entropy 0.43801, value loss 5.56363, policy loss -0.09281, distill_loss -18.95699, time 3.71190 min
Updates 670, num timesteps 429440, FPS 1900, mean/median reward -19.8/-20.0, min/max reward -20.0/-18.0, entropy 0.69666, value loss 2.34933, policy loss 0.04850, distill_loss -20.48335, time 3.76607 min
Updates 680, num timesteps 435840, FPS 1903, mean/median reward -19.7/-20.0, min/max reward -20.0/-9.0, entropy 0.70615, value loss 1.43538, policy loss 0.10320, distill_loss -26.71702, time 3.81588 min
Updates 690, num timesteps 442240, FPS 1893, mean/median reward -20.0/-20.0, min/max reward -40.0/-8.0, entropy 0.66611, value loss 1.77245, policy loss 0.03582, distill_loss -25.35025, time 3.89189 min
Updates 700, num timesteps 448640, FPS 1885, mean/median reward -19.7/-20.0, min/max reward -20.0/-9.0, entropy 0.46551, value loss 2.51643, policy loss -0.16661, distill_loss -25.45467, time 3.96580 min
Updates 710, num timesteps 455040, FPS 1885, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 0.69998, value loss 1.49364, policy loss -0.02612, distill_loss -21.34598, time 4.02298 min
Updates 720, num timesteps 461440, FPS 1886, mean/median reward -20.0/-20.0, min/max reward -40.0/-9.0, entropy 0.47766, value loss 2.03712, policy loss -0.11127, distill_loss -21.12912, time 4.07597 min
Updates 730, num timesteps 467840, FPS 1888, mean/median reward -20.2/-20.0, min/max reward -40.0/-18.0, entropy 0.15931, value loss 2.54287, policy loss -0.07269, distill_loss -19.01550, time 4.12847 min
Updates 740, num timesteps 474240, FPS 1891, mean/median reward -20.0/-20.0, min/max reward -38.0/-19.0, entropy 0.16632, value loss 1.86179, policy loss -0.04443, distill_loss -19.63990, time 4.17960 min
Updates 750, num timesteps 480640, FPS 1892, mean/median reward -20.0/-20.0, min/max reward -38.0/-19.0, entropy 0.06391, value loss 1.48712, policy loss -0.05860, distill_loss -23.69972, time 4.23380 min
Updates 760, num timesteps 487040, FPS 1893, mean/median reward -20.1/-20.0, min/max reward -40.0/-19.0, entropy 0.03693, value loss 3.05200, policy loss 0.09425, distill_loss -21.33319, time 4.28699 min
Updates 770, num timesteps 493440, FPS 1894, mean/median reward -20.0/-20.0, min/max reward -40.0/-9.0, entropy 0.04233, value loss 1.38966, policy loss -0.04345, distill_loss -25.58810, time 4.34102 min
Updates 780, num timesteps 499840, FPS 1895, mean/median reward -20.1/-20.0, min/max reward -40.0/-19.0, entropy 0.04368, value loss 1.17939, policy loss -0.02217, distill_loss -22.81369, time 4.39429 min
Updates 790, num timesteps 506240, FPS 1897, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 0.04369, value loss 3.81436, policy loss -0.00765, distill_loss -22.41619, time 4.44706 min
Updates 800, num timesteps 512640, FPS 1891, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 0.05831, value loss 1.17870, policy loss 0.01552, distill_loss -26.89966, time 4.51609 min
Updates 810, num timesteps 519040, FPS 1891, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 0.33754, value loss 1.05440, policy loss -0.01150, distill_loss -25.52726, time 4.57465 min
Updates 820, num timesteps 525440, FPS 1892, mean/median reward -20.1/-20.0, min/max reward -40.0/-18.0, entropy 0.28506, value loss 1.82474, policy loss 0.05039, distill_loss -23.45160, time 4.62852 min
Updates 830, num timesteps 531840, FPS 1893, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 0.31204, value loss 1.27645, policy loss 0.00559, distill_loss -25.90017, time 4.68207 min
Updates 840, num timesteps 538240, FPS 1895, mean/median reward -20.0/-20.0, min/max reward -40.0/-9.0, entropy 0.17902, value loss 1.77252, policy loss -0.04525, distill_loss -23.15675, time 4.73323 min
Updates 850, num timesteps 544640, FPS 1896, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 0.17009, value loss 3.51933, policy loss -0.02693, distill_loss -23.50630, time 4.78596 min
Updates 860, num timesteps 551040, FPS 1889, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 0.17299, value loss 2.51144, policy loss -0.03674, distill_loss -22.91833, time 4.85968 min
Updates 870, num timesteps 557440, FPS 1891, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 0.16601, value loss 3.69625, policy loss -0.12008, distill_loss -22.67681, time 4.91059 min
Updates 880, num timesteps 563840, FPS 1892, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.07472, value loss 1.10983, policy loss -0.01112, distill_loss -29.60485, time 4.96653 min
Updates 890, num timesteps 570240, FPS 1894, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.05449, value loss 1.06048, policy loss -0.00823, distill_loss -30.87307, time 5.01720 min
Updates 900, num timesteps 576640, FPS 1876, mean/median reward -19.9/-20.0, min/max reward -20.0/-9.0, entropy 0.05388, value loss 0.97872, policy loss 0.01091, distill_loss -29.60326, time 5.12275 min
Updates 910, num timesteps 583040, FPS 1876, mean/median reward -20.3/-20.0, min/max reward -40.0/-19.0, entropy 0.05434, value loss 1.37040, policy loss -0.00157, distill_loss -26.27126, time 5.17778 min
Updates 920, num timesteps 589440, FPS 1878, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 0.07951, value loss 2.10846, policy loss -0.00741, distill_loss -24.91554, time 5.23086 min
Updates 930, num timesteps 595840, FPS 1878, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 0.05364, value loss 2.06755, policy loss 0.04989, distill_loss -27.91006, time 5.28552 min
Updates 940, num timesteps 602240, FPS 1878, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.11456, value loss 1.36659, policy loss -0.03125, distill_loss -27.87272, time 5.34287 min
Updates 950, num timesteps 608640, FPS 1880, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 0.04404, value loss 1.18641, policy loss 0.00123, distill_loss -28.63407, time 5.39562 min
Updates 960, num timesteps 615040, FPS 1878, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 0.03288, value loss 1.41976, policy loss 0.03584, distill_loss -26.10683, time 5.45727 min
Updates 970, num timesteps 621440, FPS 1879, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 0.04830, value loss 2.11747, policy loss 0.01079, distill_loss -24.62617, time 5.51155 min
Updates 980, num timesteps 627840, FPS 1880, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 0.03610, value loss 1.00571, policy loss -0.00166, distill_loss -25.67216, time 5.56553 min
Updates 990, num timesteps 634240, FPS 1880, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 0.04166, value loss 1.64399, policy loss -0.03885, distill_loss -25.23642, time 5.61982 min
Updates 1000, num timesteps 640640, FPS 1880, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 0.02754, value loss 1.11427, policy loss -0.01606, distill_loss -26.72058, time 5.67670 min
Updates 1010, num timesteps 647040, FPS 1879, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 0.01445, value loss 0.84182, policy loss 0.00128, distill_loss -30.57702, time 5.73655 min
Updates 1020, num timesteps 653440, FPS 1879, mean/median reward -19.9/-20.0, min/max reward -20.0/-9.0, entropy 0.01193, value loss 0.83619, policy loss 0.00026, distill_loss -28.68566, time 5.79440 min
Updates 1030, num timesteps 659840, FPS 1880, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.00791, value loss 1.13690, policy loss -0.02746, distill_loss -27.80847, time 5.84690 min
Updates 1040, num timesteps 666240, FPS 1881, mean/median reward -19.9/-20.0, min/max reward -20.0/-9.0, entropy 0.00454, value loss 1.06497, policy loss 0.00012, distill_loss -30.64539, time 5.90137 min
Updates 1050, num timesteps 672640, FPS 1882, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.00492, value loss 1.50294, policy loss 0.00007, distill_loss -29.11811, time 5.95624 min
Updates 1060, num timesteps 679040, FPS 1882, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00398, value loss 1.14182, policy loss -0.00007, distill_loss -30.28036, time 6.01253 min
Updates 1070, num timesteps 685440, FPS 1883, mean/median reward -19.9/-20.0, min/max reward -20.0/-9.0, entropy 0.00595, value loss 1.55105, policy loss -0.00004, distill_loss -27.68421, time 6.06670 min
Updates 1080, num timesteps 691840, FPS 1879, mean/median reward -19.7/-20.0, min/max reward -20.0/-9.0, entropy 0.00579, value loss 2.20852, policy loss -0.00004, distill_loss -28.37472, time 6.13610 min
Updates 1090, num timesteps 698240, FPS 1879, mean/median reward -19.9/-20.0, min/max reward -20.0/-9.0, entropy 0.00350, value loss 1.49092, policy loss 0.00001, distill_loss -29.42017, time 6.19155 min
Updates 1100, num timesteps 704640, FPS 1877, mean/median reward -19.9/-20.0, min/max reward -20.0/-9.0, entropy 0.01189, value loss 3.98156, policy loss -0.00037, distill_loss -23.35469, time 6.25649 min
Updates 1110, num timesteps 711040, FPS 1876, mean/median reward -19.9/-20.0, min/max reward -20.0/-9.0, entropy 0.01004, value loss 1.81773, policy loss 0.00021, distill_loss -24.63618, time 6.31497 min
Updates 1120, num timesteps 717440, FPS 1876, mean/median reward -19.9/-20.0, min/max reward -20.0/-9.0, entropy 0.00551, value loss 1.29694, policy loss 0.00009, distill_loss -30.31870, time 6.37276 min
Updates 1130, num timesteps 723840, FPS 1877, mean/median reward -20.1/-20.0, min/max reward -40.0/-19.0, entropy 0.01583, value loss 3.04770, policy loss -0.00041, distill_loss -23.28688, time 6.42704 min
Updates 1140, num timesteps 730240, FPS 1877, mean/median reward -20.1/-20.0, min/max reward -40.0/-19.0, entropy 0.00688, value loss 1.18914, policy loss 0.00012, distill_loss -27.63799, time 6.48320 min
Updates 1150, num timesteps 736640, FPS 1877, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01847, value loss 3.90603, policy loss -0.00052, distill_loss -24.80281, time 6.53817 min
Updates 1160, num timesteps 743040, FPS 1878, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 0.01133, value loss 1.53407, policy loss -0.00010, distill_loss -29.81585, time 6.59198 min
Updates 1170, num timesteps 749440, FPS 1879, mean/median reward -20.0/-20.0, min/max reward -40.0/-9.0, entropy 0.01126, value loss 1.58740, policy loss -0.00016, distill_loss -29.72047, time 6.64544 min
Updates 1180, num timesteps 755840, FPS 1879, mean/median reward -20.0/-20.0, min/max reward -40.0/-9.0, entropy 0.02243, value loss 2.87099, policy loss -0.00069, distill_loss -27.12869, time 6.70362 min
Updates 1190, num timesteps 762240, FPS 1879, mean/median reward -20.3/-20.0, min/max reward -40.0/-19.0, entropy 0.01178, value loss 1.03228, policy loss 0.00026, distill_loss -32.18716, time 6.75818 min
Updates 1200, num timesteps 768640, FPS 1879, mean/median reward -19.9/-20.0, min/max reward -20.0/-9.0, entropy 0.01731, value loss 1.00713, policy loss 0.00689, distill_loss -32.32861, time 6.81569 min
Updates 1210, num timesteps 775040, FPS 1877, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.07244, value loss 1.43089, policy loss -0.00630, distill_loss -35.17002, time 6.87830 min
Updates 1220, num timesteps 781440, FPS 1876, mean/median reward -20.1/-20.0, min/max reward -40.0/-19.0, entropy 0.61516, value loss 2.82311, policy loss 0.08121, distill_loss -37.38014, time 6.93928 min
Updates 1230, num timesteps 787840, FPS 1877, mean/median reward -20.2/-20.0, min/max reward -40.0/-9.0, entropy 0.27317, value loss 2.06200, policy loss -0.00136, distill_loss -35.37763, time 6.99309 min
Updates 1240, num timesteps 794240, FPS 1878, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 0.21384, value loss 2.13403, policy loss 0.06351, distill_loss -34.60444, time 7.04702 min
Updates 1250, num timesteps 800640, FPS 1876, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 0.34297, value loss 1.56471, policy loss 0.07655, distill_loss -36.15478, time 7.11280 min
Updates 1260, num timesteps 807040, FPS 1877, mean/median reward -20.2/-20.0, min/max reward -40.0/-19.0, entropy 0.36035, value loss 2.63645, policy loss 0.00434, distill_loss -39.90719, time 7.16334 min
Updates 1270, num timesteps 813440, FPS 1877, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 0.55874, value loss 5.10760, policy loss -0.24881, distill_loss -35.19239, time 7.22085 min
Updates 1280, num timesteps 819840, FPS 1877, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 0.26980, value loss 1.38408, policy loss 0.07306, distill_loss -47.49887, time 7.27691 min
Updates 1290, num timesteps 826240, FPS 1878, mean/median reward -20.1/-20.0, min/max reward -40.0/-19.0, entropy 0.40914, value loss 1.23325, policy loss 0.11758, distill_loss -50.81707, time 7.33046 min
Updates 1300, num timesteps 832640, FPS 1867, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 0.62251, value loss 1.91295, policy loss 0.00364, distill_loss -48.11323, time 7.43151 min
Updates 1310, num timesteps 839040, FPS 1867, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 0.43362, value loss 2.14861, policy loss -0.01582, distill_loss -49.35640, time 7.48946 min
Updates 1320, num timesteps 845440, FPS 1868, mean/median reward -20.0/-20.0, min/max reward -40.0/-18.0, entropy 0.79345, value loss 4.02966, policy loss -0.15111, distill_loss -45.03689, time 7.54037 min
Updates 1330, num timesteps 851840, FPS 1869, mean/median reward -20.0/-20.0, min/max reward -40.0/-9.0, entropy 0.73554, value loss 1.46713, policy loss 0.07710, distill_loss -49.90180, time 7.59587 min
Updates 1340, num timesteps 858240, FPS 1869, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 1.11932, value loss 2.01751, policy loss 0.04307, distill_loss -43.69637, time 7.64926 min
