command line args: main.py --env-name MsPacmanNoFrameskip-v0 --algo a2c --num-stack 4 --train-on-200x160-pixel --port 5026 --log-dir /tmp/a2c_mspacman --num-processes 128
Updates 0, num timesteps 640, FPS 398, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 2.18486, value loss 0.01736, policy loss 0.21304, time 0.02680 min
Updates 250, num timesteps 160640, FPS 488, mean/median reward 12.8/17.0, min/max reward 0.0/34.0, entropy 2.18165, value loss 0.01677, policy loss -0.00376, time 5.48012 min
Updates 260, num timesteps 167040, FPS 488, mean/median reward 13.5/17.0, min/max reward 0.0/34.0, entropy 2.13957, value loss 0.02216, policy loss -0.01970, time 5.69869 min
Updates 270, num timesteps 173440, FPS 488, mean/median reward 14.6/18.0, min/max reward 0.0/34.0, entropy 2.14837, value loss 0.04413, policy loss 0.03574, time 5.91302 min
Updates 280, num timesteps 179840, FPS 488, mean/median reward 15.2/19.0, min/max reward 0.0/34.0, entropy 2.11859, value loss 0.05528, policy loss 0.05017, time 6.13165 min
Updates 290, num timesteps 186240, FPS 488, mean/median reward 15.2/19.0, min/max reward 0.0/34.0, entropy 2.07992, value loss 0.04180, policy loss 0.01589, time 6.34987 min
Updates 300, num timesteps 192640, FPS 488, mean/median reward 15.0/18.0, min/max reward 0.0/34.0, entropy 2.07010, value loss 0.10395, policy loss 0.12876, time 6.57643 min
Updates 310, num timesteps 199040, FPS 488, mean/median reward 15.0/18.0, min/max reward 0.0/34.0, entropy 1.87639, value loss 0.10133, policy loss -0.01886, time 6.78943 min
Updates 320, num timesteps 205440, FPS 488, mean/median reward 15.0/18.0, min/max reward 0.0/34.0, entropy 2.00346, value loss 0.05164, policy loss -0.02284, time 7.00647 min
Updates 330, num timesteps 211840, FPS 487, mean/median reward 14.7/18.0, min/max reward 0.0/34.0, entropy 1.97863, value loss 0.13790, policy loss -0.03245, time 7.23949 min
Updates 340, num timesteps 218240, FPS 487, mean/median reward 14.5/16.0, min/max reward 0.0/39.0, entropy 2.06100, value loss 0.04536, policy loss 0.00745, time 7.46510 min
Updates 350, num timesteps 224640, FPS 487, mean/median reward 13.9/11.0, min/max reward 0.0/39.0, entropy 2.04170, value loss 0.09087, policy loss 0.01419, time 7.68364 min
Updates 360, num timesteps 231040, FPS 487, mean/median reward 13.7/11.0, min/max reward 0.0/39.0, entropy 2.03116, value loss 0.08892, policy loss -0.03042, time 7.90014 min
Updates 370, num timesteps 237440, FPS 486, mean/median reward 12.9/10.0, min/max reward 0.0/39.0, entropy 2.09824, value loss 0.01766, policy loss -0.03871, time 8.13313 min
Updates 380, num timesteps 243840, FPS 486, mean/median reward 12.8/10.0, min/max reward 0.0/39.0, entropy 2.13311, value loss 0.04276, policy loss -0.00623, time 8.35305 min
Updates 390, num timesteps 250240, FPS 486, mean/median reward 12.4/10.0, min/max reward 0.0/39.0, entropy 2.14162, value loss 0.04385, policy loss 0.03915, time 8.56856 min
Updates 400, num timesteps 256640, FPS 486, mean/median reward 12.2/10.0, min/max reward 0.0/39.0, entropy 2.06217, value loss 0.06301, policy loss -0.02888, time 8.78447 min
Updates 410, num timesteps 263040, FPS 486, mean/median reward 12.2/10.0, min/max reward 0.0/39.0, entropy 2.11211, value loss 0.06882, policy loss 0.03221, time 9.00210 min
Updates 420, num timesteps 269440, FPS 486, mean/median reward 12.0/10.0, min/max reward 0.0/39.0, entropy 2.12511, value loss 0.03844, policy loss -0.06359, time 9.22193 min
Updates 430, num timesteps 275840, FPS 486, mean/median reward 11.7/10.0, min/max reward 0.0/39.0, entropy 2.14733, value loss 0.04928, policy loss 0.05361, time 9.44184 min
Updates 440, num timesteps 282240, FPS 486, mean/median reward 11.6/10.0, min/max reward 0.0/39.0, entropy 2.14927, value loss 0.02555, policy loss -0.02100, time 9.66013 min
Updates 450, num timesteps 288640, FPS 486, mean/median reward 11.5/10.0, min/max reward 0.0/39.0, entropy 2.15960, value loss 0.05344, policy loss 0.04434, time 9.88332 min
Updates 460, num timesteps 295040, FPS 486, mean/median reward 11.4/10.0, min/max reward 0.0/39.0, entropy 2.14671, value loss 0.04839, policy loss 0.02757, time 10.10244 min
Updates 470, num timesteps 301440, FPS 486, mean/median reward 10.9/9.0, min/max reward 0.0/28.0, entropy 2.17533, value loss 0.04931, policy loss 0.09062, time 10.31912 min
Updates 480, num timesteps 307840, FPS 487, mean/median reward 11.1/9.0, min/max reward 0.0/42.0, entropy 2.16724, value loss 0.01728, policy loss -0.00263, time 10.53451 min
Updates 490, num timesteps 314240, FPS 486, mean/median reward 11.1/10.0, min/max reward 0.0/42.0, entropy 2.17414, value loss 0.04653, policy loss 0.04434, time 10.75599 min
Updates 500, num timesteps 320640, FPS 486, mean/median reward 11.2/10.0, min/max reward 0.0/42.0, entropy 2.17335, value loss 0.01691, policy loss -0.00392, time 10.98187 min
Updates 510, num timesteps 327040, FPS 486, mean/median reward 11.0/10.0, min/max reward 0.0/42.0, entropy 2.17726, value loss 0.01505, policy loss -0.00499, time 11.20050 min
Updates 520, num timesteps 333440, FPS 482, mean/median reward 10.9/9.0, min/max reward 0.0/42.0, entropy 2.16591, value loss 0.05698, policy loss 0.05083, time 11.52217 min
Updates 530, num timesteps 339840, FPS 482, mean/median reward 10.9/9.0, min/max reward 0.0/42.0, entropy 2.17780, value loss 0.03663, policy loss 0.04523, time 11.74364 min
Updates 540, num timesteps 346240, FPS 482, mean/median reward 11.0/9.0, min/max reward 0.0/42.0, entropy 2.10470, value loss 0.03673, policy loss -0.02014, time 11.96637 min
Updates 550, num timesteps 352640, FPS 481, mean/median reward 11.2/9.0, min/max reward 0.0/42.0, entropy 2.10842, value loss 0.02083, policy loss -0.05465, time 12.21144 min
Updates 560, num timesteps 359040, FPS 481, mean/median reward 11.4/10.0, min/max reward 0.0/42.0, entropy 2.14997, value loss 0.07095, policy loss 0.10209, time 12.43401 min
Updates 570, num timesteps 365440, FPS 481, mean/median reward 11.5/10.0, min/max reward 0.0/42.0, entropy 1.77941, value loss 0.07938, policy loss 0.00264, time 12.64943 min
Updates 580, num timesteps 371840, FPS 481, mean/median reward 11.3/10.0, min/max reward 0.0/42.0, entropy 2.08575, value loss 0.05723, policy loss -0.02075, time 12.86570 min
Updates 590, num timesteps 378240, FPS 481, mean/median reward 11.2/10.0, min/max reward 0.0/42.0, entropy 2.08734, value loss 0.04284, policy loss 0.00379, time 13.08217 min
Updates 600, num timesteps 384640, FPS 481, mean/median reward 11.1/10.0, min/max reward 0.0/42.0, entropy 2.16069, value loss 0.02836, policy loss 0.02540, time 13.30576 min
Updates 610, num timesteps 391040, FPS 481, mean/median reward 10.9/9.0, min/max reward 0.0/42.0, entropy 2.13452, value loss 0.03348, policy loss -0.00038, time 13.52757 min
Updates 620, num timesteps 397440, FPS 481, mean/median reward 10.4/9.0, min/max reward 0.0/35.0, entropy 2.10560, value loss 0.03649, policy loss 0.00757, time 13.74506 min
Updates 630, num timesteps 403840, FPS 481, mean/median reward 10.1/9.0, min/max reward 0.0/35.0, entropy 2.12292, value loss 0.02921, policy loss 0.01558, time 13.98243 min
Updates 640, num timesteps 410240, FPS 481, mean/median reward 9.6/9.0, min/max reward 0.0/35.0, entropy 2.08636, value loss 0.04503, policy loss 0.03110, time 14.20241 min
Updates 650, num timesteps 416640, FPS 481, mean/median reward 9.5/8.0, min/max reward 0.0/35.0, entropy 2.08110, value loss 0.05677, policy loss -0.02199, time 14.41742 min
Updates 660, num timesteps 423040, FPS 481, mean/median reward 9.9/9.0, min/max reward 0.0/35.0, entropy 2.11339, value loss 0.06079, policy loss 0.00819, time 14.63304 min
Updates 670, num timesteps 429440, FPS 481, mean/median reward 9.6/9.0, min/max reward 0.0/35.0, entropy 2.08883, value loss 0.04582, policy loss -0.00088, time 14.84977 min
Updates 680, num timesteps 435840, FPS 482, mean/median reward 9.2/8.0, min/max reward 0.0/35.0, entropy 2.00923, value loss 0.04806, policy loss -0.09996, time 15.06499 min
Updates 690, num timesteps 442240, FPS 482, mean/median reward 9.1/8.0, min/max reward 0.0/32.0, entropy 2.02445, value loss 0.07115, policy loss -0.05848, time 15.28701 min
Updates 700, num timesteps 448640, FPS 481, mean/median reward 9.1/8.0, min/max reward 0.0/32.0, entropy 2.13265, value loss 0.02039, policy loss -0.01751, time 15.54294 min
Updates 710, num timesteps 455040, FPS 481, mean/median reward 8.8/7.0, min/max reward 0.0/32.0, entropy 2.13488, value loss 0.04574, policy loss 0.03177, time 15.76296 min
Updates 720, num timesteps 461440, FPS 481, mean/median reward 8.9/7.0, min/max reward 0.0/32.0, entropy 2.13853, value loss 0.02707, policy loss 0.00458, time 15.97444 min
Updates 730, num timesteps 467840, FPS 481, mean/median reward 8.7/7.0, min/max reward 0.0/32.0, entropy 2.14357, value loss 0.02855, policy loss 0.00646, time 16.18799 min
Updates 740, num timesteps 474240, FPS 481, mean/median reward 9.0/7.0, min/max reward 0.0/32.0, entropy 2.13235, value loss 0.02743, policy loss 0.02779, time 16.39914 min
Updates 750, num timesteps 480640, FPS 482, mean/median reward 8.5/7.0, min/max reward 0.0/32.0, entropy 2.13169, value loss 0.03922, policy loss 0.04419, time 16.61804 min
Updates 760, num timesteps 487040, FPS 482, mean/median reward 8.4/7.0, min/max reward 0.0/32.0, entropy 2.09117, value loss 0.06344, policy loss 0.00819, time 16.83919 min
Updates 770, num timesteps 493440, FPS 482, mean/median reward 8.3/7.0, min/max reward 0.0/32.0, entropy 2.08700, value loss 0.03738, policy loss -0.04083, time 17.05282 min
Updates 780, num timesteps 499840, FPS 482, mean/median reward 8.1/7.0, min/max reward 0.0/29.0, entropy 2.11636, value loss 0.04997, policy loss 0.03979, time 17.26211 min
Updates 790, num timesteps 506240, FPS 482, mean/median reward 8.1/7.0, min/max reward 0.0/29.0, entropy 2.11566, value loss 0.03165, policy loss -0.02862, time 17.47617 min
Updates 800, num timesteps 512640, FPS 482, mean/median reward 8.2/7.0, min/max reward 0.0/26.0, entropy 2.15945, value loss 0.07836, policy loss 0.09522, time 17.71899 min
Updates 810, num timesteps 519040, FPS 482, mean/median reward 8.4/8.0, min/max reward 0.0/26.0, entropy 2.16115, value loss 0.04318, policy loss 0.04966, time 17.93748 min
Updates 820, num timesteps 525440, FPS 482, mean/median reward 8.6/8.0, min/max reward 0.0/30.0, entropy 2.14961, value loss 0.07453, policy loss 0.09365, time 18.15552 min
Updates 830, num timesteps 531840, FPS 482, mean/median reward 8.7/8.0, min/max reward 0.0/30.0, entropy 2.12119, value loss 0.02628, policy loss -0.04630, time 18.37404 min
Updates 840, num timesteps 538240, FPS 482, mean/median reward 8.6/8.0, min/max reward 0.0/30.0, entropy 2.15107, value loss 0.03166, policy loss -0.02924, time 18.58566 min
Updates 850, num timesteps 544640, FPS 482, mean/median reward 8.9/9.0, min/max reward 0.0/30.0, entropy 2.16697, value loss 0.03191, policy loss -0.00459, time 18.79755 min
Updates 860, num timesteps 551040, FPS 482, mean/median reward 9.1/9.0, min/max reward 0.0/30.0, entropy 2.14579, value loss 0.03934, policy loss 0.00663, time 19.01532 min
Updates 870, num timesteps 557440, FPS 483, mean/median reward 9.4/9.0, min/max reward 0.0/30.0, entropy 2.15588, value loss 0.04002, policy loss 0.03284, time 19.23469 min
Updates 880, num timesteps 563840, FPS 483, mean/median reward 9.4/9.0, min/max reward 0.0/30.0, entropy 2.17008, value loss 0.03195, policy loss 0.02533, time 19.45171 min
Updates 890, num timesteps 570240, FPS 483, mean/median reward 9.5/9.0, min/max reward 0.0/30.0, entropy 2.16283, value loss 0.01713, policy loss 0.00617, time 19.66649 min
Updates 900, num timesteps 576640, FPS 483, mean/median reward 9.7/9.0, min/max reward 0.0/38.0, entropy 2.17655, value loss 0.02762, policy loss -0.00111, time 19.88580 min
Updates 910, num timesteps 583040, FPS 483, mean/median reward 9.6/9.0, min/max reward 0.0/38.0, entropy 2.13188, value loss 0.03481, policy loss 0.01702, time 20.09980 min
Updates 920, num timesteps 589440, FPS 483, mean/median reward 9.5/9.0, min/max reward 0.0/38.0, entropy 2.12358, value loss 0.04241, policy loss 0.00121, time 20.31483 min
Updates 930, num timesteps 595840, FPS 483, mean/median reward 9.2/8.0, min/max reward 0.0/38.0, entropy 2.00836, value loss 0.09441, policy loss 0.00818, time 20.53125 min
Updates 940, num timesteps 602240, FPS 483, mean/median reward 9.5/8.0, min/max reward 0.0/38.0, entropy 2.10159, value loss 0.04879, policy loss 0.03713, time 20.74937 min
Updates 950, num timesteps 608640, FPS 483, mean/median reward 9.6/9.0, min/max reward 0.0/38.0, entropy 2.12218, value loss 0.03900, policy loss 0.01717, time 20.96673 min
Updates 960, num timesteps 615040, FPS 483, mean/median reward 9.3/9.0, min/max reward 0.0/38.0, entropy 2.13828, value loss 0.03025, policy loss 0.01585, time 21.19061 min
Updates 970, num timesteps 621440, FPS 483, mean/median reward 9.4/9.0, min/max reward 0.0/38.0, entropy 2.05720, value loss 0.06714, policy loss -0.04571, time 21.40488 min
Updates 980, num timesteps 627840, FPS 484, mean/median reward 9.3/9.0, min/max reward 0.0/38.0, entropy 2.13441, value loss 0.02296, policy loss -0.00666, time 21.61755 min
Updates 990, num timesteps 634240, FPS 484, mean/median reward 9.4/9.0, min/max reward 0.0/38.0, entropy 2.16633, value loss 0.03580, policy loss 0.02613, time 21.83883 min
Updates 1000, num timesteps 640640, FPS 484, mean/median reward 9.4/9.0, min/max reward 0.0/38.0, entropy 2.12900, value loss 0.03319, policy loss 0.03100, time 22.06008 min
Updates 1010, num timesteps 647040, FPS 484, mean/median reward 9.3/9.0, min/max reward 0.0/38.0, entropy 2.13023, value loss 0.06388, policy loss -0.01573, time 22.27716 min
Updates 1020, num timesteps 653440, FPS 484, mean/median reward 9.4/9.0, min/max reward 0.0/38.0, entropy 2.15928, value loss 0.02193, policy loss -0.05066, time 22.49088 min
Updates 1030, num timesteps 659840, FPS 484, mean/median reward 9.2/9.0, min/max reward 0.0/38.0, entropy 2.13134, value loss 0.02175, policy loss -0.01921, time 22.70964 min
Updates 1040, num timesteps 666240, FPS 484, mean/median reward 8.8/9.0, min/max reward 0.0/28.0, entropy 2.11873, value loss 0.04957, policy loss 0.03273, time 22.92933 min
Updates 1050, num timesteps 672640, FPS 484, mean/median reward 8.9/9.0, min/max reward 0.0/28.0, entropy 2.15467, value loss 0.04200, policy loss 0.07837, time 23.14927 min
Updates 1060, num timesteps 679040, FPS 484, mean/median reward 8.7/9.0, min/max reward 0.0/28.0, entropy 2.15378, value loss 0.04290, policy loss -0.00866, time 23.36454 min
Updates 1070, num timesteps 685440, FPS 484, mean/median reward 8.6/8.0, min/max reward 0.0/28.0, entropy 2.14188, value loss 0.03925, policy loss 0.02619, time 23.57989 min
Updates 1080, num timesteps 691840, FPS 484, mean/median reward 8.4/8.0, min/max reward 0.0/28.0, entropy 2.16610, value loss 0.09894, policy loss 0.04265, time 23.79718 min
Updates 1090, num timesteps 698240, FPS 484, mean/median reward 7.8/7.0, min/max reward 0.0/28.0, entropy 2.13893, value loss 0.03282, policy loss -0.05350, time 24.01705 min
Updates 1100, num timesteps 704640, FPS 484, mean/median reward 8.1/7.0, min/max reward 0.0/42.0, entropy 2.12474, value loss 0.03191, policy loss 0.02227, time 24.24302 min
Updates 1110, num timesteps 711040, FPS 484, mean/median reward 8.0/7.0, min/max reward 0.0/42.0, entropy 2.05876, value loss 0.06888, policy loss -0.00129, time 24.47162 min
Updates 1120, num timesteps 717440, FPS 484, mean/median reward 7.9/7.0, min/max reward 0.0/42.0, entropy 2.11507, value loss 0.05376, policy loss 0.01070, time 24.69765 min
Updates 1130, num timesteps 723840, FPS 484, mean/median reward 8.0/7.0, min/max reward 0.0/42.0, entropy 2.13820, value loss 0.01892, policy loss 0.02598, time 24.92147 min
Updates 1140, num timesteps 730240, FPS 483, mean/median reward 8.1/7.0, min/max reward 0.0/42.0, entropy 2.01514, value loss 0.05929, policy loss -0.04551, time 25.14888 min
Updates 1150, num timesteps 736640, FPS 483, mean/median reward 8.5/8.0, min/max reward 0.0/42.0, entropy 2.11273, value loss 0.09481, policy loss 0.06736, time 25.37423 min
Updates 1160, num timesteps 743040, FPS 483, mean/median reward 8.3/8.0, min/max reward 0.0/42.0, entropy 2.13295, value loss 0.04749, policy loss 0.06105, time 25.60072 min
Updates 1170, num timesteps 749440, FPS 483, mean/median reward 8.4/8.0, min/max reward 0.0/42.0, entropy 1.99940, value loss 0.04744, policy loss -0.05848, time 25.82796 min
Updates 1180, num timesteps 755840, FPS 483, mean/median reward 8.5/8.0, min/max reward 0.0/42.0, entropy 2.12842, value loss 0.04564, policy loss 0.00696, time 26.04946 min
Updates 1190, num timesteps 762240, FPS 483, mean/median reward 9.3/9.0, min/max reward 0.0/42.0, entropy 2.14348, value loss 0.03029, policy loss -0.01607, time 26.27279 min
Updates 1200, num timesteps 768640, FPS 482, mean/median reward 9.3/10.0, min/max reward 0.0/34.0, entropy 2.12669, value loss 0.05299, policy loss -0.01108, time 26.54485 min
Updates 1210, num timesteps 775040, FPS 482, mean/median reward 9.3/9.0, min/max reward 0.0/34.0, entropy 1.98429, value loss 0.04210, policy loss -0.07945, time 26.76985 min
Updates 1220, num timesteps 781440, FPS 482, mean/median reward 9.1/9.0, min/max reward 0.0/34.0, entropy 2.12789, value loss 0.05475, policy loss -0.01172, time 26.99703 min
Updates 1230, num timesteps 787840, FPS 482, mean/median reward 9.2/9.0, min/max reward 0.0/34.0, entropy 2.14228, value loss 0.07428, policy loss 0.06612, time 27.22643 min
Updates 1240, num timesteps 794240, FPS 482, mean/median reward 9.2/9.0, min/max reward 0.0/34.0, entropy 2.04081, value loss 0.09797, policy loss 0.05944, time 27.45036 min
Updates 1250, num timesteps 800640, FPS 482, mean/median reward 9.1/9.0, min/max reward 0.0/34.0, entropy 2.12169, value loss 0.06561, policy loss 0.03578, time 27.67501 min
Updates 1260, num timesteps 807040, FPS 481, mean/median reward 9.1/9.0, min/max reward 0.0/34.0, entropy 2.11786, value loss 0.03549, policy loss 0.00742, time 27.92870 min
Updates 1270, num timesteps 813440, FPS 481, mean/median reward 9.0/9.0, min/max reward 0.0/34.0, entropy 2.10904, value loss 0.06940, policy loss -0.05195, time 28.15741 min
Updates 1280, num timesteps 819840, FPS 481, mean/median reward 9.2/9.0, min/max reward 0.0/34.0, entropy 2.13815, value loss 0.02832, policy loss -0.00899, time 28.38262 min
Updates 1290, num timesteps 826240, FPS 481, mean/median reward 9.2/10.0, min/max reward 0.0/34.0, entropy 2.14684, value loss 0.02991, policy loss -0.00312, time 28.61319 min
Updates 1300, num timesteps 832640, FPS 481, mean/median reward 9.5/10.0, min/max reward 0.0/34.0, entropy 2.13698, value loss 0.04061, policy loss -0.00161, time 28.84364 min
Updates 1310, num timesteps 839040, FPS 480, mean/median reward 9.1/9.0, min/max reward 0.0/22.0, entropy 2.15384, value loss 0.05869, policy loss 0.03796, time 29.07292 min
Updates 1320, num timesteps 845440, FPS 481, mean/median reward 8.9/9.0, min/max reward 0.0/22.0, entropy 2.14824, value loss 0.10138, policy loss 0.03205, time 29.29425 min
Updates 1330, num timesteps 851840, FPS 480, mean/median reward 8.6/9.0, min/max reward 0.0/22.0, entropy 2.15275, value loss 0.05574, policy loss 0.09387, time 29.52109 min
Updates 1340, num timesteps 858240, FPS 480, mean/median reward 8.4/8.0, min/max reward 0.0/22.0, entropy 2.11100, value loss 0.06005, policy loss 0.00437, time 29.74653 min
Updates 1350, num timesteps 864640, FPS 480, mean/median reward 8.4/8.0, min/max reward 0.0/22.0, entropy 2.02055, value loss 0.03877, policy loss -0.00157, time 29.97179 min
Updates 1360, num timesteps 871040, FPS 480, mean/median reward 8.5/8.0, min/max reward 0.0/22.0, entropy 2.12461, value loss 0.04904, policy loss 0.00944, time 30.19729 min
Updates 1370, num timesteps 877440, FPS 480, mean/median reward 8.7/9.0, min/max reward 0.0/22.0, entropy 2.11886, value loss 0.09074, policy loss 0.06746, time 30.42508 min
Updates 1380, num timesteps 883840, FPS 480, mean/median reward 8.6/8.0, min/max reward 0.0/22.0, entropy 2.11388, value loss 0.02169, policy loss -0.03409, time 30.65045 min
Updates 1390, num timesteps 890240, FPS 480, mean/median reward 8.3/8.0, min/max reward 0.0/22.0, entropy 2.09958, value loss 0.04834, policy loss 0.02238, time 30.87649 min
Updates 1400, num timesteps 896640, FPS 480, mean/median reward 8.5/8.0, min/max reward 0.0/22.0, entropy 2.15278, value loss 0.02305, policy loss -0.01302, time 31.11706 min
Updates 1410, num timesteps 903040, FPS 480, mean/median reward 8.7/9.0, min/max reward 0.0/22.0, entropy 2.14900, value loss 0.02459, policy loss -0.01878, time 31.34154 min
Updates 1420, num timesteps 909440, FPS 479, mean/median reward 8.6/9.0, min/max reward 0.0/22.0, entropy 2.11424, value loss 0.02420, policy loss -0.00569, time 31.60549 min
Updates 1430, num timesteps 915840, FPS 479, mean/median reward 8.3/9.0, min/max reward 0.0/22.0, entropy 2.12698, value loss 0.03373, policy loss 0.02195, time 31.83076 min
Updates 1440, num timesteps 922240, FPS 479, mean/median reward 8.1/8.0, min/max reward 0.0/22.0, entropy 2.09273, value loss 0.06235, policy loss 0.04757, time 32.05362 min
Updates 1450, num timesteps 928640, FPS 479, mean/median reward 7.9/8.0, min/max reward 0.0/22.0, entropy 2.14410, value loss 0.03817, policy loss 0.03216, time 32.27456 min
Updates 1460, num timesteps 935040, FPS 479, mean/median reward 8.0/8.0, min/max reward 0.0/25.0, entropy 2.05070, value loss 0.04095, policy loss -0.02356, time 32.49772 min
Updates 1470, num timesteps 941440, FPS 479, mean/median reward 7.8/8.0, min/max reward 0.0/25.0, entropy 2.08738, value loss 0.08077, policy loss 0.00669, time 32.72057 min
Updates 1480, num timesteps 947840, FPS 479, mean/median reward 7.8/8.0, min/max reward 0.0/25.0, entropy 2.10483, value loss 0.05847, policy loss 0.02741, time 32.94262 min
Updates 1490, num timesteps 954240, FPS 479, mean/median reward 7.9/8.0, min/max reward 0.0/25.0, entropy 2.12452, value loss 0.04034, policy loss 0.01123, time 33.17182 min
Updates 1500, num timesteps 960640, FPS 479, mean/median reward 8.3/8.0, min/max reward 0.0/25.0, entropy 2.12555, value loss 0.03211, policy loss -0.02235, time 33.39363 min
Updates 1510, num timesteps 967040, FPS 479, mean/median reward 8.3/8.0, min/max reward 0.0/25.0, entropy 2.07478, value loss 0.06542, policy loss 0.01660, time 33.61533 min
Updates 1520, num timesteps 973440, FPS 479, mean/median reward 8.3/8.0, min/max reward 0.0/25.0, entropy 2.06497, value loss 0.03671, policy loss -0.04519, time 33.83726 min
Updates 1530, num timesteps 979840, FPS 479, mean/median reward 8.5/8.0, min/max reward 0.0/25.0, entropy 2.02007, value loss 0.03160, policy loss -0.02168, time 34.05746 min
Updates 1540, num timesteps 986240, FPS 478, mean/median reward 8.6/8.0, min/max reward 0.0/25.0, entropy 2.09508, value loss 0.03666, policy loss 0.01076, time 34.33306 min
Updates 1550, num timesteps 992640, FPS 478, mean/median reward 8.5/8.0, min/max reward 0.0/25.0, entropy 2.14648, value loss 0.03016, policy loss -0.00853, time 34.55755 min
Updates 1560, num timesteps 999040, FPS 478, mean/median reward 8.7/8.0, min/max reward 0.0/25.0, entropy 2.12924, value loss 0.02967, policy loss 0.00024, time 34.78557 min
